k,proposed_worst_case_mae,best_non_oracle_policy,best_non_oracle_worst_case_mae,worst_case_reduction,meets_provisional_15pct,oracle_worst_case_mae,network_id
3,1.1822366447704462,random,3.161841752078949,0.6260924051644547,True,0.7063276304624313,delaware_river_huc20
3,0.39389757900816835,observability_gramian,0.39389757900816835,0.0,False,0.39389757900816835,willamette_river_huc17
3,0.33114020831154806,observability_gramian,0.11554300580809031,-1.8659476702687758,False,0.11554300580809031,suwannee_river_huc31
3,1.7688272960889784,spatially_even,1.5006634851776326,-0.17869683214128673,False,1.5006634851776326,madison_river_huc10
3,0.7913471252734804,spatially_even,0.7913471252734804,0.0,False,0.7913471252734804,cahaba_river_huc31
3,0.6333961202985747,spatially_even,0.39576813072891925,-0.6004222450453405,False,0.33724066846159295,mckenzie_river_huc17
3,1.2349084066405576,observability_gramian,1.4068479175427138,0.12221613207664705,False,0.8925361132717191,mahoning_river_huc50
3,1.5040551673204567,spatially_even,1.5040551673204567,0.0,False,0.7232023072696104,roanoke_river_huc30
3,0.6447823257933647,spatially_even,1.2486817307410747,0.483629567151034,True,0.6447823257933647,santa_fe_river_huc31
3,2.753582518632367,observability_gramian,2.753582518632367,0.0,False,2.753582518632367,clearwater_river_huc17
