network_id,achieved_skill,recoverability_r,donor_r2,acf30,heuristic_explained_variance,donor_mae,n_station_gap_rows,spearman_operator_r_vs_achieved_skill,spearman_donor_r2_vs_achieved_skill
madison_river_huc10,0.8463590826126433,0.9003257743347746,0.5871775535750251,0.14642771766641455,0.6770427509384683,0.8953530152784444,5,0.8999999999999998,0.6
mahoning_river_huc50,0.9088061160979528,0.9664367113960176,0.7148089725260548,0.2153612402657771,0.845409358996749,0.6101172504975053,6,0.8999999999999998,0.6
roanoke_river_huc30,0.9270536670943657,0.9851506844236049,0.7621723692907658,0.35304023424349024,0.913979974631671,0.5019826865976814,5,0.8999999999999998,0.6
santa_fe_river_huc31,0.8033150277707033,0.9059309652342591,0.7601319984753675,0.11569506830992568,0.7928950845702777,0.5747765934391817,4,0.8999999999999998,0.6
willamette_river_huc17,0.9256513754860151,0.9728021695192463,0.869405629907893,0.3829451777036163,0.9140829265846168,0.34440980751637973,6,0.8999999999999998,0.6
