network_id,station_id,start_date,gap_length,season,task,n_train_days,n_gap_days_with_donor,fill_mae,climate_mae,achieved_skill,acf30,heuristic_explained_variance,recoverability_r,predicted_skill,predicted_conditional_risk,operator_withheld,right_boundary_allowed,truth_source,geometry_source,formal_evidence
cahaba_river_huc31,02423130,2022-09-13,7,SON,offline_archival,7242,7,1.2368570553043037,0.6704761904761912,-0.8447441875987463,0.6859056413320002,0.9229050721291756,0.9328314815791947,0.9337672405093497,0.28423557215594747,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2020-11-07,9,SON,offline_archival,7240,9,0.5931475346375,3.375858273133815,0.824297264088969,0.6858651901304647,0.9230175098626722,0.9268362562797211,0.9292842840611479,0.3040467795705583,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2018-08-11,10,JJA,offline_archival,7239,10,0.8236965974948081,0.4088928571428575,-1.014455824076741,0.6858796836099689,0.9227784034522175,0.9368096763586591,0.9372907171103474,0.26851865546444137,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2021-11-27,31,SON,offline_archival,7218,31,0.7256437730813552,2.159807393245923,0.6640238498346825,0.6860779725620519,0.8004855324818098,0.924799141857074,0.9256024305475488,0.3188069202929806,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2022-03-15,91,MAM,offline_archival,7158,91,0.5116499916110823,1.00883061528207,0.4928286435200775,0.6779990458339393,0.5701169165109083,0.9195055799890081,0.9201149639462942,0.34840603899716904,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2022-10-26,92,SON,offline_archival,7157,92,0.4676825418877839,2.6086904459900486,0.8207213344892328,0.6841451183537797,0.5796315926262567,0.9193881442127184,0.9200583699846558,0.34220747092836634,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2021-12-29,116,DJF,offline_archival,7133,116,0.4270289065518843,1.3181426666764593,0.6760374143501575,0.6832581744313301,0.48233422263033937,0.9167600547668082,0.9174676454546475,0.3497775184031933,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423130,2022-02-09,118,DJF,offline_archival,7131,118,0.5304813411147697,1.0799208243694922,0.508777561147143,0.6742043970757865,0.45455156903632477,0.920165073534175,0.9206769510065304,0.3449017835518516,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423160,2021-11-14,9,SON,offline_archival,4799,9,0.5735778210743901,0.9649572649572653,0.4055925149184799,0.7794490142269408,0.9433282307162362,0.9453539306514029,0.9469634935418896,0.2737361254399448,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423160,2019-07-11,7,JJA,offline_archival,4801,7,0.4454298073721021,1.173809523809526,0.620526330433504,0.7792464695898295,0.943134165392199,0.9526082355043798,0.9536249442833595,0.2390022111219441,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423160,2022-10-14,54,SON,offline_archival,4754,54,0.700911452171359,2.5492402659069318,0.7250508468953597,0.776810640418082,0.7971976143946876,0.9512015942599328,0.9516010830113762,0.2504128426596094,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423160,2018-05-07,91,MAM,offline_archival,4717,91,0.2996943227160497,0.8885714285714286,0.6627234310269537,0.7715029018137446,0.6860997342263313,0.9605650666718817,0.9607046125043911,0.2012959899725649,False,True,held_out_observed_days,real_missing_blocks_length_season,False
cahaba_river_huc31,02423160,2022-11-11,92,SON,offline_archival,4716,92,0.3756311848171686,2.8280216884564706,0.8671752814518946,0.7787290019950716,0.7003576331627388,0.9610736362670766,0.9613464833112414,0.19779136937776481,False,True,held_out_observed_days,real_missing_blocks_length_season,False
