network_id,policy,k,protected_fraction,selected,worst_target_mae,oracle_mae,regret,independent_realized_outcomes
chmi_botic,distance_even,1,0.2,0-203-1-200480,1.6583760497243483,1.6302563384522941,0.02811971127205415,True
chmi_botic,oracle,1,0.2,0-203-1-200600,1.6302563384522941,1.6302563384522941,0.0,True
chmi_botic,random,1,0.2,random_ensemble,1.6480062376154272,1.6302563384522941,0.017749899163133076,True
chmi_botic,simple_risk_minimax,2,0.4,0-203-1-200600|0-203-1-200590,1.1716136162026074,1.1716136162026074,0.0,True
chmi_botic,greedy_mutual_information,2,0.4,0-203-1-200480|0-203-1-200590,1.2706369025636008,1.1716136162026074,0.09902328636099345,True
chmi_botic,qr_pivot,2,0.4,0-203-1-200600|0-203-1-200590,1.1716136162026074,1.1716136162026074,0.0,True
chmi_botic,distance_even,2,0.4,0-203-1-200480|0-203-1-200600,1.6302563384522941,1.1716136162026074,0.4586427222496867,True
chmi_botic,oracle,2,0.4,0-203-1-200590|0-203-1-200600,1.1716136162026074,1.1716136162026074,0.0,True
chmi_botic,random,2,0.4,random_ensemble,1.4287399908804803,1.1716136162026074,0.2571263746778729,True
chmi_botic,simple_risk_minimax,3,0.6,0-203-1-200600|0-203-1-200590|0-203-1-200480,1.1716136162026074,1.116179815026507,0.05543380117610042,True
chmi_botic,greedy_mutual_information,3,0.6,0-203-1-200480|0-203-1-200590|0-203-1-200550,1.2760890312903947,1.116179815026507,0.15990921626388777,True
chmi_botic,qr_pivot,3,0.6,0-203-1-200600|0-203-1-200590|0-203-1-200480,1.1716136162026074,1.116179815026507,0.05543380117610042,True
chmi_botic,distance_even,3,0.6,0-203-1-200480|0-203-1-200580|0-203-1-200600,1.6302563384522941,1.116179815026507,0.5140765234257871,True
chmi_botic,oracle,3,0.6,0-203-1-200550|0-203-1-200590|0-203-1-200600,1.116179815026507,1.116179815026507,0.0,True
chmi_botic,random,3,0.6,random_ensemble,1.3939508636661344,1.116179815026507,0.2777710486396274,True
