network_id,station_id,gap_length,predicted_loss,observed_recovery_loss,conformal_radius,conformal_multiplier,conformal_scale_power,conformal_calibration_networks,prediction_lower,prediction_upper
chmi_berounka,0-203-1-186000,7,0.4159946077797316,0.48320422350650755,3.4972227215551697,6.461924812371041,0.7,51,0.0,3.913217329334901
chmi_berounka,0-203-1-186000,14,1.4850117888568983,0.5233123019579426,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-186000,30,0.7993796159308151,0.6654486207552777,5.524450024744442,6.461924812371041,0.7,51,0.0,6.323829640675257
chmi_berounka,0-203-1-186000,60,1.4850117888568983,0.9138854917187503,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-186000,90,1.2449217818266933,1.2321202060653458,7.532885157369144,6.461924812371041,0.7,51,0.0,8.777806939195838
chmi_berounka,0-203-1-186000,180,2.74249018452156,3.1549587098978833,13.093732307175388,6.461924812371041,0.7,51,0.0,15.836222491696947
chmi_berounka,0-203-1-186000,365,1.4850117888568983,5.879213017479146,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-187200,7,0.4185048611119469,0.354332822026303,3.511981789344794,6.461924812371041,0.7,51,0.0,3.930486650456741
chmi_berounka,0-203-1-187200,14,1.4850117888568983,0.5104524577623815,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-187200,30,0.8154553576599664,0.608564092236809,5.601986189116834,6.461924812371041,0.7,51,0.0,6.417441546776801
chmi_berounka,0-203-1-187200,60,1.4850117888568983,0.9120544830052575,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-187200,90,1.2497350603573727,1.1662462855443745,7.553260587892162,6.461924812371041,0.7,51,0.0,8.802995648249535
chmi_berounka,0-203-1-187200,180,2.6924110508381647,3.0076600510766847,12.925901900640325,6.461924812371041,0.7,51,0.0,15.61831295147849
chmi_berounka,0-203-1-187200,365,1.4850117888568983,5.649839582773813,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-194500,7,0.5937779479301492,0.5017016870634896,4.486407785646657,6.461924812371041,0.7,51,0.0,5.080185733576806
chmi_berounka,0-203-1-194500,14,1.4850117888568983,0.5833687749317286,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-194500,30,1.0371489538768377,0.7595987252421863,6.6290408310284255,6.461924812371041,0.7,51,0.0,7.666189784905264
chmi_berounka,0-203-1-194500,60,1.4850117888568983,1.1847141768618696,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-194500,90,1.637335632773604,1.4746174791559472,9.12553425798535,6.461924812371041,0.7,51,0.0,10.762869890758955
chmi_berounka,0-203-1-194500,180,3.32307997711429,3.6792776376582084,14.97753889344406,6.461924812371041,0.7,51,0.0,18.30061887055835
chmi_berounka,0-203-1-194500,365,1.4850117888568983,6.7214455207904065,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198000,7,0.6443679087121612,0.6042427921827349,4.750678412626919,6.461924812371041,0.7,51,0.0,5.3950463213390805
chmi_berounka,0-203-1-198000,14,1.4850117888568983,0.6992400344762553,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198000,30,1.1489061127982803,0.9076974560247812,7.12132946343056,6.461924812371041,0.7,51,0.0,8.27023557622884
chmi_berounka,0-203-1-198000,60,1.4850117888568983,1.2940437230747164,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198000,90,1.6636631829966013,1.5259708108499548,9.228002096285504,6.461924812371041,0.7,51,0.0,10.891665279282105
chmi_berounka,0-203-1-198000,180,3.248861578226697,3.5259645820934624,14.74258858855804,6.461924812371041,0.7,51,0.0,17.991450166784738
chmi_berounka,0-203-1-198000,365,1.4850117888568983,6.610413708367839,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198600,7,0.4893095720495867,0.4391341125492064,3.918054733929806,6.461924812371041,0.7,51,0.0,4.407364305979392
chmi_berounka,0-203-1-198600,14,1.4850117888568983,0.5905718292187806,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198600,30,0.9640743785000193,0.7654626371592079,6.298531116653946,6.461924812371041,0.7,51,0.0,7.262605495153965
chmi_berounka,0-203-1-198600,60,1.4850117888568983,1.080038505571976,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_berounka,0-203-1-198600,90,1.4470275541711413,1.3824796382091264,8.369425756539083,6.461924812371041,0.7,51,0.0,9.816453310710225
chmi_berounka,0-203-1-198600,180,2.9250545343331433,3.3650015018415766,13.697953187409642,6.461924812371041,0.7,51,0.0,16.623007721742784
chmi_berounka,0-203-1-198600,365,1.4850117888568983,6.349258923770766,8.522614241028105,6.461924812371041,0.7,51,0.0,10.007626029885003
chmi_blanice,0-203-1-147000,7,0.840794556206039,0.7167336702890443,5.723277771236411,6.461924812371041,0.7,51,0.0,6.56407232744245
chmi_blanice,0-203-1-147000,14,1.4955686925480314,0.8622384081841025,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-147000,30,1.2342341590746906,1.1347354493019934,7.487557901641973,6.461924812371041,0.7,51,0.0,8.721792060716664
chmi_blanice,0-203-1-147000,60,1.4955686925480314,1.4239667307367032,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-147000,90,1.7481579817797883,1.614013293498386,9.553629056304464,6.461924812371041,0.7,51,0.0,11.301787038084253
chmi_blanice,0-203-1-147000,180,3.2058546083901946,3.0358036615634925,14.60570673061075,6.461924812371041,0.7,51,0.0,17.811561339000946
chmi_blanice,0-203-1-147000,365,1.4955686925480314,5.918544804893348,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-148000,7,0.18033829595172218,0.23097286485490326,1.9481548482630604,6.461924812371041,0.7,51,0.0,2.1284931442147825
chmi_blanice,0-203-1-148000,14,1.4955686925480314,0.24542541159523848,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-148000,30,0.2874393968562269,0.512045604596499,2.6998790287211083,6.461924812371041,0.7,51,0.0,2.9873184255773353
chmi_blanice,0-203-1-148000,60,1.4955686925480314,0.8519837741072436,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-148000,90,0.6365969330180036,1.2000928563535234,4.710500777933718,6.461924812371041,0.7,51,0.0,5.347097710951721
chmi_blanice,0-203-1-148000,180,1.8172650981311125,3.0870879976723726,9.816455461983763,6.461924812371041,0.7,51,0.0,11.633720560114876
chmi_blanice,0-203-1-148000,365,1.4955686925480314,5.460305049151752,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-165600,7,0.45661333853100966,0.4986803591819037,3.7328962212133026,6.461924812371041,0.7,51,0.0,4.189509559744312
chmi_blanice,0-203-1-165600,14,1.4955686925480314,0.644182336680473,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-165600,30,1.0142896329901263,1.0031295487477276,6.5264240912776454,6.461924812371041,0.7,51,0.0,7.540713724267771
chmi_blanice,0-203-1-165600,60,1.4955686925480314,1.1666177967121292,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-165600,90,1.5735278614803394,1.6089604909928383,8.875115353243237,6.461924812371041,0.7,51,0.0,10.448643214723576
chmi_blanice,0-203-1-165600,180,3.4809453778402384,3.400729051179031,15.472124322796127,6.461924812371041,0.7,51,0.0,18.953069700636366
chmi_blanice,0-203-1-165600,365,1.4955686925480314,6.931355774386115,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-166200,7,0.6785442018861241,0.6276287181522431,4.9256846157630525,6.461924812371041,0.7,51,0.0,5.604228817649177
chmi_blanice,0-203-1-166200,14,1.4955686925480314,0.7260176241641554,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-166200,30,1.2321526399321787,1.1203451640233184,7.4787162986066456,6.461924812371041,0.7,51,0.0,8.710868938538825
chmi_blanice,0-203-1-166200,60,1.4955686925480314,1.3097938264751439,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_blanice,0-203-1-166200,90,1.7663602595588408,1.755194310561837,9.62315320721641,6.461924812371041,0.7,51,0.0,11.38951346677525
chmi_blanice,0-203-1-166200,180,3.6250361383441545,3.374750372160831,15.91770819103535,6.461924812371041,0.7,51,0.0,19.542744329379506
chmi_blanice,0-203-1-166200,365,1.4955686925480314,7.096523147310047,8.564980059105025,6.461924812371041,0.7,51,0.0,10.060548751653057
chmi_botic,0-203-1-200480,7,0.5112661316580078,0.5181965964993542,4.040311200587087,6.461924812371041,0.7,51,0.0,4.551577332245095
chmi_botic,0-203-1-200480,14,1.1904294749569722,0.6010536429583226,7.300531353981962,6.461924812371041,0.7,51,0.0,8.490960828938935
chmi_botic,0-203-1-200480,30,0.7707316098171522,0.640786798581362,5.385104311403343,6.461924812371041,0.7,51,0.0,6.155835921220495
chmi_botic,0-203-1-200480,60,1.1904294749569722,0.7882280744689474,7.300531353981962,6.461924812371041,0.7,51,0.0,8.490960828938935
chmi_botic,0-203-1-200480,90,1.1130409337733431,1.0729169654334458,6.9649771506361216,6.461924812371041,0.7,51,0.0,8.078018084409464
