network_id,panel,seed,epoch,train_loss,validation_loss
arso_drava,first_confirmation,11,1,0.873879075050354,0.8076422810554504
arso_drava,first_confirmation,11,2,0.8582194050153097,0.7946975827217102
arso_drava,first_confirmation,11,3,0.8231129844983419,0.7828644514083862
arso_drava,first_confirmation,11,4,0.7494401037693024,0.7709949612617493
arso_drava,first_confirmation,11,5,0.7734296123186747,0.7578549981117249
arso_drava,first_confirmation,11,6,0.7762795686721802,0.7452642321586609
arso_drava,first_confirmation,11,7,0.734682540098826,0.7327407598495483
arso_drava,first_confirmation,11,8,0.7367555499076843,0.71895831823349
arso_drava,first_confirmation,11,9,0.7452911734580994,0.7045028209686279
arso_drava,first_confirmation,11,10,0.6251803239186605,0.6889411211013794
arso_drava,first_confirmation,11,11,0.626002828280131,0.6732669472694397
arso_drava,first_confirmation,11,12,0.613271435101827,0.6560018062591553
arso_drava,first_confirmation,11,13,0.5763654311498007,0.6379705667495728
arso_drava,first_confirmation,11,14,0.5563842058181763,0.6176873445510864
arso_drava,first_confirmation,11,15,0.5294621487458547,0.5955129861831665
arso_drava,first_confirmation,11,16,0.5213365058104197,0.5716046690940857
arso_drava,first_confirmation,11,17,0.49277207255363464,0.5461761355400085
arso_drava,first_confirmation,11,18,0.4347665111223857,0.5193444490432739
arso_drava,first_confirmation,11,19,0.39093496402104694,0.4939758777618408
arso_drava,first_confirmation,11,20,0.3986846407254537,0.4688745141029358
arso_drava,first_confirmation,11,21,0.33647507429122925,0.4500114321708679
arso_drava,first_confirmation,11,22,0.3611116111278534,0.4341796040534973
arso_drava,first_confirmation,11,23,0.3021528323491414,0.4225870966911316
arso_drava,first_confirmation,11,24,0.2896548310915629,0.4128750264644623
arso_drava,first_confirmation,11,25,0.2745986481507619,0.40135103464126587
arso_drava,first_confirmation,11,26,0.27037806312243146,0.38976365327835083
arso_drava,first_confirmation,11,27,0.2664623558521271,0.37477827072143555
arso_drava,first_confirmation,11,28,0.23316649595896402,0.36080029606819153
arso_drava,first_confirmation,11,29,0.24686127404371896,0.3466414511203766
arso_drava,first_confirmation,11,30,0.23085900644461313,0.3343202471733093
arso_drava,first_confirmation,11,31,0.2286707858244578,0.3238052725791931
arso_drava,first_confirmation,11,32,0.21788775424162546,0.3131502568721771
arso_drava,first_confirmation,11,33,0.23268742859363556,0.3022661507129669
arso_drava,first_confirmation,11,34,0.1952917923529943,0.29443424940109253
arso_drava,first_confirmation,11,35,0.18629060685634613,0.2856883108615875
arso_drava,first_confirmation,11,36,0.18314710756142935,0.27501943707466125
arso_drava,first_confirmation,11,37,0.17927526930967966,0.2636678218841553
arso_drava,first_confirmation,11,38,0.16446789105733237,0.25120657682418823
arso_drava,first_confirmation,11,39,0.15216855704784393,0.2396080493927002
arso_drava,first_confirmation,11,40,0.1410838837424914,0.22948051989078522
arso_drava,first_confirmation,11,41,0.14341294765472412,0.22154396772384644
arso_drava,first_confirmation,11,42,0.13286312421162924,0.21648363769054413
arso_drava,first_confirmation,11,43,0.13462739189465842,0.2093704342842102
arso_drava,first_confirmation,11,44,0.12651657313108444,0.19986501336097717
arso_drava,first_confirmation,11,45,0.12899894018967947,0.19371311366558075
arso_drava,first_confirmation,11,46,0.13130299746990204,0.18916817009449005
arso_drava,first_confirmation,11,47,0.12404824048280716,0.1869538575410843
arso_drava,first_confirmation,11,48,0.12209151188532512,0.18672867119312286
arso_drava,first_confirmation,11,49,0.11493403961261113,0.1836097091436386
arso_drava,first_confirmation,11,50,0.11890339106321335,0.17694614827632904
arso_drava,first_confirmation,11,51,0.11217507968346278,0.17830032110214233
arso_drava,first_confirmation,11,52,0.1179816871881485,0.18347875773906708
arso_drava,first_confirmation,11,53,0.11730006088813145,0.18106244504451752
