network_id,station_id,gap_length,placement,gap_start,season,panel,model_family,mae_deg_c,linear_boundary_mae_deg_c
arso_drava,2005,180,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,1.6704337970215812,1.7312707182320441
arso_drava,2005,180,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,1.653347091594267,1.7312707182320441
arso_drava,2005,180,1,2020-05-17,MAM,first_confirmation,pchip_or_linear,3.872588378461703,3.7356077348066297
arso_drava,2005,180,1,2020-05-17,MAM,first_confirmation,seasonal_boundary_ridge,3.5527956187751966,3.7356077348066297
arso_drava,2005,180,1,2020-05-17,MAM,first_confirmation,donor_blup_ridge,3.508161513288878,3.7356077348066297
arso_drava,2005,180,2,2020-10-02,SON,first_confirmation,pchip_or_linear,3.406310016102024,4.23755064456722
arso_drava,2005,180,2,2020-10-02,SON,first_confirmation,seasonal_boundary_ridge,4.073559044072651,4.23755064456722
arso_drava,2005,180,2,2020-10-02,SON,first_confirmation,donor_blup_ridge,4.033213233405273,4.23755064456722
arso_drava,2005,180,3,2021-02-17,DJF,first_confirmation,pchip_or_linear,2.940753762185895,1.1198250460405152
arso_drava,2005,180,3,2021-02-17,DJF,first_confirmation,seasonal_boundary_ridge,1.0708288572795674,1.1198250460405152
arso_drava,2005,180,3,2021-02-17,DJF,first_confirmation,donor_blup_ridge,1.061629116416211,1.1198250460405152
arso_drava,2005,180,4,2021-07-05,JJA,first_confirmation,pchip_or_linear,2.7509058827358572,2.876930632289749
arso_drava,2005,180,4,2021-07-05,JJA,first_confirmation,seasonal_boundary_ridge,2.7548745643079187,2.876930632289749
arso_drava,2005,180,4,2021-07-05,JJA,first_confirmation,donor_blup_ridge,2.7227569382724726,2.876930632289749
arso_drava,2150,7,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.19415584415584405,0.0928571428571426
arso_drava,2150,7,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.19555930669885674,0.0928571428571426
arso_drava,2150,7,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.3180974073582211,0.0928571428571426
arso_drava,2150,7,1,2020-06-30,JJA,first_confirmation,pchip_or_linear,0.28819216299279404,0.2857142857142852
arso_drava,2150,7,1,2020-06-30,JJA,first_confirmation,seasonal_boundary_ridge,0.3018116974785932,0.2857142857142852
arso_drava,2150,7,1,2020-06-30,JJA,first_confirmation,donor_blup_ridge,0.2522013814112713,0.2857142857142852
arso_drava,2150,7,2,2020-12-28,DJF,first_confirmation,pchip_or_linear,0.1977272727272728,0.2357142857142859
arso_drava,2150,7,2,2020-12-28,DJF,first_confirmation,seasonal_boundary_ridge,0.2136477593610777,0.2357142857142859
arso_drava,2150,7,2,2020-12-28,DJF,first_confirmation,donor_blup_ridge,0.3397103832287325,0.2357142857142859
arso_drava,2150,7,3,2021-06-27,JJA,first_confirmation,pchip_or_linear,0.6679687499999994,0.6750000000000007
arso_drava,2150,7,3,2021-06-27,JJA,first_confirmation,seasonal_boundary_ridge,0.5572365719229667,0.6750000000000007
arso_drava,2150,7,3,2021-06-27,JJA,first_confirmation,donor_blup_ridge,0.4972398922705266,0.6750000000000007
arso_drava,2150,7,4,2021-12-25,DJF,first_confirmation,pchip_or_linear,0.23378759398496238,0.25714285714285745
arso_drava,2150,7,4,2021-12-25,DJF,first_confirmation,seasonal_boundary_ridge,0.3348710380036412,0.25714285714285745
arso_drava,2150,7,4,2021-12-25,DJF,first_confirmation,donor_blup_ridge,0.6533734251818936,0.25714285714285745
arso_drava,2150,30,0,2020-01-01,DJF,first_confirmation,pchip_or_linear,0.5479418344519019,0.6166666666666669
arso_drava,2150,30,0,2020-01-01,DJF,first_confirmation,seasonal_boundary_ridge,0.4351463846766832,0.6166666666666669
arso_drava,2150,30,0,2020-01-01,DJF,first_confirmation,donor_blup_ridge,0.14939595430022365,0.6166666666666669
arso_drava,2150,30,1,2020-06-24,JJA,first_confirmation,pchip_or_linear,0.6637146155222102,0.7480645161290322
arso_drava,2150,30,1,2020-06-24,JJA,first_confirmation,seasonal_boundary_ridge,0.6528181194898781,0.7480645161290322
arso_drava,2150,30,1,2020-06-24,JJA,first_confirmation,donor_blup_ridge,0.5009214710688276,0.7480645161290322
arso_drava,2150,30,2,2020-12-16,DJF,first_confirmation,pchip_or_linear,1.3647766970661932,1.3333333333333333
arso_drava,2150,30,2,2020-12-16,DJF,first_confirmation,seasonal_boundary_ridge,1.424247660342371,1.3333333333333333
arso_drava,2150,30,2,2020-12-16,DJF,first_confirmation,donor_blup_ridge,1.3978470917383945,1.3333333333333333
