network_id,panel,best_validation_loss_mean,best_validation_loss_sd,stress_mae_deg_c_mean,stress_mae_deg_c_sd,best_epoch_median,epochs_ran_median,n_seeds,hit_epoch_limit
arso_drava,first_confirmation,0.13183756421009699,0.022007985044948514,0.7912988977299795,0.09067424763745205,71.0,83.0,3,0.0
arso_kamniska_bistrica,first_confirmation,0.1977835843960444,0.03689569959828589,0.686151692436801,0.28196995986623863,99.0,100.0,3,0.6666666666666666
chmi_kamenice,second_confirmation,0.18678308526674905,0.004621104467171419,0.8154401934395233,0.06270158702333196,55.0,67.0,3,0.0
chmi_luznice,second_confirmation,0.2055770307779312,0.052640537024079406,1.265680466261175,0.29451505710525916,96.0,100.0,3,0.6666666666666666
foen_aare_aaregebiet,first_confirmation,0.3162158131599426,0.07646830466824882,1.4819321508208911,0.548073398320226,79.0,91.0,3,0.3333333333333333
gkd_bayern_alz,first_confirmation,1.8049059708913167,0.7092915693052291,6.009330953988765,0.5077913296376368,32.0,44.0,3,0.3333333333333333
gkd_bayern_fraenkische_saale,first_confirmation,0.17384748409191766,0.1452425518617712,1.0678474940950908,0.8363413808531436,43.0,55.0,3,0.0
huc8_02040102,first_confirmation,0.25259500245253247,0.08062356516878447,1.6968546890550191,0.6059912543092787,70.0,82.0,3,0.3333333333333333
huc8_03010107,first_confirmation,0.12726707756519318,0.07044106765724104,0.9494817236231432,0.2696638870034569,80.0,92.0,3,0.3333333333333333
lubw_neckar,first_confirmation,0.39823798338572186,0.20860002899919086,2.3736571159326667,1.3012732381766563,54.0,66.0,3,0.3333333333333333
lubw_rhein,first_confirmation,0.406508336464564,0.08952883267365216,2.419482880168491,0.6132901256071078,77.0,89.0,3,0.3333333333333333
rws_rijn_lek_nederrijn,first_confirmation,0.11627381046613057,0.020571144317059486,0.839971868114339,0.0019998983297480105,51.0,63.0,3,0.0
