epoch,train_mean,train_sd,validation_mean,validation_sd,n
1,0.8703328462110625,0.0818684993981343,0.9628315145770708,0.404138253223292,36
2,0.8421478770949222,0.08211546152894454,0.9506551855140262,0.40429867488124543,36
3,0.8213374589880308,0.07897013026894294,0.9386429389317831,0.4047848642290021,36
4,0.801342769353478,0.07359785349861703,0.9268916878435347,0.40545047440082377,36
5,0.7936884587009748,0.0751973128118119,0.915020855764548,0.4063706696834186,36
6,0.7825396438991582,0.07566679275234309,0.9029241336716546,0.4072933117131703,36
7,0.7592066004872322,0.07787808557069081,0.8905444443225861,0.4084588568966091,36
8,0.7326443876933169,0.0795280580695902,0.8777130767703056,0.40973823203574933,36
9,0.7162351809717991,0.07033245546269065,0.8643842728601562,0.411413140199943,36
10,0.6914619248774316,0.07210603186597317,0.8502441172798475,0.41352885784563675,36
11,0.6864060058637902,0.08588258167221349,0.8355866389142143,0.4161765782970412,36
12,0.6650633756761198,0.07686345762395659,0.8202824832664596,0.4194320711127682,36
13,0.6406004809670978,0.08531615028380277,0.8042430885963969,0.42368735691193204,36
14,0.6214017902101789,0.08719021881529344,0.7972331166267395,0.43017534116723843,35
15,0.5927205284436543,0.07271463275478843,0.7589222236591227,0.42778340474619375,34
16,0.5587390763502494,0.07776737321940119,0.7381537810844534,0.433945147299618,34
17,0.5320437833958982,0.07665675623718271,0.7169090483118506,0.43989641911879857,34
18,0.5097246795308357,0.08731670325271843,0.6956540547749576,0.4458928529176257,34
19,0.4806779573361078,0.08726607018464178,0.6749144398114261,0.4517224166320582,34
20,0.45312635819701585,0.08844193051903926,0.6544525938875535,0.4568880948259615,34
21,0.42229710475486865,0.09091560388094085,0.6349833151873421,0.4616966431272565,34
22,0.39579703103677893,0.08655686290232853,0.6153635303763783,0.4663020515328108,34
23,0.3713194403578253,0.08832681879556768,0.5962414829170003,0.4699918349430397,34
24,0.3545455405232953,0.09619510211986185,0.5774933805360514,0.473760220569595,34
25,0.3347987669940088,0.09380745807015939,0.5593259106664097,0.47686174955317007,34
26,0.31535504173998735,0.08148754555958156,0.5434011992286233,0.47896825339410515,34
27,0.30431846310110655,0.10187432471929865,0.5281635667471325,0.4806556773896924,34
28,0.290686978867241,0.09518572253114208,0.5137777714168325,0.4819510236299347,34
29,0.2795300774422346,0.08735790305690341,0.5003396465497858,0.4830707984472822,34
30,0.2667727726785576,0.09672937130785227,0.48833982032888074,0.4840257682836913,34
31,0.25638036276487736,0.10306971990877747,0.47770968693144183,0.4848871949153154,34
32,0.2449801624113438,0.09299671257186994,0.46758126116850796,0.486038895891358,34
33,0.23685839049079835,0.08953019917386709,0.45960258999291587,0.48705240405688766,34
34,0.2267033885068753,0.09417613459239814,0.45140581797151,0.4880504540952459,34
35,0.22014540287793846,0.0925602446465934,0.4431285717908074,0.4893939335279947,34
36,0.2140742075793883,0.08702561695717535,0.4354340057162678,0.4906797964993712,34
37,0.20603291851048375,0.0798884449679885,0.42912227989119645,0.4921892547416628,34
38,0.2058578158418337,0.07931774050999266,0.42373527761767893,0.49349586032097154,34
39,0.19043072605249925,0.07035859448325849,0.4183950115214376,0.49440333039062906,34
40,0.18513144267832526,0.06564988607570287,0.41320853746112657,0.4955407481127697,34
41,0.18081391668495006,0.06453739049996085,0.4084514942677582,0.4974529214028326,34
42,0.17844019559960736,0.06361196191738663,0.4017723336377564,0.49368845365378833,34
43,0.17677360992221267,0.07067361285585272,0.39670251090736947,0.49418591665563716,34
44,0.175213558051516,0.0755231787858306,0.3915548405664809,0.4951984770816407,34
45,0.16512118573441645,0.06199237151310634,0.31731978510365344,0.28595738699532264,33
46,0.1605612371737758,0.06121596204434456,0.316834797617048,0.2899538940224726,32
47,0.16236969510403768,0.065523262317959,0.31503153592348093,0.2900886175415779,32
48,0.15759038141307727,0.06955636717927881,0.3134563621133566,0.2895430167916211,32
49,0.15545291934783256,0.07458679996474478,0.3111229529604315,0.28884143334719153,32
50,0.15209336311090732,0.06337840385601924,0.3082868398632854,0.2874034868531254,32
51,0.1475617910424868,0.06645219680072476,0.2974232317459199,0.2864747849962663,31
52,0.14461836624476643,0.06525119030487365,0.29883984103798866,0.28907085547911016,30
53,0.1407026617477337,0.06658978218832425,0.2975311396022637,0.28753176974626266,30
54,0.14044371483226614,0.06617950682325431,0.29555275117357566,0.28611110220716235,30
55,0.142628903604216,0.0764426194648807,0.2938536507387956,0.2853513892324168,30
56,0.13717122358837341,0.05992573589032146,0.2967012301087379,0.28909719258069405,29
57,0.13956630105773604,0.0691478396437176,0.2960161962385835,0.2887442903531733,29
58,0.13466511593981717,0.06584500208960009,0.2950240823215451,0.2883172902178127,29
59,0.13872883083491486,0.08092399154671955,0.2937584912468647,0.2872624102018893,29
60,0.1298175542837097,0.05739673484084791,0.29580220447054933,0.2912472834926878,28
61,0.13279458875825373,0.07466918399469916,0.2999074848161803,0.29507457112180835,27
62,0.12713529086775244,0.06386980080624424,0.2992122857658951,0.29403359796095047,27
63,0.1310196659312798,0.06361896734299122,0.2940295155231769,0.2979222903402964,26
64,0.13120750620961186,0.07646792106193416,0.3009138658642769,0.299999924975884,25
65,0.13212256645162898,0.0736640920058817,0.2997048559784889,0.29866657442144795,25
66,0.12991308401028312,0.06414628012571083,0.2981418035924434,0.2976239017452851,25
67,0.13208338830413086,0.08285311669919286,0.28906178877999383,0.30043284011638477,24
68,0.13068626132426833,0.07144769446878038,0.3012113940309394,0.30926235629913584,22
69,0.12703334105511502,0.06997724086938832,0.29968892478130077,0.30804703252579596,22
70,0.126424251931409,0.07179764838217002,0.30861566271632906,0.3210617434777023,20
71,0.1325356987746138,0.0817343331273892,0.3152689541641034,0.3264250104989295,19
72,0.12723523522155322,0.07628610446529367,0.3142619207501411,0.3249408393924097,19
73,0.12029462588722242,0.05636631340981307,0.31368819957501004,0.3242842677384268,19
74,0.1195692608230992,0.058840632272759145,0.3125174945514453,0.32445245681349044,19
75,0.12057338837991677,0.06494060509534329,0.3112190769691216,0.32391297487262927,19
76,0.12213165894673576,0.062267075974579214,0.3107145736484151,0.32271211344545947,19
77,0.12095197401287257,0.0675157146028322,0.30988832229846397,0.32199131747757975,19
78,0.11818873653547801,0.06203207579551517,0.3089001143449231,0.32168599087122834,19
79,0.11767754586119396,0.058874051836055805,0.30877556789078203,0.3219833316817531,19
80,0.11633059820323656,0.05789674389916415,0.30913057452753967,0.3224134536096774,19
81,0.11421751803546037,0.060894810853804264,0.31670159018701977,0.330052887537848,18
82,0.11167915676738698,0.05707945301794591,0.31169858574867243,0.3396409097047036,17
83,0.11117462534457441,0.06147462676101628,0.3093737228773534,0.3509137878139206,16
84,0.11037193205621504,0.06292778195418595,0.3222908819715182,0.3592628132178027,15
85,0.11114758236540684,0.0646263431319864,0.3208449165026347,0.35787570019249904,15
86,0.11068940874603056,0.06576284801390651,0.31942791218558947,0.3567188225472106,15
87,0.1084769831763373,0.05809486926451202,0.31795038009683285,0.354578191844952,15
88,0.11044412031769747,0.0685654518525615,0.3172453686594963,0.35229624263791715,15
89,0.10841575728522403,0.06185444492688727,0.3159453332424163,0.3498247706740675,15
90,0.10919959807679762,0.061433416516608115,0.30115605731095585,0.3557242295779363,14
91,0.11935535990274865,0.07934170173997677,0.31836266471789426,0.3600428459356201,13
92,0.12104198393045046,0.06955673030809138,0.3272094787521796,0.3884646098721346,11
93,0.12464801234503582,0.08055062703545103,0.3498907148838043,0.3993314424112136,10
94,0.12253077551722524,0.06961797660618999,0.3480273827910423,0.39746372202525987,10
95,0.12110595790048435,0.07063144111845081,0.34495324492454527,0.3946716736753346,10
96,0.12060192326704655,0.0692573361733178,0.34301056265830987,0.3918161983560995,10
97,0.12293459574381509,0.07116920722273373,0.3423342123627663,0.388553169719553,10
98,0.12275149921576178,0.07326244834905296,0.3418213829398155,0.38540560732198587,10
99,0.12035491541028018,0.07564307216498486,0.34023152142763136,0.38360712796090723,10
