mechanism,network_spearman,spearman_lower_95,spearman_upper_95,calibration_slope,slope_lower_95,slope_upper_95,n_networks,n_units
donor_sync,0.4895104895104896,-0.23616200828157347,0.925472021517852,0.7429790042691368,0.5251196402912802,0.9267994503049478,12,306
forcing_outage,0.9370629370629372,0.6967349568190228,1.0,0.9867150145216451,0.9105655222783903,1.0535657532969875,12,306
high_temp_biased,0.9580419580419581,0.7785714285714286,1.0,0.9071522243604364,0.7997948823862261,0.9777048771001107,12,304
multi_block,0.8881118881118882,0.5333333333333333,1.0,1.0161163333392405,0.9387029538393458,1.0856415014737761,12,306
online,0.965034965034965,0.8064516129032259,1.0,0.9417105128201645,0.7726292420996703,1.0353982805445057,12,306
summer_biased,0.9090909090909092,0.6508451548451549,1.0,1.0428454312732494,0.8934986967238807,1.1564956232986823,12,292
uniform_block,0.9440559440559443,0.6883695652173913,1.0,1.020822394708415,0.9439714425369135,1.0857091365218925,12,306
