mechanism,supported_network_spearman,supported_pooled_spearman,supported_calibration_intercept,supported_calibration_slope,supported_n_networks,supported_n_station_gaps,supported_n_placements,supported_mean_predicted_loss,supported_mean_observed_loss,supported_support_station_gap_season,supported_support_station_gap,supported_support_network_gap,supported_support_network_mean_fallback,full_n_station_gaps,full_n_networks,full_network_spearman,full_pooled_spearman,full_calibration_slope,full_mean_predicted_loss,full_mean_observed_loss,fallback_unit_fraction,mechanism_label
uniform_block,0.9440559440559443,0.9149189035312938,-0.04139911273503225,1.020822394708415,12,306,6120,1.0069499721311854,0.9813260509835002,248,7,51,0,346,12,0.6433566433566434,0.772639875532361,0.9667122356813449,0.9675395083230635,1.1073259300892158,0.11560693641618497,(a) uniform single block
multi_block,0.8881118881118882,0.8877041100681725,-0.03378821274140865,1.0161163333392402,12,306,6120,0.5991611803084576,0.5672541557986036,248,7,51,0,346,12,0.8531468531468532,0.8182833119077558,0.9903545963041945,0.5846446641835904,0.5866046982912542,0.11560693641618497,(b) multi-block repeated short gaps
summer_biased,0.9090909090909092,0.8545921228653459,-0.0034723064555267787,1.0428454312732494,12,292,5840,0.9280995389127363,0.9577396287404241,244,0,48,0,334,12,0.7692307692307694,0.7659996560760266,1.0063076456785671,0.8955349264660685,1.0063652860660248,0.12574850299401197,(c) summer-biased (peak-summer starts)
high_temp_biased,0.9580419580419581,0.8757796141814517,0.04458180896119549,0.9071522243604364,12,304,6051,1.2707649709271958,1.179877392219655,229,17,58,0,343,12,0.7622377622377624,0.7339556511748675,0.8592088534711542,1.2120884812929535,1.3266545237822878,0.11370262390670553,(d) high-temperature-biased
donor_sync,0.4895104895104896,0.722365172090978,0.6355213411447507,0.7429790042691368,12,306,6120,2.374284178253616,2.539016166837887,248,7,51,0,346,12,0.2937062937062937,0.6068593044589132,0.6992666687458439,2.288826702397606,2.708518758529319,0.11560693641618497,(f) donor-synchronous outage
forcing_outage,0.9370629370629372,0.9132042098743943,-0.028488200158146418,0.9867150145216446,12,306,6120,1.1040678230614769,1.0647264191684238,248,7,51,0,346,12,0.8041958041958043,0.745652640553462,0.9205215385549356,1.0538254748773652,1.176893371898266,0.11560693641618497,(g) target + air-temperature outage
online,0.965034965034965,0.8894912614687563,0.011757920912052312,0.9417105128201645,12,306,6120,1.5775897595557027,1.429876315867481,248,7,51,0,346,12,0.9860139860139862,0.8394545997115432,0.9455745930870733,1.5338801500336796,1.5168652363067725,0.11560693641618497,(h) online (no future boundary)
