mechanism,curve_mean_mae_deg_c,curve_n_cells,evaluation_mean_loss_deg_c,evaluation_mean_predicted_deg_c
uniform_block,1.1241115611650203,1041,1.1073259300892158,0.9675395083230635
multi_block,0.6218825646641444,1028,0.5866046982912542,0.5846446641835904
summer_biased,0.9798974802931933,256,1.0063652860660248,0.8955349264660685
high_temp_biased,1.3281798703278989,576,1.3266545237822878,1.2120884812929535
donor_sync,2.691986966962338,1041,2.708518758529319,2.288826702397606
forcing_outage,1.2311558323369574,1041,1.176893371898266,1.0538254748773652
online,1.6533120004321349,1041,1.5168652363067725,1.5338801500336796
