mechanism,support,n_station_gaps,n_placements,mean_predicted_loss,mean_observed_loss
donor_sync,network_gap,51,1020,1.658626340296132,3.1733644106237455
donor_sync,network_mean_fallback,40,800,1.6350770120991283,4.005213584968779
donor_sync,station_gap,7,140,1.2188027914927662,1.5009858060942753
donor_sync,station_gap_season,248,4960,2.55407014375022,2.437864763983558
forcing_outage,network_gap,51,1020,0.8293790708632363,0.6633944583802237
forcing_outage,network_mean_fallback,40,800,0.6694715112689115,2.0349705602815584
forcing_outage,station_gap,7,140,0.7720410868790955,0.8695853418055035
forcing_outage,station_gap_season,248,4960,1.169927958204166,1.1527664092560796
high_temp_biased,network_gap,58,1160,0.973673494040796,0.7729576023503533
high_temp_biased,network_mean_fallback,39,708,0.7547127672209099,2.470763446732039
high_temp_biased,station_gap,17,336,1.4205743395424666,1.6588718839572147
high_temp_biased,station_gap_season,229,4555,1.3348896276649755,1.247381503367607
multi_block,network_gap,51,1020,0.5083217662637974,0.4263516944883657
multi_block,network_mean_fallback,40,800,0.47359331582835784,0.7346363483600318
multi_block,station_gap,7,140,0.4574821880959576,0.43862927219512304
multi_block,station_gap_season,248,4960,0.6218408700736396,0.5998606062504038
online,network_gap,51,1020,1.3013806580704381,0.8202958372153326
online,network_mean_fallback,40,800,1.1995016371902023,2.1823304776673518
online,station_gap,7,140,1.8350816435801198,1.5217999767273191
online,station_gap_season,248,4960,1.627122908699161,1.5526389722595806
summer_biased,network_gap,48,960,0.7668574048707827,0.6082895966684322
summer_biased,network_mean_fallback,42,840,0.6691333351701882,1.3444293798535334
summer_biased,station_gap_season,244,4880,0.9598193029865633,1.0264838973447503
uniform_block,network_gap,51,1020,0.7696629174543812,0.6188801863842418
uniform_block,network_mean_fallback,40,800,0.6660494601909295,2.0712250052479404
uniform_block,station_gap,7,140,0.7260890003384107,0.8035181756057437
uniform_block,station_gap_season,248,4960,1.0636744341919373,1.0608800599440102
