station_id,year,n_observations,pearson_r,spearman_r,linear_r2,quadratic_r2,high_flow_r2,low_flow_r2,suspected_derived_flow
B1,2006,365,0.9882634675348403,0.9998928243940023,0.9766646812639839,0.9993736515514982,0.9964048614289784,0.9981464729049682,True
B1,2007,365,0.984873707725938,0.9999674855907609,0.9699762201698346,0.998401963835288,0.9998345375087657,0.9946873653259757,True
B1,2008,366,0.9848115650550887,0.9993446221908143,0.9698538186662541,0.9986782017071588,0.9985342142250462,0.9944934124266817,True
B1,2009,365,0.991904690462973,0.9999261468510071,0.983874914962449,0.9988271651076062,0.9999342261976789,0.9905530810700511,True
B1,2010,365,0.9892151682618349,0.9999426208443956,0.9785466491192886,0.9992559423220108,0.99921651168723,0.9911172987922229,True
B1,2011,365,0.9865590699029282,0.9998723362735047,0.9732987984077307,0.998990901147558,0.9978830880889049,0.9732061156641043,True
B1,2012,366,0.9893730400852089,0.9999383160375853,0.9788590124474481,0.9972484559894348,0.9996386105853693,0.9949779189679391,True
B1,2013,365,0.9870374070086869,0.9985160380756312,0.9742428428344279,0.9981929514000265,0.9929044004280164,0.9519796433162028,True
B1,2014,365,0.9902318304107894,0.9999053525202674,0.9805590779587009,0.9994409726604642,0.9992647386754094,0.9909836543926952,True
B1,2015,365,0.9887987493754115,0.9998613568975563,0.9777229667663795,0.9996956497747416,0.9946741210382694,0.9114482815186433,True
B1,2016,366,0.9873105933197585,0.9984574248813727,0.9747822076814141,0.9990054382563143,0.9970325208025456,0.9922651846131487,True
B1,2017,365,0.9833400221434893,0.9978215540092076,0.9669575991491589,0.9958297245151702,0.9845820502739342,0.9772888197570915,True
B1,2018,365,0.9759817601432609,0.920608160026022,0.9525403961323372,0.9826053729885876,0.9858529362041223,0.9959725999523014,False
B1,2019,365,0.996482657512494,0.9681583436818088,0.9929776867231634,0.9961933931910744,0.9995971088927675,0.04261901220243247,True
B1,2020,366,0.9974592525949234,0.9879362698202565,0.9949249605872238,0.9995211033637718,0.9994514899347388,0.9712132469024731,True
P3,2006,365,0.9944227632751818,0.9999594650398496,0.9888766321198457,0.9999523649910104,0.9992314491481845,0.9970361868334765,True
