metric,n_placements,n_placements_total
annual_mean,0,1755
summer_mean,51,1755
amplitude,367,1755
phase_doy,0,1755
p90,0,1755
summer_max,51,1755
exceed_days_20,0,1755
exceed_days_25,0,1755
cdd10,0,1755
trend_slope,0,1755
