metric,label,units,n_units,n_networks,mean_err_recon,median_err_recon,mean_err_missing,median_err_missing,mean_err_clim,median_err_clim,mean_recon_over_missing
annual_mean,annual mean (degC),degC,351,15,0.09327719354911465,0.03611130960114437,0.7534617635101003,0.5441104456749635,0.1049312721257093,0.07363527397260228,0.12379817804498881
summer_mean,summer JJA mean (degC),degC,351,15,0.09805228502615157,0.026958112302033755,0.16461054231561617,0.07508415147264955,0.11664197181341966,0.04695652173913132,0.595662244026576
amplitude,amplitude Jul-Jan (degC),degC,342,15,0.038626113306922186,0.009189634553847715,0.10300594517792365,0.05674731182795654,0.07840639629462327,0.041935483870967884,0.3749891643652485
phase_doy,phase (day of peak),days,351,15,2.361423036371448,0.0,3.4198842189443504,0.1999952586729827,2.774562930913817,0.1999952586729827,0.6904979482318182
p90,90th percentile (degC),degC,351,15,0.1410520415390319,0.024872116088867812,0.46883688663167183,0.17000000000000065,0.14295771187456255,0.05999999999999943,0.30085525597700113
summer_max,summer maximum (degC),degC,351,15,0.12434036032087105,0.0,0.14807735474402142,0.0,0.0955678580678581,0.0,0.8396986867831069
exceed_days_20,days > 20 degC,count,351,15,2.2273504273504274,0.0,6.54928774928775,1.4,2.2387464387464386,0.2,0.34009048199060377
exceed_days_25,days > 25 degC,count,351,15,0.5156695156695157,0.0,0.6307692307692307,0.0,0.4108262108262108,0.0,0.8175248419150859
cdd10,degree days > 10 degC,degC-days,351,15,21.7210177173222,6.1211617279052914,157.72647631068273,69.30000000000004,23.494822122925513,13.560000000000002,0.13771319961866826
trend_slope,trend slope (degC/yr),degC/yr,351,15,0.0830636680290942,0.03228565305057725,0.6598619588889492,0.27033060838901424,0.12355248193262072,0.09341595171729977,0.12588037075050318
