network_id,metric,mean_err_recon,mean_err_missing,mean_risk_transfer,mean_risk_fit_loss,n_units
arso_bistrica,annual_mean,0.1179480669462023,0.6851165542329286,0.8293074078138849,0.8247428703027575,12
arso_sava,annual_mean,0.05173443042890193,0.6705539769641969,0.5583270150263552,0.5484621201347973,24
arso_savinja,annual_mean,0.0437209384296655,0.7709746238879275,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,annual_mean,0.05960282504676487,0.619190236199024,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,annual_mean,0.09167107892252603,0.7510816703632348,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,annual_mean,0.062463545189788285,0.4518189438718707,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,annual_mean,0.06530857935464789,0.3761145877401355,0.645712284387243,0.6401389329111766,12
huc8_02040101,annual_mean,0.07833046205696188,0.7957164197399541,0.7386696255652326,0.7359569277729102,18
huc8_05030103,annual_mean,0.16320744681547839,1.2616543677457444,1.1337371618302516,1.1273866242845056,27
huc8_17090004,annual_mean,0.0489919363215983,0.35937911378426335,0.5038219289142538,0.5062130296936812,21
lubw_neckar,annual_mean,0.1539560346324022,0.7900170347323936,0.8050079117613473,0.8023990503136653,30
lubw_rhein,annual_mean,0.13166446479047175,0.9593439844067705,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,annual_mean,0.13730083417796257,1.0040005527902993,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,annual_mean,0.1838708772833477,1.127479614571109,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,annual_mean,0.13109200325732429,0.8374261584428845,0.7158304596878785,0.6972036171980872,12
arso_bistrica,summer_mean,0.009525494247243109,0.020660204053571007,0.8293074078138849,0.8247428703027575,12
arso_sava,summer_mean,0.057267561839974314,0.12016824034036898,0.5583270150263552,0.5484621201347973,24
arso_savinja,summer_mean,0.005456867052161011,0.03736650991392342,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,summer_mean,0.02837165434924871,0.10108430421887654,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,summer_mean,0.07119587507685593,0.12907086496738016,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,summer_mean,0.06939923562865337,0.17647868499164124,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,summer_mean,0.08543249337569521,0.09639878839317688,0.645712284387243,0.6401389329111766,12
huc8_02040101,summer_mean,0.18747371991539252,0.24176534223142598,0.7386696255652326,0.7359569277729102,18
huc8_05030103,summer_mean,0.3393115963910227,0.49249403857574586,1.1337371618302516,1.1273866242845056,27
huc8_17090004,summer_mean,0.017553125637510446,0.08815159348575836,0.5038219289142538,0.5062130296936812,21
lubw_neckar,summer_mean,0.17649152919483405,0.16112737997293156,0.8050079117613473,0.8023990503136653,30
lubw_rhein,summer_mean,0.2296679946326098,0.41179151528480357,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,summer_mean,0.013881810458263841,0.09138463493749537,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,summer_mean,0.10516604266132203,0.1602513351279856,1.1921034478152746,1.1270079099756751,15
usgs_snake_river_huc4_1706,summer_mean,0.1199662158109142,0.3326540332587043,0.7158304596878785,0.6972036171980872,12
arso_bistrica,amplitude,0.057683418637748896,0.1061938534411797,0.8293074078138849,0.8247428703027575,12
arso_sava,amplitude,0.0230488606998997,0.09356545775451346,0.5583270150263552,0.5484621201347973,24
arso_savinja,amplitude,0.02307901437137318,0.12441425470405149,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,amplitude,0.0024033786427305197,0.014140506770211017,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,amplitude,0.011340868235488894,0.08259565412186373,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,amplitude,0.05651957952848049,0.11315120089254371,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,amplitude,0.06359769657521276,0.15480692236766908,0.645712284387243,0.6401389329111766,12
huc8_02040101,amplitude,0.11412633440526158,0.2801087767829763,0.7036164605650127,0.7002643965024717,17
huc8_05030103,amplitude,0.09079530930903641,0.14707224462365573,0.9082405808305699,0.9118574077945141,20
huc8_17090004,amplitude,0.014198030247922816,0.07971721202347828,0.5038219289142538,0.5062130296936812,21
lubw_neckar,amplitude,0.08281751321635365,0.17318686748893114,0.8050079117613473,0.8023990503136653,30
lubw_rhein,amplitude,0.09040914034687392,0.08961793861689418,0.6970234393362225,0.6958374909197212,9
rws_rijn_lek_nederrijn,amplitude,0.019234241441250917,0.09795041443999764,0.8207465270881208,0.8288572898433253,9
usgs_missouri_river_huc10,amplitude,0.010913473797730253,0.01611317589093294,1.1859892016814066,1.1219813548041728,14
usgs_snake_river_huc4_1706,amplitude,0.0021738880552270687,0.009410842293906782,0.7158304596878785,0.6972036171980872,12
arso_bistrica,phase_doy,3.569667238282943,3.5099123517880213,0.8293074078138849,0.8247428703027575,12
arso_sava,phase_doy,0.5546811160852444,1.79141937954539,0.5583270150263552,0.5484621201347973,24
arso_savinja,phase_doy,2.2309062617130313,4.714345066104626,0.3711990213389876,0.3717231647458657,15
foen_aare_aaregebiet,phase_doy,0.13971192266617719,0.11093439129859556,0.5541519054289862,0.5715436377939094,27
gkd_bayern_donau,phase_doy,3.0765222649228505,3.1599089650611583,0.8115639738049725,0.8470433125931347,30
gkd_bayern_isar,phase_doy,0.6205735247821821,1.9486182283691715,0.9315496565900045,0.9194571100083925,9
gkd_bayern_main,phase_doy,0.08330764597460728,0.34965243494135656,0.645712284387243,0.6401389329111766,12
huc8_02040101,phase_doy,3.0421079529534176,5.4521565351108,0.7386696255652326,0.7359569277729102,18
