network_id,role,site_id,variable,information_group,target_start,request_start,request_end,n_target_calendar_days,n_expected_provider_days,n_provider_rows,n_provider_eligible_rows,provider_row_coverage,eligible_coverage,pre_power_archive_days,source_status
huc8_04020105,development,04043097,Ta,M,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,P,M,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,W,M,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,RH,M,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,Rs,M,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,F,H,2014-09-30,2014-09-30,2025-11-17,4067,4067,4067,4067,1.0,1.0,0,materialized
huc8_04020105,development,04043097,L,H,2014-09-30,2014-09-30,2025-11-17,4067,4067,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04020105,development,04043238,Ta,M,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,P,M,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,W,M,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,RH,M,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,Rs,M,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,F,H,2004-12-02,2004-12-02,2025-12-09,7678,7678,7678,7678,1.0,1.0,0,materialized
huc8_04020105,development,04043238,L,H,2004-12-02,2004-12-02,2025-12-09,7678,7678,0,0,0.0,0.0,0,failed_or_unavailable
huc8_04020105,development,04043244,Ta,M,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,P,M,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,W,M,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,RH,M,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,Rs,M,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,F,H,2005-12-03,2005-12-03,2025-12-09,7312,7312,7312,7312,1.0,1.0,0,materialized
huc8_04020105,development,04043244,L,H,2005-12-03,2005-12-03,2025-12-09,7312,7312,0,0,0.0,0.0,0,failed_or_unavailable
