date,SALMON,TOTLK1,ANGEL1,TOTLK2,EP0128A,EP0132A,EP0131A
2010-03-18,8.675652173913043,12.865833333333333,,13.6375,,,
2010-03-19,9.458260869565216,12.784999999999998,,13.678333333333333,,,
2010-03-20,10.235,12.686666666666667,,13.765,,,
2010-03-21,9.4375,12.661666666666669,,13.55,,,
2010-03-22,8.984583333333333,12.726363636363637,,13.55909090909091,,,
2010-03-23,8.554583333333333,12.715833333333334,,13.565833333333332,,,
2010-03-24,9.67875,13.001666666666669,,14.038333333333334,,,
2010-03-25,10.43,12.739166666666668,,13.921666666666669,,,
2010-03-26,9.32625,12.380833333333332,,13.289166666666668,,,
2010-03-27,9.44,12.496666666666668,,13.539166666666668,,,
2010-03-28,9.088260869565218,12.685,,13.691666666666668,,,
2010-03-29,9.658333333333331,13.0425,,14.097500000000002,,,
2010-03-30,9.624782608695652,12.565833333333332,,13.706666666666663,,,
2010-03-31,7.449583333333333,10.96818181818182,,12.136363636363637,,,
2010-04-01,6.777916666666666,10.9675,,12.041666666666666,,,
2010-04-02,7.714166666666667,11.275,,12.691666666666668,,,
2010-04-03,8.054166666666667,11.03,,12.6475,,,
2010-04-04,8.16625,11.55923076923077,,12.796923076923076,,,
2010-04-05,7.994583333333334,11.915,,13.115,,,
2010-04-06,9.599166666666669,12.880833333333332,,13.943333333333332,,,
2010-04-07,9.604166666666666,13.29,,14.095384615384615,,,
2010-04-08,9.663333333333334,13.731666666666667,,14.375,,,
2010-04-09,10.295,14.270833333333334,,14.8625,,,
2010-04-10,11.045,14.545833333333334,,15.079166666666666,,,
2010-04-11,10.437916666666666,14.23,,14.845,,,
2010-04-12,9.690416666666666,13.8875,,14.53,,,
2010-04-13,9.64875,13.653333333333334,,14.38,,,
2010-04-14,9.205833333333333,13.544166666666667,,14.403333333333334,,,
2010-04-15,9.327083333333333,13.543333333333337,,14.394166666666663,,,
2010-04-16,9.904,13.868333333333332,,14.524166666666666,,,
2010-04-17,9.950416666666667,14.480833333333337,,15.0175,,,
2010-04-18,10.679583333333332,14.960833333333332,,15.4675,,,
2010-04-19,11.128333333333332,15.088333333333331,,15.6725,,,
2010-04-20,10.70375,14.826666666666668,11.59078431372549,15.356666666666667,,,
2010-04-21,9.949583333333331,14.565833333333332,10.433958333333331,15.0775,,,
2010-04-22,10.025,14.8125,10.451458333333331,15.4125,,,
2010-04-23,10.305416666666668,15.008333333333333,10.8271875,15.621666666666668,,,
2010-04-24,10.909999999999998,15.381666666666668,11.441770833333337,15.945833333333333,,,
2010-04-25,11.987826086956522,15.431666666666668,12.584791666666668,16.203333333333333,,,
2010-04-26,12.090416666666668,15.395,12.392604166666668,16.205000000000002,,,
2010-04-27,12.5725,15.805,12.83625,16.565,,,
2010-04-28,13.129583333333334,16.055,13.395833333333334,16.940833333333334,,,
2010-04-29,13.34625,16.214166666666667,13.587604166666669,17.046666666666667,,,
2010-04-30,12.659166666666666,15.515,12.869166666666668,16.474999999999998,,,
2010-05-01,12.397916666666667,14.9875,12.4503125,16.074166666666667,,,
2010-05-02,10.962916666666668,12.264166666666668,11.09375,13.148333333333332,,,
2010-05-03,10.052916666666668,12.773333333333332,10.615729166666666,13.756666666666668,,,
2010-05-04,9.216521739130432,13.51,10.0515625,14.59,,,
2010-05-05,9.6425,14.2692,10.589375,15.031666666666666,,,
2010-05-06,11.089166666666666,15.2325,11.755,15.837083333333332,,,
2010-05-07,10.293333333333331,14.780416666666667,10.9840625,15.301666666666668,,,
2010-05-08,9.58875,14.406666666666666,10.388958333333331,14.962083333333332,,,
2010-05-09,9.465416666666666,14.5525,10.31375,15.09625,,,
2010-05-10,9.769130434782609,14.99125,10.641770833333334,15.39875,,,
2010-05-11,8.883750000000001,14.420416666666668,9.844791666666667,14.975833333333334,,,
2010-05-12,8.5275,14.63125,9.641770833333334,15.087083333333334,,,
2010-05-13,8.900416666666667,15.064166666666663,10.10375,15.503749999999998,,,
2010-05-14,9.61,14.843333333333334,10.738854166666668,15.5575,,,
2010-05-15,10.86875,15.58875,11.711145833333331,16.043333333333333,,,
2010-05-16,11.112083333333333,15.224166666666669,11.834895833333334,15.868333333333334,,,
2010-05-17,11.830833333333333,15.45375,12.267604166666668,16.155833333333334,,,
2010-05-18,11.8075,15.729166666666666,12.261041666666666,16.2525,,,
2010-05-19,12.637916666666667,16.41125,13.0909375,16.84375,,,
2010-05-20,13.3716,17.125555555555554,13.914791666666666,17.524814814814814,,,
2010-05-21,14.954583333333332,18.07333333333333,15.327395833333334,18.31020833333333,,,
2010-05-22,15.482608695652177,18.35354166666667,15.8365625,18.585833333333333,,,
2010-05-23,15.971666666666666,18.795416666666664,16.394791666666666,18.948541666666667,,,
2010-05-24,16.974166666666665,19.124791666666667,17.5746875,19.37375,,,
2010-05-25,15.975,18.621666666666663,16.464270833333334,18.874375,,,
2010-05-26,13.78625,17.684791666666666,14.416770833333333,18.01395833333333,,,
2010-05-27,12.79875,17.198333333333334,13.691875,17.636458333333334,,,
2010-05-28,12.635833333333332,17.455625,13.710729166666669,17.63895833333333,,,
2010-05-29,12.90625,16.957708333333333,14.013229166666669,17.51729166666667,,,
