date,EN0012A,EN0085A,GPRSC4A,GPRSC5A,GPRSC6A,GPRSC7A,GPRSC8A,E01079A
2012-09-11,-9.99,,,,,,,
2012-09-12,-9.99,,,,,,,
2012-10-09,,10196.0,,,,,,
2012-10-10,,11935.130434782608,,,,,,
2012-11-06,,7.933513513513514,,,,,,
2012-11-07,7.545714285714285,8.204791666666667,,,,,,
2012-11-08,7.951458333333334,8.568645833333333,,,,,,
2012-11-09,8.246236559139785,8.557446808510639,,,,,,
2012-11-10,7.964270833333334,8.122708333333334,,,,,,
2012-11-11,6.586145833333333,7.368541666666666,,,,,,
2012-11-12,7.017083333333333,7.803655913978495,,,,,,
2012-11-13,8.319374999999999,8.689361702127659,,,,,,
2012-11-14,9.082083333333333,20.760210526315788,,,,,,
2012-11-15,8.6846875,83.30635416666667,,,,,,
2012-11-16,7.836458333333333,91.99076086956521,,,,,,
2012-11-17,7.83625,85.87770833333333,,,,,,
2012-11-18,5.221875,84.07427083333333,,,,,,
2012-11-19,6.2096875,84.35097560975609,,,,,,
2012-11-20,8.563541666666667,,,,,,,
2012-11-21,8.039895833333334,,,,,,,
2012-11-22,7.6765625,,,,,,,
2012-11-23,7.037187500000001,31.747750000000003,,,,,,
2012-11-24,5.863541666666666,11.547395833333333,,,,,,
2012-11-25,6.722564102564102,10.855416666666665,,,,,,
2012-11-26,7.5421875,11.228157894736842,,,,,,
2012-11-27,7.091875000000001,12.622222222222222,,,,,,12.440000000000001
2012-11-28,6.611473684210527,,,,,,,
2012-11-29,4.8096875,,,,,,,
2012-11-30,4.171145833333333,,,,,,,
2012-12-01,4.1775,,,,,,,
2012-12-02,3.436875,,,,,,,
2012-12-03,4.590833333333333,,,,,,,
2012-12-04,4.644895833333334,,,,,,,
2012-12-05,4.2628125,,,,,,,
2012-12-06,3.167959183673469,,,,,,,
2012-12-10,4.0593939393939396,,,,,,,
2012-12-11,3.106875,,,,,,,
2012-12-12,3.5792708333333336,,,,,,,
