date,P01020A,P01024A,E03228A,E06053A,E10096A,E04263A,E10217A,E16044A
2017-02-07,,,15.568979591836735,,,,,
2017-02-08,,,13.812033898305085,,,,,
2017-02-24,,,6.0231818181818175,,,,,
2017-02-25,,,6.440625,,,,,
2017-02-26,,,7.142291666666666,,,,,
2017-02-27,,,6.198333333333333,,,,,
2017-02-28,,,4.810625,,,,,
2017-03-01,,,4.622083333333333,,,,,
2017-03-02,,,4.767291666666667,,,,,
2017-03-03,,,5.0075,,,,,
2017-03-04,,,6.1433333333333335,,,,,
2017-03-05,,,5.927499999999999,,,,,
2017-03-06,,,5.845416666666666,,,,,
2017-03-07,,,5.560208333333333,,,,,
2017-03-08,,,6.2707500000000005,,,,,
2017-03-09,,,6.2075,,,,,
2017-03-10,,,6.523958333333333,,,,,
2017-03-11,,,7.729583333333333,,,,,
2017-03-12,,,8.123125,,,,,
2017-03-13,,,7.391875,,,,,
2017-03-14,,,8.012291666666666,,,,,
2017-03-15,,,7.838958333333333,,,,,
2017-03-16,,,7.53125,,,,,
2017-03-17,,,6.735416666666667,,,,,
2017-03-18,,,8.408333333333333,,,,,
2017-03-19,,,9.601666666666667,,,,,
2017-03-20,,,8.325833333333334,,,,,
2017-03-21,,,5.781666666666666,,,,,
2017-03-22,,,6.260833333333333,,,,,
2017-03-23,,,6.995625,,,,,
2017-03-24,,,6.607708333333334,,,,,
2017-03-25,,,5.888333333333333,,,,,
2017-03-26,,,5.9972916666666665,,,,,
2017-03-27,,,6.711041666666667,,,,,
2017-03-28,,,7.17875,,,,,
2017-03-29,,,8.801041666666666,,,,,
2017-03-30,,,10.975833333333334,,,,,
2017-03-31,,,11.048958333333333,,,,,
2017-04-01,,,9.626458333333334,,,,,
2017-04-02,,,9.384166666666667,,,,,
2017-04-03,,,9.316875,,,,,
2017-04-04,,,8.906458333333333,,,,,
2017-04-05,,,7.9156249999999995,,,,,
2017-04-06,,,8.132708333333333,,,,,
2017-04-07,,,8.217291666666666,,,,,
2017-04-08,,,8.443541666666667,,,,,
2017-04-09,,,10.403541666666667,,,,,
2017-04-10,,,8.356041666666668,,,,,
2017-04-11,,,8.245416666666666,,,,,
2017-04-12,,,8.687916666666666,,,,,
2017-04-13,,,7.625625,,,,,
2017-04-14,,,8.652708333333333,,,,,
2017-04-15,,,8.268749999999999,,,,,
2017-04-16,,,7.105,,,,,
2017-04-17,,,7.473958333333333,,,,,
2017-04-18,,,6.868125,,,,,
2017-04-19,,,6.890625,,,,,
2017-04-20,,,9.2575,,,,,
2017-04-21,,,10.09375,,,,,
2017-04-22,,,8.473333333333333,,,,,
2017-04-23,,,8.661666666666667,,,,,
2017-04-24,,,7.886458333333334,,,,,
2017-04-25,,,5.161458333333333,,,,,
2017-04-26,,,6.036041666666667,,,,,
2017-04-27,,,6.596875,,,,,
2017-04-28,,,7.849374999999999,,,,,
2017-04-29,,,8.847708333333333,,,,,
2017-04-30,,,9.25125,,,,,
2017-05-01,,,10.140208333333334,,,,,
2017-05-02,,,8.917291666666666,,,,,
2017-05-03,,,9.081666666666667,,,,,
2017-05-04,,,8.820416666666667,,,,,
2017-05-17,112263.0,,,,,,,
2017-05-18,-9.99,-9.99,,,,,,
2017-05-19,-9.99,-9.99,,,,,,
2017-06-13,25.02,23.780749999999998,,,,,,
2017-06-15,13.898137931034482,,,,,,,
2017-06-16,13.229875,,,,,,,
2017-06-17,13.993125,,,,,,,
2017-06-18,14.290833333333333,,,,,,,
2017-06-19,14.533895833333332,,,,,,,
2017-06-20,14.138708333333334,,,,,,,
2017-06-21,13.9945,,,,,,,
2017-06-22,14.270375,,,,,,,
2017-06-23,13.839708333333334,13.87403448275862,,,,,,
2017-06-24,14.167479166666666,13.931333333333333,,,,,,
2017-06-25,13.727104166666665,13.326916666666667,,,,,,
2017-06-26,12.985958333333334,12.583625,,,,,,
2017-06-27,12.914520833333334,12.296124999999998,,,,,,
2017-06-28,13.4895,13.069936170212767,,,,,,
2017-06-29,13.840857142857143,13.518458333333333,,,,,,
2017-06-30,13.6776875,13.068166666666668,,,,,,
2017-07-01,13.933666666666667,13.240468085106384,,,,,,
2017-07-02,13.807479166666667,13.033425531914894,,,,,,
2017-07-03,13.592854166666667,12.911333333333333,,,,,,
2017-07-04,13.440583333333334,12.742083333333333,,,,,,
2017-07-05,13.561250000000001,13.145125,,,,,,
2017-07-06,14.299916666666666,14.123510638297871,,,,,,
2017-07-07,18.344166666666666,14.290479166666666,,,,,,
2017-07-08,18.407020833333334,13.246291666666666,,,,,,
2017-07-09,19.231458333333332,13.677416666666666,,,,,,
2017-07-10,14.4246875,13.561893617021276,,,,,,
2017-07-11,13.590916666666667,12.745583333333334,,,,,,
2017-07-12,13.686333333333332,12.832083333333335,,,,,,
2017-07-13,13.708958333333333,13.218854166666667,,,,,,
2017-07-14,14.393489795918368,13.075530612244899,,,,,,
2017-07-15,14.7995,13.927333333333335,,,,,,
2017-07-16,14.788916666666667,14.258770833333335,,,,,,
2017-07-17,14.263520833333333,13.780416666666667,,,,,,
2017-07-18,14.320333333333332,14.071354166666666,,,,,,
2017-07-19,14.475958333333333,14.3,,,,,,
2017-07-20,14.789104166666666,14.087152173913044,,,,,,
2017-07-21,14.473083333333333,13.569958333333332,,,,,,
2017-07-22,14.542270833333333,13.862229166666665,,,,,,
2017-07-23,14.299083333333334,13.576333333333332,,,,,,
2017-07-24,14.873020833333333,14.457749999999999,,,,,,
2017-07-25,14.504979166666667,13.881291666666668,,,,,,
2017-07-26,14.7316875,14.018229166666666,,,,,,
2017-07-27,14.5673125,13.937708333333333,,,,,,
