date,GPRSA9A,GSML37,EN0099A,EN0100A,EN0101A,EP0124A,EP0130A,EP0137A
2012-08-22,16.334285714285716,16.045454545454547,,,,,,
2012-08-23,15.409999999999998,15.102812499999999,,,,,,
2012-08-24,15.411354166666667,15.126041666666666,,,,,,
2012-08-25,15.364375,15.363437500000002,,,,,,
2012-08-26,14.741354166666667,14.798645833333333,,,,,,
2012-08-27,14.906145833333333,15.061250000000001,,,,,,
2012-08-28,14.8925,14.970625,,,,,,
2012-08-29,14.820416666666667,14.9084375,,,,,,
2012-08-30,14.271145833333334,14.292499999999999,,,,,,
2012-08-31,13.642083333333334,13.406354166666667,,,,,,
2012-09-01,14.693645833333333,14.465,,,,,,
2012-09-02,15.164791666666666,14.762291666666668,,,,,,
2012-09-03,15.395104166666668,15.193958333333333,,,,,,
2012-09-04,15.469375,15.134479166666667,,,,,,
2012-09-05,15.20375,14.7715625,,,,,,
2012-09-06,14.485520833333332,14.046145833333334,,,,,,
2012-09-07,14.379270833333335,13.783541666666666,,,,,,
2012-09-08,14.5840625,13.788854166666667,,,,,,
2012-09-09,15.1490625,14.415729166666667,,,,,,
2012-09-10,15.555208333333333,15.1475,,,,,,
2012-09-11,14.324270833333335,14.163645833333334,,,,,,
2012-09-12,14.163229166666667,13.8065625,,,,,,
2012-09-13,14.371770833333334,13.864270833333334,,,,,,
2012-09-14,14.753958333333335,14.445520833333333,,,,,,
2012-09-15,13.826979166666668,13.702916666666667,,,,,,
2012-09-16,13.939270833333333,14.023541666666667,,,,,,
2012-09-17,13.816770833333335,13.851145833333334,,,,,,
2012-09-18,13.792812499999998,13.386041666666666,,,,,,
2012-09-19,12.195520833333333,12.021666666666667,,,,,,
2012-09-20,12.062708333333333,11.893645833333332,,,,,,
2012-09-21,12.966458333333334,12.185520833333333,,,,,,
2012-09-22,12.952708333333334,12.018229166666666,,,,,,
2012-09-23,13.125416666666666,12.736666666666666,,,,,,
2012-09-24,12.898333333333333,12.774479166666666,,,,,,
2012-09-25,12.774895833333334,12.410104166666665,,,,,,
2012-09-26,12.663229166666667,12.579374999999999,,,,,,
2012-09-27,12.618125,12.603958333333333,,,,,,
2012-09-28,12.849270833333334,12.738541666666668,,,,,,
2012-09-29,12.659791666666665,12.429895833333333,,,,,,
2012-09-30,12.944166666666668,12.630520833333334,,,,,,
2012-10-01,13.3278125,13.3431,,,,,,
2012-10-02,13.4125,13.139166666666666,,,,,,
2012-10-03,12.916842105263157,12.665526315789474,,,,,,
2012-10-16,,,-9.99,17.82736842105263,,,,
2012-10-17,,,-9.99,16.01109090909091,1337.445322580645,,,
2012-10-18,,,,,-9.99,,,
2012-11-20,,,16.798333333333332,16.74,,,,
2012-11-21,,,,,13.4275,,,
2012-11-30,,,,11.244081632653062,,,,
2012-12-01,,,,11.004375000000001,,,,
2012-12-02,,,,10.807604166666666,,,,
2012-12-03,,,,10.915416666666667,,,,
2012-12-04,,,8.14735632183908,9.690833333333334,,,,
2012-12-05,,,7.925760869565217,10.241145833333333,9.048039215686273,,,
2012-12-06,,,7.649166666666667,10.561666666666666,9.12125,,,
2012-12-07,,,8.0559375,10.581354166666666,9.153125000000001,,,
2012-12-08,,,8.532916666666667,11.083333333333334,9.605,,,
2012-12-09,,,9.016875,11.149791666666665,9.986041666666667,,,
2012-12-10,,,8.038229166666666,10.798854166666667,9.147291666666666,,,
2012-12-11,,,7.155,10.6090625,8.478645833333333,,,
