date,GPRSA1A,EN0091A,EP0141A,M01015A,E02012A,E01100A
2012-07-12,15.839166666666667,,,,,
2012-07-13,14.9846875,,,,,
2012-07-14,15.3828125,,,,,
2012-07-15,14.917916666666665,,,,,
2012-07-16,15.658854166666666,,,,,
2012-07-17,16.384375000000002,,,,,
2012-07-18,16.428645833333334,,,,,
2012-07-19,16.2940625,,,,,
2012-07-20,16.3053125,,,,,
2012-07-21,16.391354166666666,,,,,
2012-07-22,17.380416666666665,,,,,
2012-07-23,18.368958333333335,,,,,
2012-07-24,19.0809375,,,,,
2012-07-25,19.226145833333334,,,,,
2012-07-26,20.4615625,,,,,
2012-07-27,20.726979166666666,,,,,
2012-07-28,19.5084375,,,,,
2012-07-29,18.170625,,,,,
2012-07-30,17.386666666666667,,,,,
2012-07-31,17.050104166666667,,,,,
2012-08-01,16.921354166666667,,,,,
2012-08-02,17.350520833333334,,,,,
2012-08-03,18.141041666666666,,,,,
2012-08-04,18.6028125,,,,,
2012-08-05,18.286354166666666,,,,,
2012-08-06,17.578333333333333,,,,,
2012-08-07,16.719375,,,,,
2012-08-08,16.96625,,,,,
2012-08-09,18.028125,,,,,
2012-08-10,19.066770833333333,,,,,
2012-08-11,19.358229166666668,,,,,
2012-08-12,19.679895833333333,,,,,
2012-08-13,19.538854166666667,,,,,
2012-08-14,19.556979166666668,,,,,
2012-08-15,19.329270833333332,,,,,
2012-08-16,17.600729166666667,,,,,
2012-08-17,17.53322916666667,,,,,
2012-08-18,18.441875,,,,,
2012-08-19,19.5853125,,,,,
2012-08-20,20.026770833333334,,,,,
2012-08-21,19.83729166666667,,,,,
2012-08-22,18.611250000000002,,,,,
2012-08-23,17.873124999999998,,,,,
2012-08-24,17.302395833333332,,,,,
2012-08-25,16.782395833333332,,,,,
2012-08-26,16.123854166666668,,,,,
2012-08-27,16.000208333333333,,,,,
2012-08-28,16.293125,,,,,
2012-08-29,15.9696875,,,,,
2012-08-30,15.7871875,,,,,
2012-08-31,15.445729166666666,,,,,
2012-09-01,15.6659375,,,,,
2012-09-02,15.775833333333333,,,,,
2012-09-03,16.35625,,,,,
2012-09-04,16.72520833333333,,,,,
2012-09-05,16.9690625,,,,,
2012-09-06,16.393125,,,,,
2012-09-07,16.1175,,,,,
2012-09-08,16.255104166666666,,,,,
2012-09-09,16.036770833333332,,,,,
2012-09-10,16.44364583333333,,,,,
2012-09-11,16.116666666666667,,,,,
2012-09-12,15.4203125,,,,,
2012-09-13,15.128958333333335,,,,,
2012-09-14,15.696041666666666,,,,,
2012-09-15,15.633958333333332,,,,,
2012-09-16,15.665520833333334,,,,,
2012-09-17,15.404479166666667,,,,,
2012-09-18,15.003541666666665,,,,,
2012-09-19,14.342604166666668,,,,,
2012-09-20,13.959583333333333,,,,,
2012-09-21,13.796875,,,,,
2012-09-22,13.510833333333332,,,,,
2012-09-23,12.866979166666667,,,,,
2012-09-24,12.344270833333333,,,,,
2012-09-25,12.664895833333333,,,,,
2012-09-26,12.883854166666666,,,,,
2012-09-27,13.072083333333333,,,,,
2012-09-28,12.984479166666667,,,,,
2012-09-29,12.8384375,,,,,
2012-09-30,12.730833333333335,,,,,
2012-10-01,13.461770833333333,,,,,
2012-10-02,13.562083333333334,,,,,
2012-10-03,13.2834375,,,,,
2012-10-04,12.582604166666668,,,,,
2012-10-05,12.674999999999999,,,,,
2012-10-06,12.583541666666667,,,,,
2012-10-07,11.929583333333333,,,,,
2012-10-08,12.295208333333333,,,,,
2012-10-09,12.738645833333335,,,,,
2012-10-10,12.523541666666667,,,,,
2012-10-11,13.105625000000002,,,,,
2012-10-12,12.857708333333333,,,,,
2012-10-13,11.716354166666667,,,,,
2012-10-14,10.693125,,,,,
2012-10-15,10.463854166666666,,,,,
2012-10-16,11.222291666666665,,,,,
2012-10-17,11.574791666666668,,,,,
2012-10-18,11.928229166666666,,,,,
2012-10-19,11.828645833333333,,,,,
2012-10-20,11.245104166666666,,,,,
2012-10-21,11.192604166666667,,,,,
2012-10-22,11.6890625,,,,,
2012-10-23,12.241041666666668,,,,,
2012-10-24,12.556354166666667,,,,,
2012-10-25,12.597157894736842,,,,,
2012-10-26,11.463645833333333,,,,,
2012-10-27,8.951145833333333,,,,,
2012-10-28,7.8325,,,,,
2012-10-29,8.525729166666666,,,,,
2012-10-30,9.335520833333334,,,,,
2012-10-31,9.468020833333332,,,,,
2012-11-01,9.342604166666666,,,,,
2012-11-02,8.526770833333334,,,,,
2012-11-03,7.871875,,,,,
2012-11-04,7.285729166666666,,,,,
2012-11-05,7.689791666666667,,,,,
2012-11-06,7.673125,,,,,
2012-11-07,8.1653125,,,,,
2012-11-08,9.115416666666667,,,,,
2012-11-09,9.235520833333334,,,,,
2012-11-10,9.268749999999999,,,,,
2012-11-11,8.463882352941177,,,,,
2012-12-06,,10196.0,,,,
2012-12-07,,10196.0,,,,
2013-02-19,,-9.99,,,,
2013-04-03,,,,,15.693863636363636,
2013-04-04,,,,,11.442758620689656,
2013-04-09,,,,,7.709428571428571,
2013-04-10,,,,,8.145416666666668,
2013-04-11,,,,,9.374166666666666,
2013-04-12,,,,,10.244166666666667,
2013-04-13,,,,,9.679270833333334,
2013-04-14,,,,,10.698541666666666,
2013-04-15,,,,,11.79,
2013-04-16,,,,,12.568854166666666,
