date,EP0111A,EP0112A,E01010A,E01021A,E02025A,E02033A,E03017A,E02034A
2012-10-22,,,,16.259999999999998,,,,
2012-10-26,,,9.952307692307691,10.259464285714285,,,,
2012-10-27,,,8.097083333333332,8.297916666666667,,,,
2012-10-28,,,8.567395833333334,8.696666666666667,,,,
2012-10-29,,,10.149583333333334,10.255,,,,
2012-10-30,,,9.834270833333333,9.96875,,,,
2012-10-31,,,10.0021875,10.124583333333334,,,,
2012-11-01,,,9.288645833333334,9.451354166666667,,,,
2012-11-02,,,8.408333333333333,8.53875,,,,
2012-11-03,,,8.641562500000001,8.78875,,,,
2012-11-04,,,8.1484375,8.261979166666666,,,,
2012-11-05,,,7.907604166666666,8.068229166666667,,,,
2012-11-06,,,7.9913541666666665,8.134375,,,,
2012-11-07,,,9.342708333333333,9.453333333333333,,,,
2012-11-08,,,9.922395833333333,10.035625,,,,
2012-11-09,,,9.619791666666666,9.752916666666666,,,,
2012-11-10,,,9.952395833333332,10.059583333333334,,,,
2012-11-11,,,8.183958333333333,8.345,,,,
2012-11-12,,,9.224479166666667,9.34875,,,,
2012-11-13,,,10.733541666666667,10.839374999999999,,,,
2012-11-14,,,10.741770833333334,10.845520833333333,,,,
2012-11-15,,,9.6315625,9.779479166666667,,,,
2012-11-16,,,9.917291666666666,10.044791666666667,,,,
2012-11-17,,,10.455625,10.561041666666666,,,,
2012-11-18,,,8.343854166666667,8.500416666666666,,,,
2012-11-19,,,9.152083333333334,9.275729166666666,,,,
2012-11-20,,,11.01215053763441,11.093541666666667,,,,
2012-11-21,,,,10.69265306122449,,,,
2012-12-05,,,,12.538,,,,
2013-05-08,,,,,16.067,18.157999999999998,14.266,
2013-05-15,,,,,9.412,9.738,9.274000000000001,
2013-05-16,,,,,9.814666666666666,9.999142857142857,9.680285714285715,
2013-05-17,,,,,9.292708333333334,9.444374999999999,9.297083333333333,
2013-05-18,,,,,9.967708333333333,10.132083333333332,9.984375,
2013-05-19,,,,,10.722499999999998,10.787916666666668,10.736041666666667,
2013-05-20,,,,,10.808333333333332,10.898333333333333,10.814166666666667,
2013-05-21,,,,,11.656458333333333,11.765416666666667,11.669791666666667,17.3
2013-05-22,,,,,11.285833333333334,11.388958333333333,11.287708333333335,
2013-05-23,,,,,9.995208333333332,10.068958333333333,10.006874999999999,
2013-05-24,,,,,8.710208333333332,8.852708333333334,8.709999999999999,
2013-05-25,,,,,8.867083333333333,9.131041666666667,8.85125,
2013-05-26,,,,,9.3675,9.6175,9.369583333333333,
2013-05-27,,,,,9.666458333333333,9.864375,9.687916666666666,
2013-05-28,,,,,9.7525,9.844791666666667,9.77125,
2013-05-29,,,,,9.698125,9.865416666666667,9.703541666666666,
2013-05-30,,,,,11.091875,11.183541666666665,11.113124999999998,
2013-05-31,,-9.99,,,12.058750000000002,12.262916666666667,12.062291666666667,
2013-06-01,,-9.99,,,12.565624999999999,12.729166666666666,12.572291666666667,
