date,6ff82c44-bbf2-4593-8218-76569f550b47,f8ae6b4c-56c4-45a1-b83f-4697843b937f,bfc68b5e-abb1-4d68-97cb-f066350d2e01,E03081A,E04007A,E07012A
2014-04-08,,,,15.305,,
2014-04-09,,,,14.441153846153846,,
2014-04-30,,,,13.41375,,
2014-05-01,,,,11.603541666666668,,
2014-05-02,,,,10.872708333333334,,
2014-05-03,,,,10.471458333333333,,
2014-05-04,,,,11.651666666666666,,
2014-05-05,,,,11.804583333333332,,
2014-05-06,,,,12.942708333333334,,
2014-05-07,,,,12.170833333333334,,
2014-05-08,,,,11.935208333333334,,
2014-05-09,,,,12.338958333333332,,
2014-05-10,,,,12.288333333333334,,
2014-05-11,,,,11.868333333333332,,
2014-05-12,,,,11.536041666666668,,
2014-05-13,,,,11.723333333333334,,
2014-05-14,,,,12.032916666666669,,
2014-05-15,,,,12.51625,,
2014-05-16,,,,13.492708333333333,,
2014-05-17,,,,14.029583333333331,,
2014-05-18,,,,14.221458333333333,,
2014-05-19,,,,14.573958333333332,,
2014-05-20,,,,14.380833333333332,,
2014-05-21,,,,14.458125,,
2014-05-22,,,,13.4225,,
2014-05-23,,,,13.287916666666668,,
2014-05-24,,,,12.48375,,
2014-05-25,,,,13.051041666666668,,
2014-05-26,,,,12.136041666666666,,
2014-05-27,,,,12.091666666666669,,
2014-05-28,,,,11.93408163265306,,
2014-05-29,,,,11.864375,,
2014-05-30,,,,11.989583333333334,,
2014-05-31,,,,12.396875,,
2014-06-01,,,,12.772708333333334,,
2014-06-02,,,,13.985,,
2014-06-03,,,,13.821458333333332,,
2014-06-04,,,,13.18625,,
2014-06-05,,,,12.841458333333334,,
2014-06-06,,,,13.062083333333334,,
2014-06-07,,,,13.540833333333332,,
2014-06-08,,,,14.020625,,
2014-06-09,,,,14.300208333333332,,
2014-06-10,,,,14.784791666666663,,
2014-06-11,,,,14.335625,,
2014-06-12,,,,14.593958333333331,,
2014-06-13,,,,14.674166666666666,,
2014-06-14,,,,15.00125,,
2014-06-15,,,,14.41875,,
2014-06-16,,,,13.612916666666663,,
2014-06-17,,,,13.809791666666667,,
2014-06-18,,,,14.861458333333331,,
2014-06-19,,,,14.619791666666666,,
2014-06-20,,,,14.944791666666667,,
2014-06-21,,,,14.467291666666666,,
2014-06-22,,,,15.077083333333334,,
2014-06-23,,,,15.478125,,
2014-06-24,,,,14.654285714285717,,
2016-02-24,,,,,15.889999999999999,
2016-03-02,,,,,7.7648,5.574285714285715
2016-03-03,,,,,7.548541666666666,5.21875
2016-03-04,,,,,6.1275,5.101249999999999
2016-03-05,,,,,7.039166666666667,5.421250000000001
2016-03-06,,,,,6.968541666666667,5.041875
2016-03-07,,,,,6.847916666666666,4.455208333333333
2016-03-08,,,,,6.941666666666666,4.534166666666667
2016-03-09,,,,,6.5718749999999995,5.421250000000001
2016-03-10,,,,,7.455625,6.016666666666667
2016-03-11,,,,,8.526041666666666,6.3758333333333335
2016-03-12,,,,,8.672708333333334,6.290833333333333
2016-03-13,,,,,9.197916666666666,6.4875
2016-03-14,,,,,8.9175,6.199583333333333
2016-03-15,,,,,8.899583333333334,6.393958333333334
2016-03-16,,,,,9.304166666666667,6.7039583333333335
2016-03-17,,,,,8.721458333333333,5.717083333333334
2016-03-18,,,,,8.220416666666667,5.286666666666666
2016-03-19,,,,,8.891041666666666,6.117291666666667
2016-03-20,,,,,10.027708333333333,6.967708333333333
2016-03-21,,,,,9.395416666666668,6.503541666666667
2016-03-22,,,,,9.116875,6.138958333333334
2016-03-23,,,,,9.752916666666666,6.74625
2016-03-24,,,,,9.429583333333333,6.6312500000000005
2016-03-25,,,,,10.621666666666666,7.5633333333333335
2016-03-26,,,,,9.938333333333334,7.517708333333334
2016-03-27,,,,,9.391041666666666,6.953125
2016-03-28,,,,,7.489791666666666,6.665208333333333
2016-03-29,,,,,8.189375,6.733125
2016-03-30,,,,,8.768958333333334,6.8218749999999995
2016-03-31,,,,,8.99625,6.593333333333334
2016-04-01,,,,,8.920208333333333,6.445
2016-04-02,,,,,10.132708333333333,7.703333333333333
2016-04-03,,,,,11.198333333333332,8.34
2016-04-04,,,,,10.876875,8.689166666666667
2016-04-05,,,,,10.109166666666667,7.87125
2016-04-06,,,,,9.549166666666666,7.324166666666667
2016-04-07,,,,,9.667708333333334,7.499375
2016-04-08,,,,,10.625,8.028333333333334
2016-04-09,,,,,10.453125,8.028333333333334
2016-04-10,,,,,9.991041666666666,7.257291666666667
2016-04-11,,,,,11.044166666666667,8.564791666666666
2016-04-12,,,,,11.11875,8.784166666666666
2016-04-13,,,,,11.38125,8.351666666666667
2016-04-14,,,,,11.343958333333333,8.714375
2016-04-15,,,,,10.393125,8.074791666666666
2016-04-16,,,,,8.875,7.450625
2016-04-17,,,,,9.145833333333334,7.091458333333333
2016-04-18,,,,,9.709999999999999,7.626666666666666
2016-04-19,,,,,10.925833333333332,8.048958333333333
2016-04-20,,,,,11.383958333333332,8.101041666666667
2016-04-21,,,,,11.225208333333333,8.111458333333333
2016-04-22,,,,,11.437708333333333,8.537291666666667
2016-04-23,,,,,10.686458333333334,7.387083333333333
2016-04-24,,,,,10.402083333333334,7.537708333333334
2016-04-25,,,,,10.25375,7.52875
2016-04-26,,,,,9.180416666666668,6.128958333333333
2016-04-27,,,,,9.389166666666666,6.182708333333333
2016-04-28,,,,,8.994375,6.261041666666666
2016-04-29,,,,,8.733333333333333,6.532291666666667
2016-04-30,,,,,9.393541666666666,6.800416666666667
2016-05-01,,,,,10.006666666666666,7.250416666666666
2016-05-02,,,,,11.819791666666667,9.474791666666667
2016-05-03,,,,,11.054166666666667,8.351458333333333
2016-05-04,,,,,10.03375,6.739565217391304
2017-05-16,,12.686,,,,
2017-05-17,,12.851,,,,
2017-05-18,,12.11,,,,
2017-05-19,,11.898,,,,
2017-05-20,,11.55,,,,
2017-05-21,,11.604,,,,
2017-05-22,,12.672,,,,
2017-05-23,,13.804,,,,
