date,E01114A,E05063A,E03152A,E09102A,E03149A,E05112A,E14026A,E15021A
2013-12-04,,13.735,,,,,,
2013-12-05,,4.739130434782608,,,,,,
2013-12-06,,4.62375,,,,,,
2013-12-07,,5.067916666666666,,,,,,
2013-12-08,,5.152083333333334,,,,,,
2013-12-09,,4.596666666666667,,,,,,
2013-12-10,,3.923958333333333,,,,,,
2013-12-11,,3.8360416666666666,,,,,,
2013-12-12,,3.4460416666666664,,,,,,
2013-12-13,,4.6362499999999995,,,,,,
2013-12-14,,4.885416666666667,,,,,,
2013-12-15,,6.164583333333333,,,,,,
2013-12-16,,8.356250000000001,,,,,,
2013-12-17,,7.684375,,,,,,
2013-12-18,,7.53125,,,,,,
2013-12-19,,7.287916666666667,,,,,,
2013-12-20,,6.25875,,,,,,
2013-12-21,,7.706666666666667,,,,,,
2013-12-22,,7.607500000000001,,,,,,
2013-12-23,,7.350833333333333,,,,,,
2013-12-24,,8.285416666666666,,,,,,
2013-12-25,,7.0460416666666665,,,,,,
2013-12-26,,6.031458333333333,,,,,,
2013-12-27,,6.892291666666666,,,,,,
2013-12-28,,6.235625,,,,,,
2013-12-29,,4.846875,,,,,,
2013-12-30,,6.026875,,,,,,
2014-01-01,7.153333333333333,7.078333333333333,,,,,,
2014-01-02,7.562083333333334,7.385000000000001,,,,,,
2014-01-03,7.83,7.646190476190476,,,,,,
2015-06-30,,,22.316842105263156,21.99857142857143,,,,
2015-07-09,,,17.552321428571428,15.853714285714286,,,,
2015-07-10,,,17.57125,15.4834375,,,,
2015-07-11,,,18.22010416666667,16.223645833333332,,,,
2015-07-12,,,18.311458333333334,16.260625,,,,
2015-07-13,,,17.938541666666666,16.440520833333334,,,,
2015-07-14,,,18.2103125,17.085104166666667,,,,
2015-07-15,,,19.04125,17.615312499999998,,,,
2015-07-16,,,18.781875,17.52989583333333,,,,
2015-07-17,,,18.361458333333335,17.643125,,,,
2015-07-18,,,17.999895833333333,15.7746875,,,,
2015-07-19,,,18.156666666666666,16.640104166666667,,,,
2015-07-20,,,18.82298969072165,17.0325,,,,
2015-07-21,,,18.518854166666667,16.882708333333333,,,,
2015-07-22,,,18.08375,16.5025,,,,
2015-07-23,,,17.510104166666668,15.5021875,,,,
2015-07-24,,,16.692604166666666,15.855312499999998,,,,
2015-07-25,,,15.648854166666666,16.531875,,,,
2015-07-26,,,14.756145833333333,15.356145833333334,,,,
2015-07-27,,,15.603333333333333,16.340833333333332,,,,
2015-07-28,,,15.9478125,15.112708333333332,,,,
2015-07-29,,,15.363541666666668,14.192083333333334,,,,
2015-07-30,,,14.402916666666668,14.098125000000001,,,,
2015-07-31,,,14.450416666666667,14.250416666666666,,,,
2015-08-01,,,14.60125,14.318541666666667,,,,
2015-08-02,,,15.769687500000002,15.339166666666666,,,,
2015-08-03,,,16.65010416666667,16.480625,,,,
2015-08-04,,,16.74802083333333,16.038229166666667,,,,
2015-08-05,,,17.2271875,15.9603125,,,,
2015-08-06,,,17.331145833333334,16.392500000000002,,,,
2015-08-07,,,16.268020833333335,15.504583333333334,,,,
2015-08-08,,,17.074895833333333,16.4678125,,,,
2015-08-09,,,17.340104166666666,16.617395833333333,,,,
2015-08-10,,,18.674895833333334,17.3625,,,,
2015-08-11,,,17.286875,17.170833333333334,,,,
2015-08-12,,,17.6415625,17.699895833333333,,,,
2015-08-13,,,17.410625,18.123541666666664,,,,
2015-08-14,,,17.510217391304348,18.558787878787882,,,,
2017-04-24,,,,,18.18821951219512,,18.277368421052632,18.5296
2017-04-25,,,,,17.435755813953488,,,16.956999999999997
2017-04-26,,,,,,16.383,,
2017-05-04,,,,,10.548125,11.042648648648647,10.637272727272729,12.19141176470588
2017-05-05,,,,,10.186479166666668,10.47546218487395,10.656041666666669,11.721833333333334
2017-05-06,,,,,10.683291666666667,11.412520833333334,11.440208333333333,11.888166666666663
2017-05-07,,,,,10.4339375,11.453958333333333,11.423333333333334,12.2415
2017-05-08,,,,,9.735229166666668,10.981645833333333,10.736041666666669,11.602458333333333
2017-05-09,,,,,9.351354166666669,10.5875,10.389375,10.964375
2017-05-10,,,,,9.341104166666666,10.7355,10.451666666666666,11.155083333333332
2017-05-11,,,,,10.051041666666666,10.97175,11.30125,11.746229166666666
2017-05-12,,,,,11.634333333333332,12.340083333333332,12.741428571428573,13.484354166666668
2017-05-13,,,,,11.673208333333331,12.725395833333332,12.911458333333334,13.503875
2017-05-14,,,,,11.832604166666668,13.090145833333333,13.142083333333334,14.373583333333334
2017-05-15,,,,,11.305145833333334,12.400791666666668,12.4975,13.673583333333331
2017-05-16,,,,,12.602151515151515,13.279454545454545,13.97212121212121,14.8899696969697
2017-05-17,,,,,12.604333333333336,14.095583333333332,14.48375,15.391875
2017-05-18,,,,,11.74376,13.05032,13.108,13.20232
2017-05-19,,,,,11.197,12.365,12.525,12.884458333333331
2017-05-20,,,,,10.311166666666669,11.533958333333333,11.432916666666666,12.269458333333333
2017-05-21,,,,,11.179666666666668,12.176166666666667,12.447916666666666,13.15636
2017-05-22,,,,,11.492916666666666,12.786833333333334,13.1704,13.568541666666668
2017-05-23,,,,,12.219208333333334,13.255708333333333,13.72125,14.591458333333334
2017-05-24,,,,,12.802416666666666,13.928166666666668,14.6775,15.472333333333331
2017-05-25,,,,,12.993291666666666,14.603291666666665,15.364166666666668,15.804115384615384
2017-05-26,,,,,13.081833333333334,14.912708333333333,15.597916666666668,15.418041666666667
2017-05-27,,,,,12.929666666666668,14.457041666666667,14.812083333333334,15.932125
2017-05-28,,,,,12.561166666666669,13.869041666666668,14.31,15.987416666666666
2017-05-29,,,,,12.940625,14.243291666666666,14.7875,15.949166666666663
2017-05-30,,,,,13.021625,14.070875000000001,14.510416666666666,16.313958333333332
2017-05-31,,,,,13.106083333333332,14.2995,14.798800000000002,16.648625
2017-06-01,,,,,12.796541666666668,14.340208333333335,14.7844,16.1035
2017-06-02,,,,,12.928125,14.286125,14.7808,16.575791666666667
2017-06-03,,,,,13.227458333333333,14.454916666666668,14.933333333333332,17.16736
2017-06-04,,,,,12.204291666666668,13.426791666666666,13.554,16.055041666666668
2017-06-05,,,,,12.286833333333334,12.964791666666665,13.249166666666667,15.550875
2017-06-06,,,,,12.380416666666669,13.039541666666667,13.0296,14.220041666666669
2017-06-07,,,,,12.058458333333334,12.927416666666666,13.066666666666668,14.009041666666668
2017-06-08,,,,,12.600499999999998,13.103833333333334,13.4456,14.968583333333331
2017-06-09,,,,,12.986,13.736166666666668,14.03875,14.806291666666668
2017-06-10,,,,,13.41325,14.335583333333332,14.5688,15.650583333333335
2017-06-11,,,,,13.974708333333332,14.854458333333334,15.177083333333334,16.144166666666667
2017-06-12,,,,,12.937041666666666,13.871272727272727,14.07625,16.312818181818184
2017-06-13,,,,,12.706291666666669,13.556083333333333,14.086538461538462,16.00384
2017-06-14,,,,,13.012458333333331,14.045916666666665,14.541666666666666,16.082541666666668
2017-06-15,,,,,13.61275,14.350708333333335,14.91125,16.662333333333333
2017-06-16,,,,,13.459083333333332,14.142874999999998,14.571666666666667,16.864833333333333
2017-06-17,,,,,14.234458333333334,14.836458333333333,15.5652,17.457291666666666
2017-06-18,,,,,14.706541666666666,15.453333333333333,16.232916666666668,17.963958333333334
2017-06-19,,,,,14.542333333333334,15.4315,15.575714285714286,16.2956
