date,M06018A,E01074A,E01095A,E03075A,E03087A,E04001A,E08049A,E03094A
2013-05-21,,14.05125,,,,,,
2013-05-22,,13.226666666666667,,,,,,
2013-05-23,,12.548333333333334,,,,,,
2013-05-24,,11.91375,,,,,,
2013-05-25,,11.70375,,,,,,
2013-05-26,,13.250833333333333,,,,,,
2013-05-27,,14.905416666666667,,,,,,
2013-05-28,,14.484583333333333,,,,,,
2013-05-29,,13.925416666666665,,,,,,
2013-05-30,,13.585,,,,,,
2013-05-31,,14.084166666666667,,,,,,
2013-06-01,,14.863750000000001,,,,,,
2013-06-02,,15.48375,,,,,,
2013-06-03,,16.562916666666666,,,,,,
2013-06-04,,17.307083333333335,,,,,,
2013-06-05,,17.119583333333335,,,,,,
2013-06-06,,16.9075,22.216,22.27,,,,
2013-06-07,,17.31833333333333,17.623333333333335,17.61111111111111,,,,
2013-06-08,,17.2425,,,,,,
2013-06-09,,16.293333333333333,,,,,,
2013-06-10,,15.8725,,,,,,
2013-06-11,,16.239166666666666,,,,,,
2013-06-12,,16.642083333333332,,,,,,
2013-06-13,,16.48375,17.082222222222224,17.158125000000002,,,,
2013-06-14,,16.480833333333333,16.801666666666666,16.919166666666666,,,,
2013-06-15,,16.38083333333333,16.639166666666664,16.809583333333332,,,,
2013-06-16,,16.09375,16.5425,16.711666666666666,,,,
2013-06-17,,15.89875,16.863333333333333,16.90875,,,,
2013-06-18,,16.31083333333333,17.18375,17.685,,,,
2013-06-19,,17.320416666666667,18.28625,18.954166666666666,,,,
2013-06-20,,18.0975,18.707083333333333,19.78375,,,,
2013-06-21,,18.709166666666665,19.122916666666665,19.56833333333333,,,,
2013-06-22,,18.092916666666667,18.2925,18.5325,,,,
2013-06-23,,17.12625,17.34958333333333,17.689583333333335,,,,
2013-06-24,,16.366666666666667,16.925416666666667,17.1475,,,,
2013-06-25,,15.826666666666666,16.556250000000002,17.489166666666666,,,,
2013-06-26,,16.797407407407405,17.611666666666668,18.254166666666666,,,,
2013-06-27,,17.550416666666667,18.361250000000002,18.496666666666666,,,,
2013-06-28,,17.567083333333333,18.222916666666666,18.1325,,,,
2013-06-29,,17.244583333333335,18.46875,18.305833333333332,,,,
2013-06-30,,18.962500000000002,19.900833333333335,19.599166666666665,,,,
2013-07-01,,18.602500000000003,19.512083333333333,18.9375,,,,
2013-07-02,,17.97375,18.59,18.28125,,,,
2013-07-03,,17.89375,18.493750000000002,18.517916666666668,,,,
2013-07-04,,18.629166666666666,18.81125,18.729166666666668,,,,
2013-07-05,,18.835,19.4225,19.717916666666667,,,,
2013-07-06,,19.78708333333333,20.696250000000003,21.56041666666667,,,,
2013-07-07,,21.20875,21.761666666666667,23.259583333333335,,,,
2013-07-08,,22.085416666666664,22.11125,23.180833333333336,,,,
2013-07-09,,21.28625,21.581666666666667,23.00125,,,,
2013-07-10,,20.99625,21.167083333333334,21.952916666666667,,,,
2013-07-11,,20.0425,20.4375,20.899583333333336,,,,
2013-07-12,,20.055,20.499166666666667,21.11916666666667,,,,
2013-07-13,,21.326666666666664,21.57625,23.032916666666665,,,,
2013-07-14,,22.25916666666667,22.12375,23.307083333333335,,,,
2013-07-15,,21.937916666666666,22.207916666666666,23.409166666666668,,,,
2013-07-16,,22.446250000000003,22.5804,23.924400000000002,,,,
2013-07-17,,23.139166666666668,23.277916666666666,24.304999999999996,,,,
2013-07-18,,23.45375,23.36708333333333,24.482083333333335,,,,
2013-07-19,,23.144166666666667,23.02695652173913,24.460416666666664,,,,
2013-07-20,,23.29041666666667,22.320000000000004,23.380416666666665,,,,
2013-07-21,,21.88416666666667,21.425,21.991249999999997,,,,
2013-07-22,,21.85375,21.62,22.61791666666667,,,,
2013-07-23,,22.29041666666667,22.573333333333334,22.451666666666668,,,,
2013-07-24,,22.8596,23.029583333333335,22.922083333333333,,,,
2013-07-25,,22.99208333333333,23.351249999999997,23.22083333333333,,,,
2013-07-26,,22.78708333333333,23.235,23.366666666666664,,,,
2013-07-27,,22.699583333333333,23.4025,23.67,,,,
2013-07-28,,22.799166666666665,22.93958333333333,23.122083333333332,,,,
2013-07-29,,21.96666666666667,21.984583333333333,22.19458333333333,,,,
2013-07-30,,21.354166666666668,21.094583333333333,21.41875,,,,
2013-07-31,,20.915,20.607499999999998,20.91375,,,,
2013-08-01,,21.157083333333333,21.50583333333333,21.817083333333333,,,,
2013-08-02,,22.09875,21.995,21.913749999999997,,,,
2013-08-03,,21.294166666666666,21.396666666666665,21.419166666666666,,,,
2013-08-04,,20.701666666666664,20.799583333333334,20.972916666666666,,,,
2013-08-05,,20.527916666666666,20.62333333333333,20.787499999999998,,,,
