source_station,target_station,variable,lag_days,lag_definition,period,raw_correlation,raw_n_pairs,anomaly_correlation,anomaly_n_pairs
B1,S2,T,22,positive=source_leads_target,train,0.8945480579850463,3630,0.07661581905670048,3630
B1,S2,T,23,positive=source_leads_target,train,0.8876948421592079,3629,0.07772360971551946,3629
B1,S2,T,24,positive=source_leads_target,train,0.8806327935515359,3628,0.08291155882143564,3628
B1,S2,T,25,positive=source_leads_target,train,0.8733899998657199,3627,0.0914815186582189,3627
B1,S2,T,26,positive=source_leads_target,train,0.8658709857906762,3626,0.09389907037226289,3626
B1,S2,T,27,positive=source_leads_target,train,0.8580564131901806,3625,0.09730952556335068,3625
B1,S2,T,28,positive=source_leads_target,train,0.8499498111540408,3624,0.10200117269342558,3624
B1,S2,T,29,positive=source_leads_target,train,0.8415425119825141,3623,0.1057328443101262,3623
B1,S2,T,30,positive=source_leads_target,train,0.8328218668104865,3622,0.10758789783727701,3622
B1,S2,F,-30,positive=source_leads_target,train,0.6699940877911017,3622,0.31726350101560635,3622
B1,S2,F,-29,positive=source_leads_target,train,0.6819694412862549,3623,0.3317214337334067,3623
B1,S2,F,-28,positive=source_leads_target,train,0.6937096797803134,3624,0.3461624284456833,3624
B1,S2,F,-27,positive=source_leads_target,train,0.7049605271979239,3625,0.3589048594929909,3625
B1,S2,F,-26,positive=source_leads_target,train,0.7156234409604735,3626,0.3707096346325019,3626
B1,S2,F,-25,positive=source_leads_target,train,0.7258794362190083,3627,0.3826473117759443,3627
B1,S2,F,-24,positive=source_leads_target,train,0.7361723864483097,3628,0.3963537071093651,3628
B1,S2,F,-23,positive=source_leads_target,train,0.7467644999694233,3629,0.4102759290609483,3629
B1,S2,F,-22,positive=source_leads_target,train,0.7575484051813861,3630,0.42285956666461494,3630
B1,S2,F,-21,positive=source_leads_target,train,0.7683241276759395,3631,0.4336644260858158,3631
B1,S2,F,-20,positive=source_leads_target,train,0.7788172269957006,3632,0.44386161593117485,3632
B1,S2,F,-19,positive=source_leads_target,train,0.7889131088991809,3633,0.4569069370960434,3633
B1,S2,F,-18,positive=source_leads_target,train,0.798742394699468,3634,0.4720184681605032,3634
B1,S2,F,-17,positive=source_leads_target,train,0.8082383363878659,3635,0.4881475098717624,3635
B1,S2,F,-16,positive=source_leads_target,train,0.8171471511385611,3636,0.5026528924511369,3636
B1,S2,F,-15,positive=source_leads_target,train,0.8255424642565241,3637,0.5141654952049756,3637
B1,S2,F,-14,positive=source_leads_target,train,0.8337460151504513,3638,0.5242463125657166,3638
