station_id,train_count_T,train_count_F,T_q90_train,F_q90_train,F_q10_train
B1,3652,3652,16.4,2280.0,256.0
S2,3652,3652,18.1,2940.0,395.1
P3,3652,3652,21.4,4030.0,511.0
