station_id,variable_x,variable_y,series,period,pearson,spearman,n_pairs
B1,DH,F,raw,train,-0.13980258444423707,-0.06098090917440933,3652
B1,DH,F,seasonal_anomaly,train,-0.08198684972293699,-0.03816212054697113,3652
B1,DH,L,raw,train,-0.1301081950142468,-0.06098340644226124,3652
B1,DH,L,seasonal_anomaly,train,-0.07919146267028143,-0.0394951866410125,3652
B1,DH,P,raw,train,-0.3893245348227583,-0.44962418116891056,3649
B1,DH,P,seasonal_anomaly,train,-0.3238086316319512,-0.408861642108082,3649
B1,DH,RH,raw,train,-0.507883470456712,-0.41151786443152044,3652
B1,DH,RH,seasonal_anomaly,train,-0.5958299159806152,-0.5354344607402707,3652
B1,DH,Rs,raw,train,0.5450586549215857,0.5323508572934191,3652
B1,DH,Rs,seasonal_anomaly,train,0.689315280032904,0.6718953319775919,3652
B1,DH,T,raw,train,-0.11822941120667788,-0.06503455968009385,3652
B1,DH,T,seasonal_anomaly,train,-0.007301339571712173,-0.020875175912591568,3652
B1,DH,Ta,raw,train,0.11856756717993702,0.15810189002678707,3652
B1,DH,Ta,seasonal_anomaly,train,0.5113572581730369,0.467774831451804,3652
B1,DH,W,raw,train,0.18532041100900462,0.16052018263637818,3641
B1,DH,W,seasonal_anomaly,train,0.18159390281520096,0.16350074467035688,3641
B1,F,L,raw,train,0.9865813532979896,0.9976346849315334,3652
B1,F,L,seasonal_anomaly,train,0.9858202259819627,0.9711364833254366,3652
B1,F,P,raw,train,0.3486011387659109,0.43664907103119277,3649
B1,F,P,seasonal_anomaly,train,0.08885549075816666,0.09703494946227227,3649
B1,F,RH,raw,train,0.6729836468982273,0.7064482461971263,3652
B1,F,RH,seasonal_anomaly,train,0.1730040396519116,0.09751028248959796,3652
B1,F,Rs,raw,train,0.1176455504418114,0.17208463860974255,3652
B1,F,Rs,seasonal_anomaly,train,-0.03816328860673067,-0.00444102332169886,3652
B1,F,T,raw,train,0.7085876426960884,0.8073890051292298,3652
B1,F,T,seasonal_anomaly,train,-0.32276649294625304,-0.22115509729761754,3652
B1,F,Ta,raw,train,0.5993937543822474,0.7168450957718161,3652
B1,F,Ta,seasonal_anomaly,train,-0.10489697046853624,-0.03637377717768814,3652
B1,F,W,raw,train,-0.2427056698178323,-0.2329948244876427,3641
B1,F,W,seasonal_anomaly,train,-0.09810521218429018,-0.09845967642519957,3641
B1,L,P,raw,train,0.34916837544099294,0.43712450392223295,3649
B1,L,P,seasonal_anomaly,train,0.08155517753541348,0.0927401806665949,3649
B1,L,RH,raw,train,0.6982897342775083,0.7075368572243211,3652
B1,L,RH,seasonal_anomaly,train,0.17048260503793822,0.10277720515388045,3652
B1,L,Rs,raw,train,0.1394572185328233,0.1732377275394698,3652
B1,L,Rs,seasonal_anomaly,train,-0.03861944698686758,-0.00884386817491769,3652
B1,L,T,raw,train,0.7693673789235546,0.807928513770973,3652
B1,L,T,seasonal_anomaly,train,-0.3112012171760354,-0.21209542530800046,3652
B1,L,Ta,raw,train,0.6575960853134156,0.7162662137098862,3652
B1,L,Ta,seasonal_anomaly,train,-0.09632975992517145,-0.04261434777176683,3652
B1,L,W,raw,train,-0.24837180742026696,-0.23402883809908304,3641
B1,L,W,seasonal_anomaly,train,-0.10457406530415932,-0.10397883921495327,3641
B1,P,RH,raw,train,0.5037815500930786,0.6337775250032222,3649
B1,P,RH,seasonal_anomaly,train,0.3475251771984683,0.4635400139411376,3649
B1,P,Rs,raw,train,-0.12257778004029637,-0.1319442370345328,3649
B1,P,Rs,seasonal_anomaly,train,-0.24772914117481415,-0.37724208457889014,3649
B1,P,T,raw,train,0.340257013120308,0.46970571045303283,3649
B1,P,T,seasonal_anomaly,train,-0.02718569381104895,-0.03100647321695654,3649
B1,P,Ta,raw,train,0.17036511560158213,0.26523842363112277,3649
B1,P,Ta,seasonal_anomaly,train,-0.3158628094366907,-0.3981468711597159,3649
B1,P,W,raw,train,-0.1774421723206022,-0.19838369306828182,3638
B1,P,W,seasonal_anomaly,train,-0.13027529807073057,-0.16095352605714444,3638
B1,RH,Rs,raw,train,-0.1998616931579927,-0.14661603898392056,3652
B1,RH,Rs,seasonal_anomaly,train,-0.5991711577482375,-0.5667365302762211,3652
B1,RH,T,raw,train,0.6478507101823675,0.6577202295267167,3652
B1,RH,T,seasonal_anomaly,train,-0.10580372964732503,-0.07100143967721462,3652
B1,RH,Ta,raw,train,0.3861823164904797,0.4207246549326146,3652
B1,RH,Ta,seasonal_anomaly,train,-0.6176464469921764,-0.5751046612960116,3652
B1,RH,W,raw,train,-0.34734990124037635,-0.32547396132438394,3641
B1,RH,W,seasonal_anomaly,train,-0.3088086817739369,-0.2950744186486127,3641
B1,Rs,T,raw,train,0.37546428829348644,0.3908826079283725,3652
B1,Rs,T,seasonal_anomaly,train,-0.03409428235222784,-0.05104346805105871,3652
B1,Rs,Ta,raw,train,0.5651764214299677,0.5700700718122957,3652
B1,Rs,Ta,seasonal_anomaly,train,0.45541046034962795,0.42784409354845643,3652
B1,Rs,W,raw,train,0.19366361479827304,0.2069669341296445,3641
B1,Rs,W,seasonal_anomaly,train,0.11459709192127733,0.09274248935862842,3641
B1,T,Ta,raw,train,0.9080328833121707,0.9084166414462108,3652
B1,T,Ta,seasonal_anomaly,train,0.3274569738522863,0.322418938924964,3652
B1,T,W,raw,train,-0.04173636544362671,-0.026885730674430963,3641
B1,T,W,seasonal_anomaly,train,0.1906950122915534,0.18317412753322296,3641
B1,Ta,W,raw,train,0.14520456877765228,0.1424818985097662,3641
B1,Ta,W,seasonal_anomaly,train,0.4214605855359955,0.40456719603804203,3641
S2,DH,F,raw,train,-0.45346707778013706,-0.4323973719403999,3652
S2,DH,F,seasonal_anomaly,train,-0.07446303451027128,-0.051942386297241315,3652
S2,DH,L,raw,train,-0.4619700180226552,-0.43209386844840053,3652
S2,DH,L,seasonal_anomaly,train,-0.06675219919471213,-0.04982130710920835,3652
S2,DH,P,raw,train,-0.40869946331851303,-0.6256537346334894,3651
S2,DH,P,seasonal_anomaly,train,-0.1952453553448925,-0.4063067411856184,3651
S2,DH,RH,raw,train,-0.7044395492704244,-0.7119429794393302,3652
S2,DH,RH,seasonal_anomaly,train,-0.6062573638485373,-0.6196192004592943,3652
S2,DH,Rs,raw,train,0.774843008273603,0.8070881829090167,3652
S2,DH,Rs,seasonal_anomaly,train,0.8250692645527052,0.825030963183591,3652
S2,DH,T,raw,train,-0.4356085005145746,-0.40408918800595645,3652
S2,DH,T,seasonal_anomaly,train,-0.0540286406170257,-0.050894867461446024,3652
S2,DH,Ta,raw,train,-0.14020726468011163,-0.1252684919526599,3652
S2,DH,Ta,seasonal_anomaly,train,0.4883259723071695,0.4959969158145076,3652
S2,DH,W,raw,train,0.47054082176057094,0.477332855499548,3651
S2,DH,W,seasonal_anomaly,train,0.28624569946727757,0.2923323967174844,3651
S2,F,L,raw,train,0.987673851710247,0.9993574480134548,3652
S2,F,L,seasonal_anomaly,train,0.9848082095478151,0.9835447802769816,3652
S2,F,P,raw,train,0.34810014444452464,0.52772974747063,3651
S2,F,P,seasonal_anomaly,train,0.0050854894746207,0.041601105632088985,3651
S2,F,RH,raw,train,0.6693552073438489,0.7372430938003484,3652
S2,F,RH,seasonal_anomaly,train,0.04760990303278913,0.06402047910217959,3652
S2,F,Rs,raw,train,-0.17153353133632412,-0.18231335371857946,3652
S2,F,Rs,seasonal_anomaly,train,-0.036159189111716374,-0.03676862111388581,3652
S2,F,T,raw,train,0.6893303589457462,0.7805275189928441,3652
S2,F,T,seasonal_anomaly,train,-0.36142281486171374,-0.3089678233985934,3652
S2,F,Ta,raw,train,0.5508960104236602,0.6496897949028685,3652
S2,F,Ta,seasonal_anomaly,train,-0.04453804300719894,-0.04077735888012634,3652
S2,F,W,raw,train,-0.5166129298839205,-0.6188675928206054,3651
S2,F,W,seasonal_anomaly,train,-0.0013328044057682128,-0.015464946448988595,3651
S2,L,P,raw,train,0.3550051646432392,0.5272088002026478,3651
S2,L,P,seasonal_anomaly,train,0.008179113699394305,0.03474278831993751,3651
S2,L,RH,raw,train,0.70683085075224,0.7358979958449927,3652
S2,L,RH,seasonal_anomaly,train,0.0462430790490894,0.0598552177909212,3652
S2,L,Rs,raw,train,-0.1712491908635812,-0.1817785391901014,3652
S2,L,Rs,seasonal_anomaly,train,-0.03238004081417274,-0.0331352837007606,3652
S2,L,T,raw,train,0.740745415827438,0.7800111043760641,3652
S2,L,T,seasonal_anomaly,train,-0.3675573255928885,-0.3093872029308023,3652
S2,L,Ta,raw,train,0.5970095842052451,0.6495996015135036,3652
S2,L,Ta,seasonal_anomaly,train,-0.03687207167961436,-0.032333908300578036,3652
S2,L,W,raw,train,-0.5577375856805957,-0.6184790179412364,3651
S2,L,W,seasonal_anomaly,train,-0.011660656929131432,-0.01920486933031242,3651
S2,P,RH,raw,train,0.42046253425603636,0.6908709291041731,3651
S2,P,RH,seasonal_anomaly,train,0.2186340518616718,0.4128270969135822,3651
S2,P,Rs,raw,train,-0.22062771068989817,-0.4175763100651819,3651
S2,P,Rs,seasonal_anomaly,train,-0.13967132212204303,-0.3265176061568588,3651
S2,P,T,raw,train,0.367435615817719,0.5562028853861408,3651
S2,P,T,seasonal_anomaly,train,0.04260875404604585,0.03466344365426297,3651
S2,P,Ta,raw,train,0.208080669620535,0.3142542931036495,3651
S2,P,Ta,seasonal_anomaly,train,-0.20333996736605475,-0.3463494214647035,3651
S2,P,W,raw,train,-0.27757558803400423,-0.47974134139606084,3650
S2,P,W,seasonal_anomaly,train,-0.0914784368249975,-0.1895697375391948,3650
S2,RH,Rs,raw,train,-0.5157911617825349,-0.542010651852586,3652
S2,RH,Rs,seasonal_anomaly,train,-0.5852881029092042,-0.5887499122984545,3652
S2,RH,T,raw,train,0.6105605302009792,0.6103524527213648,3652
S2,RH,T,seasonal_anomaly,train,0.05082485444978754,0.04462429877227954,3652
S2,RH,Ta,raw,train,0.2673241669755775,0.2876465358804347,3652
S2,RH,Ta,seasonal_anomaly,train,-0.662030217526863,-0.6347587095173663,3652
S2,RH,W,raw,train,-0.7251158947741504,-0.7364054221553845,3651
S2,RH,W,seasonal_anomaly,train,-0.47535683977749715,-0.4588738494888009,3651
S2,Rs,T,raw,train,-0.030757658492655934,-0.06561745039912034,3652
S2,Rs,T,seasonal_anomaly,train,-0.0869542862983787,-0.07216639095508942,3652
S2,Rs,Ta,raw,train,0.2449434569333494,0.20591430373603037,3652
S2,Rs,Ta,seasonal_anomaly,train,0.4648793520995644,0.4560661548554257,3652
S2,Rs,W,raw,train,0.2902664946507288,0.30422834679927063,3651
S2,Rs,W,seasonal_anomaly,train,0.18101954350275218,0.18626074555877017,3651
S2,T,Ta,raw,train,0.8708165137489509,0.8668324864781334,3652
S2,T,Ta,seasonal_anomaly,train,0.13292499543229794,0.15572510640559176,3652
S2,T,W,raw,train,-0.41071631965599115,-0.44252813714982275,3651
S2,T,W,seasonal_anomaly,train,0.01694180523575922,0.029696905349650214,3651
S2,Ta,W,raw,train,-0.11920461908709527,-0.17116510636478682,3651
S2,Ta,W,seasonal_anomaly,train,0.49033928126561127,0.48494211138483423,3651
P3,DH,F,raw,train,-0.2595053930017092,-0.25432373929806834,3652
P3,DH,F,seasonal_anomaly,train,-0.03579668782853871,-0.04772872918242208,3652
P3,DH,L,raw,train,-0.2754412480548336,-0.2543951996989577,3652
P3,DH,L,seasonal_anomaly,train,-0.04102280217846105,-0.053150040575261015,3652
P3,DH,P,raw,train,-0.3464160897137232,-0.4510915055023931,3648
P3,DH,P,seasonal_anomaly,train,-0.2751929553762428,-0.39916824685471297,3648
P3,DH,RH,raw,train,-0.6217323443810109,-0.6402751985544941,3652
P3,DH,RH,seasonal_anomaly,train,-0.5928852157833379,-0.5700994528682372,3652
P3,DH,Rs,raw,train,0.8783236100340521,0.8984895177792747,3652
P3,DH,Rs,seasonal_anomaly,train,0.8817471031999847,0.8618442561745824,3652
P3,DH,T,raw,train,-0.1391653127805547,-0.05452777554256527,3652
P3,DH,T,seasonal_anomaly,train,0.02106873828190067,0.0573791950194047,3652
P3,DH,Ta,raw,train,0.17910758218986333,0.2781011853178508,3652
P3,DH,Ta,seasonal_anomaly,train,0.5966501708457363,0.550960764334914,3652
P3,DH,W,raw,train,0.4324859134470002,0.46560287155337626,3638
P3,DH,W,seasonal_anomaly,train,0.3105714048405194,0.3132224653027486,3638
P3,F,L,raw,train,0.9883798405463875,0.9994447588331348,3652
P3,F,L,seasonal_anomaly,train,0.97558534490185,0.9904832026718953,3652
P3,F,P,raw,train,0.2835492456087313,0.43297360675266544,3648
P3,F,P,seasonal_anomaly,train,-0.008369849944855892,-0.0028228741642416775,3648
P3,F,RH,raw,train,0.5781853096979642,0.6748140996476606,3652
P3,F,RH,seasonal_anomaly,train,0.09992544820831141,0.16558807655175375,3652
P3,F,Rs,raw,train,-0.16211727873003415,-0.19748885970562802,3652
P3,F,Rs,seasonal_anomaly,train,-0.02731494170202148,-0.02968103546722733,3652
P3,F,T,raw,train,0.6291683334612198,0.7171590842384078,3652
P3,F,T,seasonal_anomaly,train,-0.29373991277654493,-0.3074521546993556,3652
P3,F,Ta,raw,train,0.5133993397546115,0.5661750840686107,3652
P3,F,Ta,seasonal_anomaly,train,-0.04601675632253041,-0.0660711517551548,3652
P3,F,W,raw,train,-0.3990311827009296,-0.4639437623430928,3638
P3,F,W,seasonal_anomaly,train,-0.09244508448863077,-0.11799149372645368,3638
P3,L,P,raw,train,0.3002143402455296,0.4328014850432567,3648
P3,L,P,seasonal_anomaly,train,-0.007353501338875849,0.00037548206065002966,3648
P3,L,RH,raw,train,0.6227633735581748,0.6744215556305138,3652
P3,L,RH,seasonal_anomaly,train,0.11641159048180838,0.17416031440112784,3652
P3,L,Rs,raw,train,-0.17700172713201048,-0.19755249790282764,3652
P3,L,Rs,seasonal_anomaly,train,-0.032554503129106654,-0.033381666772381004,3652
P3,L,T,raw,train,0.6786553778656025,0.7164711450621882,3652
P3,L,T,seasonal_anomaly,train,-0.3076533347424131,-0.311407840019789,3652
P3,L,Ta,raw,train,0.5468915460848229,0.566172287354974,3652
P3,L,Ta,seasonal_anomaly,train,-0.05432261984079501,-0.07147666234697349,3652
P3,L,W,raw,train,-0.42799330064834484,-0.464583387559863,3638
P3,L,W,seasonal_anomaly,train,-0.10993959669717544,-0.12905285023610952,3638
P3,P,RH,raw,train,0.35446131730515995,0.507472734212642,3648
P3,P,RH,seasonal_anomaly,train,0.2756697299675901,0.3708351442289979,3648
P3,P,Rs,raw,train,-0.2700707019288469,-0.37498755665634076,3648
P3,P,Rs,seasonal_anomaly,train,-0.2745705023050526,-0.39573942250379146,3648
P3,P,T,raw,train,0.33035472144950145,0.48775523813650656,3648
P3,P,T,seasonal_anomaly,train,-0.004271798788047961,0.018824908280361197,3648
P3,P,Ta,raw,train,0.1815140247076937,0.2648948269559653,3648
P3,P,Ta,seasonal_anomaly,train,-0.23463232105867812,-0.340129321518968,3648
P3,P,W,raw,train,-0.18121698560213828,-0.3129971180655429,3634
P3,P,W,seasonal_anomaly,train,-0.059699237494914736,-0.13616879121881045,3634
P3,RH,Rs,raw,train,-0.6317447941642655,-0.6228866845313694,3652
P3,RH,Rs,seasonal_anomaly,train,-0.5967054949810197,-0.5535285979142265,3652
P3,RH,T,raw,train,0.36801996552558564,0.39737998918003775,3652
P3,RH,T,seasonal_anomaly,train,-0.0038635084963746106,-0.04064458153907497,3652
P3,RH,Ta,raw,train,0.01745218924177857,0.049726210947616506,3652
P3,RH,Ta,seasonal_anomaly,train,-0.6154215407214981,-0.5595179124924684,3652
P3,RH,W,raw,train,-0.6135969626005863,-0.5937080465606869,3638
P3,RH,W,seasonal_anomaly,train,-0.3790287632578675,-0.35126917507068856,3638
P3,Rs,T,raw,train,0.06087795502360927,0.05514105361456833,3652
P3,Rs,T,seasonal_anomaly,train,-0.010830634003960801,0.00755325897681688,3652
P3,Rs,Ta,raw,train,0.38544240969488947,0.3896277078438303,3652
P3,Rs,Ta,seasonal_anomaly,train,0.5852710140935454,0.5213310847049065,3652
P3,Rs,W,raw,train,0.42279198835070103,0.44983731261093274,3638
P3,Rs,W,seasonal_anomaly,train,0.29660841548934824,0.29052831724054157,3638
P3,T,Ta,raw,train,0.8489526417562916,0.8373919603253438,3652
P3,T,Ta,seasonal_anomaly,train,0.0634697080996199,0.06784559223345375,3652
P3,T,W,raw,train,-0.20198276421940142,-0.2211483831511381,3638
P3,T,W,seasonal_anomaly,train,0.1728475857212157,0.1881933047340653,3638
P3,Ta,W,raw,train,0.012286783327583031,-0.019731364082903255,3638
P3,Ta,W,seasonal_anomaly,train,0.3616014017325751,0.3421962715640762,3638
