station_id,variable,mean_change,std_change,mean_absolute_change,q90_absolute_change,q99_absolute_change,max_absolute_change,train_q99_step_threshold,step_candidate_count
B1,DH,3.650967506389504e-05,2.835954888591425,1.9957283680175246,4.9,8.5,10.899999999999999,8.5,49
B1,F,0.0032858707557502738,140.5724595539191,49.01861993428258,130.0,392.29999999999563,5327.0,380.0,59
B1,L,0.001622855056589973,0.22867180175792856,0.07628879152975344,0.19000000000005457,0.5045999999999871,8.480000000000018,0.4600000000000364,68
B1,P,-0.007369078222548665,3.9309584212826962,1.508049210429673,5.334,18.427700000000044,38.099999999999994,16.51,72
B1,RH,-0.0034684191310697336,8.942811570418591,6.495253742241694,15.0,27.0,45.0,27.0,53
B1,Rs,0.00011683096020444877,3.9962446431603293,2.8753851770719243,6.560000000000001,12.542299999999996,21.630000000000003,12.335,58
B1,T,0.00016429353778751407,0.3606766033737859,0.26069733479372037,0.5999999999999996,1.0999999999999996,2.4000000000000004,1.1999999999999993,37
B1,Ta,0.0005841548010222721,2.053201391959363,1.5714494341000367,3.3000000000000007,6.022999999999956,10.0,6.199999999999999,49
B1,W,0.0002826097784288588,0.6517180128911303,0.4975439352499542,1.0803324,1.7491096000000002,3.1381083999999997,1.7491096000000002,54
S2,DH,3.6509675063894886e-05,3.2795213336090328,2.289229645856152,5.700000000000001,9.600000000000001,12.5,9.5,59
S2,F,-0.0016429353778751369,139.97431947441916,58.71102592186929,170.0,460.0,4505.0,420.0,67
S2,L,-1.2778386272392062e-05,0.16549597314487882,0.07197699890470874,0.1799999999998363,0.5599999999999454,5.910000000000082,0.5149999999999864,65
S2,P,-0.0005574250182882365,7.783644022785883,3.091293343087051,10.159999999999998,36.91381999999998,73.914,37.846,51
S2,RH,-0.000547645125958379,9.64170046561998,7.241511500547645,16.0,28.0,46.0,27.0,64
S2,Rs,-0.00014056224899599342,4.6740045575044835,3.315423512230741,7.81,14.459999999999999,21.77,14.270000000000001,61
S2,T,-5.4764512595837704e-05,0.29345299165495503,0.21681270536692224,0.40000000000000213,0.8000000000000007,1.9000000000000004,0.8000000000000007,52
S2,Ta,-0.0002373128879152951,1.7516652496655216,1.3366374589266157,2.8000000000000007,5.1000000000000005,8.8,5.05,60
S2,W,-3.763306510607173e-05,1.001093280258177,0.7464894794440379,1.6462208,2.9837751999999993,4.527107200000001,3.0866640000000003,45
P3,DH,5.476451259583819e-05,3.255292736227236,2.15,5.8,9.822999999999958,12.5,10.0,50
P3,F,-0.059875867104782765,279.7818264877998,144.62541073384446,400.0,1160.0,2730.0,850.0,120
P3,L,-0.00017889740781307378,0.4803132963392011,0.271066082511865,0.75,1.8023000000000355,4.180000000000064,1.3050000000000068,159
P3,P,-0.008491550330639204,10.145193883933795,3.9877626745040406,13.462,45.211999999999996,99.568,42.418,68
P3,RH,-0.0016429353778751369,8.860048180147448,6.468966776195692,15.0,28.0,48.0,27.0,60
P3,Rs,-0.000303030303030276,4.72406828492841,3.3705987586710475,8.120000000000001,14.094599999999991,22.08,14.025000000000002,57
P3,T,0.0009309967141292441,0.23934106026517227,0.16653888280394305,0.3999999999999986,0.7999999999999976,1.8000000000000007,0.8000000000000007,23
P3,Ta,7.3019350127781e-05,1.8075814598858568,1.3073019350127784,2.8000000000000007,5.899999999999999,10.899999999999999,5.8999999999999995,55
P3,W,-0.0002833881748071983,0.5934482935468876,0.45415788894601544,0.9774436,1.6976652,3.0866640000000003,1.7491096000000002,41
