station_id,year,n_pairs,pearson,spearman,linear_r2,quadratic_r2
B1,2006,365,0.9882634675348403,0.9998928243940023,0.9766646812639839,0.9993736515514982
B1,2007,365,0.984873707725938,0.9999674855907609,0.9699762201698346,0.998401963835288
B1,2008,366,0.9848115650550887,0.9993446221908142,0.9698538186662541,0.9986782017071588
B1,2009,365,0.991904690462973,0.999926146851007,0.983874914962449,0.9988271651076062
B1,2010,365,0.9892151682618349,0.9999426208443956,0.9785466491192886,0.9992559423220108
B1,2011,365,0.9865590699029282,0.9998723362735046,0.9732987984077307,0.998990901147558
B1,2012,366,0.9893730400852089,0.9999383160375853,0.9788590124474481,0.9972484559894348
B1,2013,365,0.9870374070086869,0.9985160380756312,0.9742428428344279,0.9981929514000265
B1,2014,365,0.9902318304107894,0.9999053525202674,0.9805590779587009,0.9994409726604642
B1,2015,365,0.9887987493754115,0.9998613568975564,0.9777229667663795,0.9996956497747416
B1,2016,366,0.9873105933197585,0.9984574248813727,0.9747822076814141,0.9990054382563143
B1,2017,365,0.9833400221434893,0.9978215540092076,0.9669575991491589,0.9958297245151702
B1,2018,365,0.9759817601432609,0.9206081600260221,0.9525403961323372,0.9826053729885876
B1,2019,365,0.996482657512494,0.9681583436818088,0.9929776867231634,0.9961933931910744
B1,2020,366,0.9974592525949234,0.9879362698202565,0.9949249605872238,0.9995211033637718
S2,2006,365,0.9827680605639102,0.9984325748862135,0.9658330608645489,0.9922383623427624
S2,2007,365,0.9816318787915316,0.9997521545150805,0.9636011454597928,0.993558171609001
S2,2008,366,0.9882749759163986,0.999970933647938,0.9766874280225589,0.9971037124769152
S2,2009,365,0.9939291989524524,0.9999452746371661,0.9878952525302642,0.9941781438133496
S2,2010,365,0.9890586598400964,0.9993743224890491,0.9782370326046879,0.9965406240603478
S2,2011,365,0.9844364159891741,0.9994767603921902,0.9691150571256102,0.993766941865497
S2,2012,366,0.9906744640427018,0.9999289538058188,0.9814358937062939,0.9884835045079088
S2,2013,365,0.9873591287994096,0.999939288695173,0.9748780492235278,0.998738820954118
S2,2014,365,0.9926606504043975,0.999910661539666,0.9853751668612818,0.9955932657020811
S2,2015,365,0.9863888334813724,0.999933981637771,0.9729629308167426,0.9999016229711003
S2,2016,366,0.9857150577823725,0.9999475575157077,0.9716341751389064,0.9948366693151088
S2,2017,365,0.991648506026254,0.9999580460166464,0.983366759504106,0.9931165099194937
S2,2018,365,0.9948920037571626,0.999580514345657,0.9898100991399401,0.9946278102297098
S2,2019,365,0.9919715461278072,0.9997615379362803,0.9840075483271913,0.9988887277748594
S2,2020,366,0.9944576194849338,0.9998391853684772,0.9889459569516406,0.9970200392688158
P3,2006,365,0.9944227632751818,0.9999594650398496,0.9888766321198457,0.9999523649910104
P3,2007,365,0.9849972152883046,0.9996131593673034,0.9702195141257154,0.998192492827701
P3,2008,366,0.9887627464813674,0.999986537963113,0.9776517688293773,0.9998111611487591
P3,2009,365,0.9908723381731676,0.9999835888809624,0.9818279905567622,0.9998134240358789
P3,2010,365,0.9894162820523448,0.9999758768015738,0.9789445791902852,0.9996895678444911
P3,2011,365,0.9854442533445957,0.9972012879464287,0.971100376449887,0.9973594236254915
P3,2012,366,0.9895242753347685,0.999948903206657,0.9791582914767988,0.9992274757287697
P3,2013,365,0.9885473489982126,0.9996989870512359,0.9772258612113934,0.9990112601682283
P3,2014,365,0.9930512125791483,0.9999281826471773,0.986150710804916,0.999887752600717
P3,2015,365,0.9915846680467885,0.9998632755371853,0.9832401539054599,0.9997930281335075
P3,2016,366,0.9914758918625095,0.999903866620122,0.9830244441445593,0.9998552940363573
P3,2017,365,0.9913873448159978,0.9998986332618133,0.9828488674613124,0.9997341271916155
P3,2018,365,0.9925723479034668,0.9998436001037031,0.9851998658226013,0.9997604694869293
P3,2019,365,0.9939271388349821,0.9998814820915813,0.9878911573126932,0.9998149595503714
P3,2020,366,0.9899009287413545,0.9999284674849293,0.9799038487229964,0.9999356096240696
