station_id,target,data_version,model,information_combination,window,evaluation_split,application_threshold_status,operational_boundary_days,operational_boundary_status,operational_boundary_claim_allowed,reason,n_anchors,n_years,statistical_frontier_days,statistical_frontier_censoring,monotone_frontier_days_ci_lower,monotone_frontier_days_ci_upper,breakpoint_days,status
B1,T,published_v2,air_hydro,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,131.91907205600864,131.91907205600864,3.0,not_applicable
B1,T,published_v2,air_only,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
B1,T,published_v2,climatology,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,,,3.0,not_applicable
B1,T,published_v2,donor_regression,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
B1,T,published_v2,kalman,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,7.098824149688343,,7.098824149688343,48.53753571652163,240.0,not_applicable
B1,T,published_v2,linear,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,6.9896354674196575,,6.9896354674196575,48.66731168403128,120.0,not_applicable
B1,T,published_v2,pchip,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,8.764246720468426,,8.772964094908234,46.21196716952097,150.0,not_applicable
B1,T,published_v2,random_forest,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,365.0,right,365.0,365.0,3.0,not_applicable
B1,T,published_v2,xgboost,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,365.0,right,365.0,365.0,3.0,not_applicable
P3,T,published_v2,air_hydro,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,7.076298112291649,7.687033908454415,3.0,not_applicable
P3,T,published_v2,air_only,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,2.01207165463847,365.0,3.0,not_applicable
P3,T,published_v2,climatology,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,,,3.0,not_applicable
P3,T,published_v2,donor_regression,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
P3,T,published_v2,kalman,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,159.99221446109107,,161.63193724600717,188.33536930990658,240.0,not_applicable
P3,T,published_v2,linear,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,100.32862666329632,,100.32862666329632,127.73023302674247,240.0,not_applicable
P3,T,published_v2,pchip,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,93.1190303464094,,93.1190303464094,155.42405644198314,90.0,not_applicable
P3,T,published_v2,random_forest,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
P3,T,published_v2,xgboost,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,365.0,right,365.0,365.0,3.0,not_applicable
S2,T,published_v2,air_hydro,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
S2,T,published_v2,air_only,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,4.190786251649128,365.0,3.0,not_applicable
S2,T,published_v2,climatology,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,,,3.0,not_applicable
S2,T,published_v2,donor_regression,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,,left,365.0,365.0,3.0,not_applicable
S2,T,published_v2,kalman,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,22.70165720762282,,22.70165720762282,120.37763399625412,240.0,not_applicable
S2,T,published_v2,linear,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,22.409912054797175,,22.409912054797175,79.2079645372589,90.0,not_applicable
S2,T,published_v2,pchip,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,21.18910635492402,,21.18910635492402,68.54214602708149,120.0,not_applicable
S2,T,published_v2,random_forest,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,365.0,right,365.0,365.0,3.0,not_applicable
S2,T,published_v2,xgboost,full_information,736,development_test,not_declared,,not_estimable,False,no predeclared application threshold; operational boundary is not reported,20,3,365.0,right,365.0,365.0,3.0,not_applicable
