gap_length,mean_skill,ci_lower,ci_upper,n_events,n_clusters,reason,experiment,mask_type,layout,window_length,training_protocol,validation_scope,station_id,target,model,pattern,status
14.0,-0.4381478319880031,-0.6770779761398497,-0.21902979380244883,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
21.0,-0.38443909143420113,-0.6005566830025001,-0.18764210203875645,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
30.0,-0.4124831272026664,-0.6273963786285879,-0.18313687637182094,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
45.0,-0.42573395456657626,-0.667908805658775,-0.20294862483241033,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
60.0,-0.4255385049334407,-0.6359439024137745,-0.22130214300345774,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
90.0,-0.34655971283961334,-0.5209269029696105,-0.1926588518151124,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
120.0,-0.335404698853054,-0.5081059812362074,-0.18521364031954532,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
150.0,-0.371153238227102,-0.5552730521281751,-0.2114387816052366,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
180.0,-0.3789071318378158,-0.5509762397148864,-0.22589193868250643,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
240.0,-0.41469525700117826,-0.5576817217160602,-0.275171850893573,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
365.0,-0.45161312587538244,-0.5438083125953644,-0.35260674288091337,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,climatology,T,ok
1.0,-2.615344639730725,-5.0515676808601855,-0.6080798894361688,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
3.0,-0.7180987138816346,-1.7481664355225053,0.056174279641807254,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
7.0,-0.4099053681377504,-1.0050388000921915,0.057217421152122645,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
10.0,-0.2621016405718384,-0.6869547060103919,0.07281871468690332,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
14.0,-0.24781901064817363,-0.6159906968364558,0.05933271015839505,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
21.0,-0.18229852724353593,-0.5104304830013046,0.07948898326852283,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
30.0,-0.130010939053723,-0.41869694587045425,0.10614004923215746,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
45.0,-0.07605267012825176,-0.3042423532207259,0.10714085744495855,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
60.0,-0.08558207691523544,-0.28344464837050154,0.08696829870416786,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
90.0,-0.13869624501568545,-0.37286839976704883,0.05338658605222997,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
120.0,-0.07890717527491352,-0.22853580630897183,0.04603641133432181,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
150.0,-0.055797859827591265,-0.16739148348027744,0.0439654129031464,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
180.0,-0.042351019279517524,-0.13890587703003418,0.046903725448752105,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
240.0,-0.015882733513485375,-0.08912521035776347,0.056960564873092395,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
365.0,-0.0004197917639723825,-0.05306494510925927,0.0529440673362316,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,donor_regression,T,ok
1.0,-1.8024421410589102,-6.160753266800454,0.6199620906447674,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
3.0,0.40301218713510567,0.23045299957395698,0.5663935286496151,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
7.0,0.09626724786981836,-0.031153393191684836,0.21743740265317588,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
10.0,-0.11459276172244118,-0.45419382114769674,0.18322756271157725,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
14.0,-0.01657256957535851,-0.27927651352708277,0.21063035782958878,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
21.0,-0.1730188304941092,-0.39460137421683,0.02304003745485054,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
30.0,-0.2666483437718679,-0.4995397519445894,-0.0679239108076766,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
45.0,-0.45885721217925485,-0.717466762770713,-0.19124513023681472,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
60.0,-0.7205836779099503,-0.9362501783519116,-0.5209388298468206,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
90.0,-0.9162673017915933,-1.2314868472895433,-0.6148763438392936,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
120.0,-1.3484799715502631,-1.8437930616475895,-0.9355656813833053,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
150.0,-1.1007932890585646,-1.499856676085854,-0.788580490461708,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
180.0,-2.1720349567113124,-2.7535038827075455,-1.641415519465226,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
240.0,-4.1186636169385,-5.420225182920017,-2.984051802500817,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
365.0,-14.120116093210001,-17.02556733616466,-11.358210323812656,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,kalman,T,ok
1.0,-1.7815010082222582,-6.065804037249031,0.5896641217931189,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
3.0,0.40322032921124284,0.22623111395528672,0.5635971048183968,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
7.0,0.09904003517030313,-0.029294526834833547,0.22181783138430786,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
10.0,-0.11960339832814319,-0.4640327480052221,0.16432324559895936,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
14.0,-0.017863854907327538,-0.2676249392579727,0.19519917571212256,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
21.0,-0.15959317838192946,-0.3645773536903057,0.01587160100978569,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
30.0,-0.2317928675385002,-0.4497097991399256,-0.038734683261836225,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
45.0,-0.41262070686982205,-0.6810282334071338,-0.1661008870852704,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
60.0,-0.7646086704969478,-0.9697688442549659,-0.5506502147610388,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
90.0,-1.3867790135079219,-1.787400089276797,-0.988297740257441,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
120.0,-1.9450292526830093,-2.5682666694271767,-1.4108513658219446,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
150.0,-2.5313726741860707,-3.3442590194973945,-1.850311470543988,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
180.0,-4.013827662961842,-5.049481507304215,-3.0283189012133933,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
240.0,-7.322744975957933,-8.540629455691956,-6.155730852982831,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
365.0,-11.327657003522836,-12.391535398297465,-10.260545811197021,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,linear,T,ok
1.0,-2.522182086481673,-7.873429565375306,0.44495374345909555,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
3.0,0.4632563432234648,0.3042940142391194,0.6086974836713968,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
7.0,0.02029277590835671,-0.15755674382858853,0.18642485073624315,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
10.0,-0.04409179630401566,-0.3947583797749874,0.22654141011094847,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
14.0,0.0851617096566201,-0.15295817000325554,0.2990872896926582,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
21.0,-0.28970626502935104,-0.5264825131790435,-0.07292667898430474,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
30.0,-0.3106159670862565,-0.530025163477779,-0.10056592288403295,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
45.0,-0.7354748304721226,-1.1328432594282838,-0.364651903473042,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
60.0,-0.9086963427442892,-1.252090674970505,-0.5914659915902951,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
90.0,-1.7602705808800334,-2.413356787408975,-1.201403136255923,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
120.0,-2.8067357607244414,-3.7315727903393316,-1.9237043021967999,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
150.0,-1.9275679610607963,-2.5998730369001124,-1.3282429589601499,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
180.0,-3.8009368684997265,-5.042299376476285,-2.621334189298795,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
240.0,-6.5965706213649025,-7.824578572689957,-5.4081864000017195,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
365.0,-11.397452873834041,-12.502750183392537,-10.223660083877162,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,pchip,T,ok
1.0,-2.4436064817138172,-5.807707405313126,0.20061248336070475,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
3.0,-0.15984533962058772,-0.7609261470271225,0.20905089592409407,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
7.0,0.066953568258707,-0.08402852211129629,0.19508296164046182,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
10.0,0.07165789909156092,-0.03898299067575069,0.17452297937542577,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
14.0,0.09897385486214678,0.021537567228353007,0.17494978151425505,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
21.0,0.12215228359513279,0.062408931767979715,0.18302689334877034,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
30.0,0.11456448034700953,0.05671527336296724,0.1719161709378037,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
45.0,0.09245637681742962,0.038977533134843104,0.15179154976348325,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
60.0,0.07378449356273954,0.022639621955946296,0.13157522260654173,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
90.0,0.05340170158854442,0.014909962499822906,0.09944944459206553,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
120.0,0.04978400388627361,0.017880189461840192,0.08410366931321929,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
150.0,0.03425657821927634,0.010437962357551974,0.062177494164840814,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
180.0,0.027000565194256615,0.005753539725593566,0.05196332600796661,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
240.0,0.04165900879769956,0.024324515911633544,0.05922179105735851,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
365.0,0.02450750775742653,0.014427905498347788,0.033904668158978704,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,random_forest,T,ok
1.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
3.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
7.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
10.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
14.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
21.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
30.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
45.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
60.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
90.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
120.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
150.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
180.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
240.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
365.0,0.0,0.0,0.0,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,xgboost,T,ok
1.0,-623.4022208998392,-1496.6350910330996,-73.84297041096485,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
3.0,-12.291823474482332,-16.6079210860375,-8.265873047894626,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
7.0,-12.905784433102847,-18.708931133202224,-7.65967292388334,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
10.0,-9.650829874755916,-14.428528168854278,-5.695162714857514,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
14.0,-10.094246973129277,-15.521644962361707,-5.475934517326213,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
21.0,-6.264582554005659,-10.116989039937877,-3.0924296857781624,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
30.0,-4.239631897878963,-6.483292222634023,-2.3767941959941843,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
45.0,-4.062018868920041,-6.932524183360205,-1.9182254162412922,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
60.0,-3.2950943181433856,-5.083994490008753,-1.7643857280201976,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
90.0,-2.146495700322849,-3.150749443462487,-1.3390505376770006,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
120.0,-1.0917165897222945,-1.6198682122587458,-0.621977352324277,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
150.0,-0.4625544451734932,-0.7203284106216081,-0.21997194203901693,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
180.0,-0.24423295677716622,-0.44781019224587015,-0.04504381472872423,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
240.0,-0.07227817869095876,-0.3932856467325246,0.21443049611514153,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
365.0,0.6275976260573571,0.5090765732008091,0.7219065570121852,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_hydro,T,ok
1.0,-577.4360045038281,-1438.684684301643,-18.811964041396177,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
3.0,-11.04567928382911,-15.10846157091032,-7.160684307574785,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
7.0,-12.28537025425632,-18.502732666495206,-6.796677098620204,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
10.0,-8.990817350128086,-13.275951933519451,-4.961419004676296,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
14.0,-9.278300851690114,-14.429247325201011,-4.864854637138799,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
21.0,-5.559723111346475,-9.041138967726347,-2.665264822708855,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
30.0,-3.810058458505934,-5.869828138411875,-2.022999631100591,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
45.0,-3.550704073582181,-5.899144702512159,-1.65233594072208,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
60.0,-2.9170507567797452,-4.574455533753337,-1.421543741657413,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
90.0,-1.8947110300391636,-2.873230281170715,-1.0553338986895338,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
120.0,-0.9055278282073725,-1.4333710280759822,-0.4473394119120165,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
150.0,-0.2849917242741532,-0.5120330772816085,-0.08151296275058197,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
180.0,-0.07424199471477559,-0.2482134861835223,0.0849250649931357,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
240.0,0.06132644994623441,-0.22047023298284674,0.31024982688933306,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
365.0,0.663560247104763,0.5594312567119243,0.755958853501065,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,air_only,T,ok
1.0,-714.2770170240135,-1697.163825591917,-83.61947305434654,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
3.0,-13.073236651606067,-17.665182842071502,-8.8359407438724,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
7.0,-14.024817934228215,-20.38719506036853,-8.248168357163118,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
10.0,-10.597046039351389,-15.934414827019946,-6.164868439777427,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
14.0,-11.080177253808449,-17.1011064944995,-5.808433970550804,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
21.0,-6.680445845633568,-11.096469428254947,-3.1628454291129167,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
30.0,-4.58061238456377,-7.01630803768291,-2.291462458143722,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
45.0,-4.373039387380324,-7.482823789528332,-1.8080064043826194,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
60.0,-3.5373924849146805,-5.767031238149177,-1.6666629514199849,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
90.0,-2.363375311913779,-3.6690324650022728,-1.3211934620524388,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
120.0,-1.168098697532169,-1.8718738114326177,-0.5631667505590557,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
150.0,-0.44336465240460765,-0.7605655384421871,-0.18199887187751637,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
180.0,-0.21181615490236458,-0.4494321948675713,0.011928690089508703,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,climatology,T,ok
