evaluation_split,experiment,station_id,target,model,gap_length,window,information_combination,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,ci_lower,ci_upper,p_value,n_paired_anchors,n_years,hypothesis_family,training_seeds_collapsed_first,bootstrap_unit,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,status
development_test,M2,B1,F,linear,30.0,368,full_information,published_v2,no_s2_suspect_v2,247.593870967742,247.593870967742,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,linear,90.0,368,full_information,published_v2,no_s2_suspect_v2,348.4409218559219,348.4409218559219,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,linear,180.0,368,full_information,published_v2,no_s2_suspect_v2,621.2769076120319,621.2769076120319,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,pchip,10.0,368,full_information,published_v2,no_s2_suspect_v2,104.3861170359512,104.3861170359512,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,pchip,30.0,368,full_information,published_v2,no_s2_suspect_v2,252.57603817926156,252.57603817926156,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,pchip,90.0,368,full_information,published_v2,no_s2_suspect_v2,336.97661943771743,336.97661943771743,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,pchip,180.0,368,full_information,published_v2,no_s2_suspect_v2,605.280564715608,605.280564715608,0.0,0.0,0.0,1.0,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,1.0,2842,2842,False,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,random_forest,10.0,368,full_information,published_v2,no_s2_suspect_v2,1913.5053391666672,1922.428193954726,8.922854788058808,6.734750359160455,11.036071891447454,1.1634983820840716e-07,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,4.082299261583866e-06,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,random_forest,30.0,368,full_information,published_v2,no_s2_suspect_v2,1893.850401180857,1902.9596201489603,9.109218968103244,6.912627289268846,11.165769549550161,1.2008968042209744e-08,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,5.594997897698376e-07,2842,2842,True,0.05,within_named_hypothesis_family,ok
development_test,M2,B1,F,random_forest,90.0,368,full_information,published_v2,no_s2_suspect_v2,1872.0703498935793,1881.4736400442423,9.403290150663073,7.1796655625223345,11.598492700204792,5.844412953592837e-09,20,3,data_version_sensitivity,True,persistent_anchor_within_station_year_strata,3.256827767472714e-07,2842,2842,True,0.05,within_named_hypothesis_family,ok
