station_id,target,contrast,lag_days,skill_gain,n_anchor_events,std,standard_error,ci_lower,ci_upper,status
B1,T,lagged_C,-30.0,0.036135030739380514,160,0.9226006683212061,0.07293798706721416,-0.10682342391235924,0.17909348539112027,ok
B1,T,lagged_C,-14.0,0.04133517711624266,160,0.9497415038165056,0.07508365851134143,-0.10582879356598654,0.18849914779847185,ok
B1,T,lagged_C,-7.0,0.03834784653599371,160,0.9766641689181388,0.07721208207141866,-0.11298783432398687,0.1896835273959743,ok
B1,T,lagged_C,-3.0,0.031218236869422156,160,1.0022489432308233,0.07923473607765497,-0.12408184584278156,0.18651831958162587,ok
B1,T,lagged_C,-1.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,lagged_C,1.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,lagged_C,3.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,lagged_C,7.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,lagged_C,14.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,lagged_C,30.0,0.027403592228479195,160,1.0269865970792447,0.081190419330901,-0.13172962966008678,0.18653681411704515,ok
B1,T,observed_same_day_C,0.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,past_only_C,1.0,0.026072820514738648,160,1.0181452463759184,0.08049144918552993,-0.1316904198889,0.1838360609183773,ok
B1,T,seasonal_residual_block_permutation,0.0,-0.007623457006119716,160,0.8180214011777119,0.06467027006209784,-0.1343771863278315,0.11913027231559206,ok
B1,T,station_identity_permutation,0.0,-0.016669009948325257,160,0.8514463787394054,0.06731274655797216,-0.1486019932019507,0.11526397330530017,ok
P3,T,lagged_C,-30.0,0.07572295493691786,160,0.3895085058791504,0.03079335116468003,0.015367986654145002,0.1360779232196907,ok
P3,T,lagged_C,-14.0,0.07004431130560039,160,0.393202823842091,0.031085412643774173,0.009116902523803011,0.13097172008739777,ok
P3,T,lagged_C,-7.0,0.07009680693799542,160,0.3941003395681958,0.031156367492031947,0.009030326653612801,0.13116328722237802,ok
