experiment,mask_type,layout,window_length,training_protocol,validation_scope,station_id,target,model,pattern,statistical_frontier_days,statistical_frontier_censoring,statistical_frontier_definition,reason,mean_frontier_days,mean_frontier_censoring,mean_frontier_definition,tested_gap_lengths,missing_recommended_gap_lengths,dense_grid_complete,breakpoint_days,breakpoint_sse,breakpoint_reason,frontier_ci_lower,frontier_ci_upper,frontier_ci_estimand,mean_frontier_ci_lower,mean_frontier_ci_upper,frontier_bootstrap_reason,frontier_bootstrap_unit,n_frontier_paired_units,n_incomplete_frontier_units_excluded,n_boot_valid,n_boot_right_censored,n_boot_left_censored,frontier_denominator,hypothesis_family,status
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,donor_regression,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,21.0,0.022417464836642427,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,118,1824,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,kalman,T,148.95671455166917,,monotone_first_loss_lower_confidence_bound,,173.55142579071386,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,240.0,0.07627077270177562,,149.17178453072515,223.0509697144343,monotone_first_loss_mean_skill,149.17178453072515,223.0509697144343,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,linear,T,80.5215115748041,,monotone_first_loss_lower_confidence_bound,,114.18902136970158,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,150.0,0.06681417214545085,,79.48530204686162,135.4224202154617,monotone_first_loss_mean_skill,79.48530204686162,135.4224202154617,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,pchip,T,77.42864405309459,,monotone_first_loss_lower_confidence_bound,,111.91026618611394,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,180.0,0.07920768750881778,,82.17163466119834,156.93351405046764,monotone_first_loss_mean_skill,82.17163466119834,156.93351405046764,,mask_seed+training_seed,20,0,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,random_forest,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,30.0,0.012594527841562274,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,202,1748,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,P3,T,xgboost,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,30.0,0.010392765056026727,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,20,0,2000,545,1406,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,air_hydro,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,14.0,0.006583730622924259,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,19,1,2000,330,1501,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,air_only,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,21.0,0.001560715722075683,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,left-censored below the smallest tested gap,mask_seed+training_seed,19,1,2000,68,1593,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,climatology,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,0.0,left,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,3.0,0.0,,0.0,0.0,monotone_first_loss_mean_skill,0.0,0.0,left-censored below the smallest tested gap,mask_seed+training_seed,19,1,2000,0,2000,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,donor_regression,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,365.0,right,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,14.0,0.005226331941927496,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,right-censored at the largest tested gap,mask_seed+training_seed,19,1,2000,1579,256,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,kalman,T,18.29787837793497,,monotone_first_loss_lower_confidence_bound,,45.52881980534125,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,240.0,0.2625110366996337,,18.23665564408532,91.5925618650806,monotone_first_loss_mean_skill,18.23665564408532,91.5925618650806,,mask_seed+training_seed,19,1,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,linear,T,18.366678196196183,,monotone_first_loss_lower_confidence_bound,,39.167827683687406,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,90.0,0.25214781352656573,,18.61745056796936,64.10732235396033,monotone_first_loss_mean_skill,18.61745056796936,64.10732235396033,,mask_seed+training_seed,19,1,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,pchip,T,16.668183061683703,,monotone_first_loss_lower_confidence_bound,,29.632068598678185,,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,180.0,0.2574022219264025,,17.98916988600608,52.022130223153226,monotone_first_loss_mean_skill,17.98916988600608,52.022130223153226,,mask_seed+training_seed,19,1,2000,0,0,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,random_forest,T,0.0,left,monotone_first_loss_lower_confidence_bound,left-censored below the smallest tested gap,365.0,right,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,3.0,0.006273139253634865,,0.0,365.0,monotone_first_loss_mean_skill,0.0,365.0,right-censored at the largest tested gap,mask_seed+training_seed,19,1,2000,1543,146,climatology,frontier_model_vs_climatology,ok
SCI_DENSE,block,single,736,seen_length,development_evaluation,S2,T,xgboost,T,1.0398375458208107,,monotone_first_loss_lower_confidence_bound,,365.0,right,monotone_first_loss_mean_skill,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",[],True,21.0,0.01089195878517772,,1.0342707323839575,365.0,monotone_first_loss_mean_skill,1.0342707323839575,365.0,right-censored at the largest tested gap,mask_seed+training_seed,19,1,2000,1442,46,climatology,frontier_model_vs_climatology,ok
