experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,model,gap_length,failed_count,failure_fraction,failure_class,mean_skill,n_events,full_network_skill,relative_skill,network_size,reason,failure_count,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,30.0,2,0.6666666666666666,double,-0.0028231462533480412,60,-0.0028231462533480412,,3,full-network skill is not positive,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,30.0,3,1.0,full_network,-0.0028231462533480412,20,-0.0028231462533480412,,3,full-network skill is not positive,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,90.0,0,0.0,none,0.03752345793650577,20,0.03752345793650577,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,90.0,1,0.3333333333333333,single,0.03752345793650577,60,0.03752345793650577,1.0,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,90.0,2,0.6666666666666666,double,0.03752345793650577,60,0.03752345793650577,1.0,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,90.0,3,1.0,full_network,0.03752345793650577,20,0.03752345793650577,1.0,3,,3,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,180.0,0,0.0,none,0.06280805560958631,20,0.06280805560958631,1.0,3,,0,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,180.0,1,0.3333333333333333,single,0.06280805560958631,60,0.06280805560958631,1.0,3,,1,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,180.0,2,0.6666666666666666,double,0.06280805560958631,60,0.06280805560958631,1.0,3,,2,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,air_only,180.0,3,1.0,full_network,0.06280805560958631,20,0.06280805560958631,1.0,3,,3,ok
