station_id,target,data_version,model,information_combination,window,evaluation_split,curve_type,breakpoint_days,weighted_sse,left_slope,right_slope,reason,breakpoint_reason,boundary_days,boundary_censoring,boundary_ci_lower,boundary_ci_upper,n_anchors,n_years,status
B1,T,published_v2,air_hydro,full_information,736,development_test,raw,14.0,25.613823047790877,0.24269004668816663,0.00462984168125502,,,,left,5.067605814833405,5.067605814833405,20,3,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,weighted_pava_nonincreasing,3.0,6.100695253571956e-22,5.905233381071983e-15,1.060813849934755e-14,,,,left,131.91907205600864,131.91907205600864,20,3,ok
B1,T,published_v2,air_only,full_information,736,development_test,raw,14.0,0.5352644574611156,0.04070272699453468,0.0004305684688052508,,,,left,365.0,365.0,20,3,ok
B1,T,published_v2,air_only,full_information,736,development_test,weighted_pava_nonincreasing,3.0,3.5370654452878125e-25,1.5387295440718147e-16,2.553435072698935e-16,,,,left,365.0,365.0,20,3,ok
B1,T,published_v2,climatology,full_information,736,development_test,raw,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
B1,T,published_v2,climatology,full_information,736,development_test,weighted_pava_nonincreasing,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
B1,T,published_v2,donor_regression,full_information,736,development_test,raw,30.0,9.450859673631559,0.012408579403159913,0.0005971532663502626,,,1.442628035009556,,1.4426280350095557,365.0,20,3,ok
B1,T,published_v2,donor_regression,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.551008509102751e-26,-0.04008626959670401,-6.245004513516506e-17,,,365.0,right,365.0,365.0,20,3,ok
B1,T,published_v2,kalman,full_information,736,development_test,raw,240.0,21.461752292158067,-0.011653767090520656,-0.058451628408986975,,,36.53042265246044,,7.0175731367966385,48.9974715860601,20,3,ok
B1,T,published_v2,kalman,full_information,736,development_test,weighted_pava_nonincreasing,240.0,18.874142742980496,-0.011700719437620574,-0.058387531747717436,,,36.53042265246044,,7.098824149688343,48.53753571652163,20,3,ok
B1,T,published_v2,linear,full_information,736,development_test,raw,120.0,17.792411353652582,-0.01585370189548956,-0.026687005638681274,,,9.91350387410337,,6.989938847317578,48.66731168403128,20,3,ok
B1,T,published_v2,linear,full_information,736,development_test,weighted_pava_nonincreasing,120.0,16.918733797969296,-0.015875290599259486,-0.02667776449773039,,,38.34747224793686,,6.9896354674196575,48.66731168403128,20,3,ok
B1,T,published_v2,pchip,full_information,736,development_test,raw,150.0,22.57252199261162,-0.01669489204466279,-0.026725002571155586,,,31.080693272258745,,7.570218490789621,38.21908307933701,20,3,ok
B1,T,published_v2,pchip,full_information,736,development_test,weighted_pava_nonincreasing,150.0,8.566753827459626,-0.017012564563362857,-0.02653940046697088,,,30.98782993676938,,8.772964094908234,46.21196716952097,20,3,ok
B1,T,published_v2,random_forest,full_information,736,development_test,raw,3.0,0.24401830901942426,-0.08487832679364174,1.8403432130428832e-05,,,365.0,right,365.0,365.0,20,3,ok
B1,T,published_v2,random_forest,full_information,736,development_test,weighted_pava_nonincreasing,3.0,0.009978742340494869,-0.08041214546406095,-7.831201816216327e-05,,,365.0,right,365.0,365.0,20,3,ok
B1,T,published_v2,xgboost,full_information,736,development_test,raw,21.0,0.39716950404547147,0.004854742502212186,0.0002669772347700999,,,365.0,right,4.774011609085998,365.0,20,3,ok
B1,T,published_v2,xgboost,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.9451357954232916e-24,-3.766953915205009e-16,-5.989168937392888e-16,,,365.0,right,365.0,365.0,20,3,ok
P3,T,published_v2,air_hydro,full_information,736,development_test,raw,14.0,0.1325147007133901,0.016821249213311403,0.00017089984883061557,,,,left,,,20,3,ok
P3,T,published_v2,air_hydro,full_information,736,development_test,weighted_pava_nonincreasing,3.0,6.717175375416e-25,2.230495726420798e-16,3.5192866432051404e-16,,,,left,7.076298112291649,7.687033908454415,20,3,ok
P3,T,published_v2,air_only,full_information,736,development_test,raw,3.0,0.2012154777543144,-0.050874805156082906,0.00027148425131669207,,,2.8430389943544188,,1.1692096228718083,365.0,20,3,ok
P3,T,published_v2,air_only,full_information,736,development_test,weighted_pava_nonincreasing,3.0,1.9974111231626598e-25,-0.03833805026491362,-2.0122792321330962e-16,,,365.0,right,2.01207165463847,365.0,20,3,ok
P3,T,published_v2,climatology,full_information,736,development_test,raw,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
P3,T,published_v2,climatology,full_information,736,development_test,weighted_pava_nonincreasing,3.0,0.0,0.0,0.0,,,,left,,,20,3,ok
