gap_length,mean_skill,ci_lower,ci_upper,n_events,n_clusters,reason,experiment,mask_type,layout,window_length,training_protocol,validation_scope,station_id,target,model,pattern,status
1.0,-6.820369988485098,-12.488881610198854,-2.678905020246368,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
3.0,-4.942129688026163,-7.803214830307727,-2.6200233906225154,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
7.0,-5.079321942482556,-8.421988585463934,-2.662012982342967,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
10.0,-4.165712302289206,-5.920807119551989,-2.534314231769257,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
14.0,-3.2643057024650197,-4.302547827691224,-2.216611366812936,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
21.0,-3.000386286130912,-3.9018589067251352,-2.099658004571319,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
30.0,-2.93095551469238,-3.8221913617504217,-2.0436078911902693,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
45.0,-2.9903383660761866,-3.9537331637907323,-2.0029944514521616,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
60.0,-2.926181285338753,-3.9471467057883167,-1.9633433367826592,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
90.0,-3.002195014433834,-4.079413649005525,-2.04104627395301,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
120.0,-2.628070431471682,-3.3626371885257353,-1.873611427752287,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
150.0,-2.3253890432378785,-2.895957356733093,-1.7144128797272942,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
180.0,-2.1854022079033735,-2.688315515782792,-1.6862453703450717,20,20,,SCI_DENSE,block,single,736,seen_length,development_evaluation,B1,T,air_hydro,T,ok
