station_id,target,data_version,model,information_combination,window,evaluation_split,gap_length,raw_frontier_value,monotone_frontier_value,frontier_adjustment,frontier_adjusted,bootstrap_ci_lower,bootstrap_ci_upper,n_complete_anchor_curves,n_incomplete_anchor_curves_excluded,joint_cross_gap_resampling,reason,monotone_bootstrap_ci_lower,monotone_bootstrap_ci_upper,frontier_value,frontier_value_ci_lower,frontier_value_ci_upper,curve_type,boundary_days,boundary_censoring,boundary_ci_lower,boundary_ci_upper,n_anchors,n_years,breakpoint_days,breakpoint_reason,status
B1,T,published_v2,air_hydro,full_information,736,development_test,1.0,-6.820369988485096,-3.3248233909288785,3.4955465975562174,True,-13.11681930995451,0.18918661406363504,20,0,True,,-4.547647643447917,0.18918661406363504,-3.3248233909288785,-4.547647643447917,0.18918661406363504,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,3.0,-4.942129688026163,-3.3248233909288785,1.6173062970972842,True,-7.7281323872935515,0.02350381420798009,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,7.0,-5.079321942482556,-3.3248233909288785,1.7544985515536777,True,-6.186724766422036,-0.021966776055133252,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,10.0,-4.165712302289206,-3.3248233909288785,0.8408889113603277,True,-5.567962566054636,-0.0355852705428813,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,14.0,-3.2643057024650197,-3.3248233909288785,-0.06051768846385874,True,-4.489033040206301,0.10632606808008155,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,21.0,-3.000386286130912,-3.3248233909288785,-0.3244371047979664,True,-4.184193487023284,0.13952176782943204,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,30.0,-2.93095551469238,-3.3248233909288785,-0.39386787623649866,True,-4.02657565737375,0.13489544314591978,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,45.0,-2.9903383660761866,-3.3248233909288785,-0.3344850248526918,True,-3.7232926602127847,0.0763780870453174,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,60.0,-2.926181285338753,-3.3248233909288785,-0.39864210559012525,True,-3.341151314215194,0.07368903595931192,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
B1,T,published_v2,air_hydro,full_information,736,development_test,90.0,-3.0021950144338345,-3.3248233909288785,-0.32262837649504394,True,-3.447421952805356,0.07147671259998323,20,0,True,,-4.547647643447917,0.06344155249101674,-3.3248233909288785,-4.547647643447917,0.06344155249101674,weighted_pava_nonincreasing,,left,131.91907205600864,131.91907205600864,20,3,3.0,,ok
