experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,gap_length,model,failed_station_id,full_network_value,failed_value,full_network_climatology_value,failed_climatology_value,full_network_best_model,failed_best_model,full_network_best_model_counts,failed_best_model_counts,impact,value_metric,impact_definition,hard_cap_model,n_events,reason,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,180.0,best_available,P3,0.4646350873369503,0.496302621713509,0.7175138778818979,0.7175138778818979,donor_regression,donor_regression,"{""air_only"":1,""climatology"":3,""donor_regression"":10,""random_forest"":5,""xgboost"":1}","{""air_only"":3,""climatology"":3,""donor_regression"":11,""random_forest"":3}",0.03166753437655878,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,180.0,best_available,S2,0.4646350873369503,0.6508832351380607,0.7175138778818979,0.7175138778818979,donor_regression,air_only,"{""air_only"":1,""climatology"":3,""donor_regression"":10,""random_forest"":5,""xgboost"":1}","{""air_only"":12,""climatology"":6,""kalman"":1,""pchip"":1}",0.18624814780111043,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,10.0,best_available,B1,0.15695035333311486,0.15927941674864218,1.2932500410079957,1.2932500410079957,kalman,kalman,"{""air_hydro"":1,""kalman"":8,""linear"":3,""pchip"":7,""xgboost"":1}","{""air_hydro"":1,""climatology"":1,""kalman"":8,""linear"":3,""pchip"":7}",0.0023290634155273436,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,10.0,best_available,P3,0.15695035333311486,0.1558351737252513,1.2932500410079957,1.2932500410079957,kalman,kalman,"{""air_hydro"":1,""kalman"":8,""linear"":3,""pchip"":7,""xgboost"":1}","{""air_hydro"":2,""kalman"":7,""linear"":3,""pchip"":6,""random_forest"":2}",-0.0011151796078635457,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,10.0,best_available,S2,0.15695035333311486,0.15927941674864218,1.2932500410079957,1.2932500410079957,kalman,kalman,"{""air_hydro"":1,""kalman"":8,""linear"":3,""pchip"":7,""xgboost"":1}","{""air_hydro"":1,""climatology"":1,""kalman"":8,""linear"":3,""pchip"":7}",0.0023290634155273436,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,30.0,best_available,B1,0.30022793991518965,0.29607286826303214,1.306166684627533,1.306166684627533,kalman,kalman,"{""kalman"":7,""linear"":5,""pchip"":5,""random_forest"":1,""xgboost"":2}","{""air_hydro"":1,""donor_regression"":3,""kalman"":6,""linear"":5,""pchip"":4,""xgboost"":1}",-0.0041550716521574745,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,30.0,best_available,P3,0.30022793991518965,0.2833454934360977,1.306166684627533,1.306166684627533,kalman,kalman,"{""kalman"":7,""linear"":5,""pchip"":5,""random_forest"":1,""xgboost"":2}","{""air_hydro"":1,""kalman"":7,""linear"":5,""pchip"":4,""xgboost"":3}",-0.016882446479091897,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,30.0,best_available,S2,0.30022793991518965,0.29665632118882584,1.306166684627533,1.306166684627533,kalman,kalman,"{""kalman"":7,""linear"":5,""pchip"":5,""random_forest"":1,""xgboost"":2}","{""air_hydro"":1,""donor_regression"":3,""kalman"":7,""linear"":5,""pchip"":4}",-0.0035716187263637985,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,90.0,best_available,B1,0.37442715072151644,0.3786410400063927,1.2955555327733357,1.2955555327733357,kalman,kalman,"{""climatology"":1,""donor_regression"":1,""kalman"":8,""linear"":2,""pchip"":4,""xgboost"":4}","{""air_only"":1,""climatology"":1,""kalman"":10,""linear"":3,""pchip"":4,""xgboost"":1}",0.0042138892848762625,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,P3,P3,T,90.0,best_available,P3,0.37442715072151644,0.36815490016741714,1.2955555327733357,1.2955555327733357,kalman,kalman,"{""climatology"":1,""donor_regression"":1,""kalman"":8,""linear"":2,""pchip"":4,""xgboost"":4}","{""climatology"":1,""donor_regression"":1,""kalman"":8,""linear"":2,""pchip"":4,""random_forest"":1,""xgboost"":3}",-0.006272250554099279,MAE,best_available_failed_minus_best_available_full_with_climatology_hard_cap,climatology,20,,ok
