experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,evaluation_split,validation_scope,target_station_id,station_id,target,model,gap_length,data_version,failed_stations,failure_count,failure_fraction,MAE,skill,n_units,status
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,10.0,published_v2,"[""P3""]",1,0.3333333333333333,0.6807499921321869,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,10.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,0.6807499921321869,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,10.0,published_v2,"[""S2""]",1,0.3333333333333333,0.6807499921321869,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,10.0,published_v2,[],0,0.0,0.6807499921321869,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""B1"",""P3""]",2,0.6666666666666666,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""B1"",""S2"",""P3""]",3,1.0,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""B1"",""S2""]",2,0.6666666666666666,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""B1""]",1,0.3333333333333333,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""P3""]",1,0.3333333333333333,0.7571666431427002,0.0,20,ok
SCI_NET,matched_network,matched_target_gap,hydro-only,,T,368,seen_length,train,validation,development_test,development_evaluation,B1,B1,T,climatology,30.0,published_v2,"[""S2"",""P3""]",2,0.6666666666666666,0.7571666431427002,0.0,20,ok
