label,n_units,n_networks,pooled_spearman,network_spearman,within_network_spearman_median,within_network_fraction_defined,calibration_slope,calibration_intercept,r2,rmse
empirical_direct_874,874,57,0.9453454523265827,0.8049001814882034,0.965034965034965,1.0,0.9383308686836279,0.13832261354048767,0.8132326629922993,0.4553482313539534
empirical_full_1446,1446,57,0.7399228649476387,0.715452424163858,0.6824564070504819,1.0,0.9502513594290952,0.2862046930270103,0.23847087348229312,1.3201109690332493
simple_devonly_full_1446,1446,57,0.8190947335163268,0.6140782991962667,0.9311688311688312,1.0,1.0174320563432953,-0.011524218052111467,0.7835905403834017,0.7037287608619469
simple_fitperiod_full_1446,1446,57,0.8346255703753276,0.6046149857402127,0.9381499726327313,1.0,1.1503174400140002,-0.054772613286336765,0.7564136389267573,0.7466097621559827
surface_full_1446,1446,57,0.8927996015324269,0.674358309567021,0.9402597402597404,1.0,1.729725315404635,-0.5085233694256392,0.47526242056121437,1.095817581837708
empirical_direct_858,858,42,0.8254221357603907,0.8005023904059639,0.9587583148558758,1.0,0.8313246554502985,0.19951817398041224,0.5591495592085053,0.5890446372763253
empirical_supported_780,780,42,0.9341038429886329,0.9218863949436837,0.9587583148558758,1.0,0.8635904833613771,0.10656544215444656,0.8119853832008912,0.36217894334323014
empirical_full_1440,1440,42,0.6333593455063956,0.766631553358723,0.6458011870700959,1.0,0.8291303560017649,0.3937119898702933,0.14463461952342094,1.1564160625447537
simple_devonly_full_1440,1440,42,0.8026646545450687,0.5625962239688842,0.8959169312524171,1.0,0.806281653124682,0.01844162458067901,0.6027006871557901,0.7881287817985497
surface_full_1440,1440,42,0.9079523896169548,0.8983874888582773,0.9545454545454546,1.0,1.5584428910084507,-0.450585766481736,0.6794271580191722,0.7079484652574358
