label,n_units,n_networks,pooled_spearman,network_spearman,within_network_spearman_median,within_network_fraction_defined,calibration_slope,calibration_intercept,r2,rmse
first_858_direct_r1_global_mean,858,42,,,,0.0,0.567804405913891,0.5092040596086033,-5.4101694163088965e-05,0.8871852535276362
first_858_direct_r2_gap_only,858,42,0.7781256111129278,0.3158104943887921,0.9081794898850314,1.0,0.8965158641154907,-0.038000785169162866,0.5354532829566215,0.6046683881390441
first_858_direct_r3_gap_season,858,42,0.7638669953214501,0.21781873832903084,0.8792284685734976,1.0,1.054391993736766,-0.18448762517449646,0.44932234820025474,0.6583415910338203
first_858_direct_r4_network_mean,858,42,0.2908094035186295,0.7484806741755126,,0.0,0.6430143225298723,0.42097869569844965,0.028600756357139878,0.8743824804435539
first_858_direct_r5_network_x_horizon,858,42,0.7615112560748694,0.7983955919293412,0.8886727037541311,1.0,0.8309707292000578,0.20104726481420976,0.48317220349570844,0.6377867586232963
first_858_direct_r6_station_x_horizon,858,42,0.8249657489084111,0.7983955919293412,0.9510489510489512,1.0,0.8409550488393907,0.1897317601686856,0.5612896927407092,0.5876131224774016
first_858_direct_r7_empirical_curve,858,42,0.8254221357603907,0.8005023904059639,0.9587583148558758,1.0,0.8313246554502985,0.19951817398041224,0.5591495592085053,0.5890446372763253
first_858_direct_r8_simple_routeA,858,42,0.791569096951193,0.4846446803338465,0.9062845849802371,1.0,0.9041230928713918,-0.07659359536937234,0.519928307242866,0.6146892473598832
first_858_direct_r10_blocked_cv_mean,858,42,0.7781256111129278,0.0018921566603128214,0.9081794898850314,1.0,1.0085149876920783,-0.08845016964316618,0.5845462494580969,0.5718260140078573
first_858_direct_r11_risk_surface,858,42,0.9103195732024556,0.8703508629770683,0.9598905442383703,1.0,1.2308968272712846,-0.18529723468833068,0.7455905906041882,0.4474753863489184
first_858_direct_r12_meta_stack,858,42,0.8181964328118324,0.680090754395916,0.9230769230769231,1.0,0.7942276699021418,0.02180830396014982,0.46707126011014455,0.6476451798399624
first_780_supported_r1_global_mean,780,42,,,,0.0,0.5402660332308463,0.4845077891690469,-0.011729702774451178,0.8401554338143106
first_780_supported_r2_gap_only,780,42,0.7677580632528771,0.49630159541306673,0.8982841464682714,1.0,0.9158089706149612,-0.059129434270552006,0.5570594646399881,0.555904389770874
first_780_supported_r3_gap_season,780,42,0.7463292817245866,0.40477642924621027,0.8731282501307988,1.0,1.0262842511526478,-0.1648879346618071,0.42623361057755127,0.6326957868649581
first_780_supported_r4_network_mean,780,42,0.4303235381445764,0.8748885827728711,,0.0,0.7936193024598172,0.19661672055011356,0.1536178939987214,0.7684411741598088
first_780_supported_r5_network_x_horizon,780,42,0.8748348934095959,0.9116765254031279,0.8982841464682714,1.0,0.867673313548007,0.10308653491671582,0.7177037249481109,0.4437925058510487
first_780_supported_r6_station_x_horizon,780,42,0.9337698992633269,0.9116765254031279,0.9540422991642505,1.0,0.8740025050965984,0.0959030130278932,0.8146411131404969,0.35961193487595394
first_780_supported_r7_empirical_curve,780,42,0.9341038429886329,0.9218863949436837,0.9587583148558758,1.0,0.8635904833613771,0.10656544215444656,0.8119853832008912,0.36217894334323014
first_780_supported_r8_simple_routeA,780,42,0.7846900572713732,0.687383518353456,0.8951042330740787,1.0,0.9245768077404758,-0.10264499275980982,0.5626822014914776,0.5523647644473249
first_780_supported_r10_blocked_cv_mean,780,42,0.7677580632528771,0.3377230150913052,0.8982841464682714,1.0,1.0232545636821657,-0.1035688160785179,0.5944877037435745,0.5318992822511538
first_780_supported_r11_risk_surface,780,42,0.9217042771675574,0.9233449477351917,0.9598905442383703,1.0,1.2068269484769347,-0.18321972965857022,0.8288773522080229,0.34552632109609027
first_780_supported_r12_meta_stack,780,42,0.8149131918409995,0.8366420873511061,0.9201850780798149,1.0,0.8149198931446675,-0.0022216542024715027,0.5471027273932323,0.5621176773000622
first_1440_full_r1_global_mean,1440,42,,,,0.0,0.661144794003125,0.5929112377238922,-0.016252420128919587,1.260489050175662
first_1440_full_r2_gap_only,1440,42,0.782536353191837,0.27750859528081845,0.8961158493007946,1.0,0.9783375673069727,-0.1311277606868234,0.669824360742008,0.7184735665551013
first_1440_full_r3_gap_season,1440,42,0.7768737376637564,0.21921158532820992,0.884988900421552,1.0,1.5222826087313273,-0.6813495739203916,0.4615548672545621,0.9175062021407996
first_1440_full_r4_network_mean,1440,42,0.2904301187624216,0.7236852767198768,,0.0,0.7133136228820969,0.529901899466468,-0.014505143295121536,1.2594049834798609
first_1440_full_r5_network_x_horizon,1440,42,0.5929641643320855,0.7792723442184588,0.5966795054111185,1.0,0.8314333757412525,0.3922731197336316,0.1218449754742158,1.1717200897488385
first_1440_full_r6_station_x_horizon,1440,42,0.6329509153090217,0.7792723442184588,0.6451249554605986,1.0,0.8399437628840137,0.3826696980761571,0.14527655922978644,1.1559820440904418
first_1440_full_r7_empirical_curve,1440,42,0.6333593455063956,0.766631553358723,0.6458011870700959,1.0,0.8291303560017649,0.3937119898702933,0.14463461952342094,1.1564160625447537
first_1440_full_r8_simple_routeA,1440,42,0.8026646545450687,0.5625962239688842,0.8959169312524171,1.0,0.806281653124682,0.01844162458067901,0.6027006871557901,0.7881287817985497
