panel,subset,rung,baseline,delta_network_mean,delta_network_lo,delta_network_hi,delta_network_p_gt0,delta_pooled_mean,delta_pooled_lo,delta_pooled_hi,delta_pooled_p_gt0,n_draws,n_skipped
second,874_direct,r7_empirical_curve,r6_station_x_horizon,0.041916094397767625,6.488850535235346e-05,0.11169444851639798,0.976,0.002880087688856175,-0.0005368382428816376,0.00662953789312865,0.945,2000,0
second,874_direct,r11_risk_surface,r6_station_x_horizon,-0.07438834223444865,-0.28566026698599434,0.10688389346342121,0.217,-0.04372234027946867,-0.09378345438481207,-0.0023757189176628994,0.0195,2000,0
second,874_direct,r12_meta_stack,r6_station_x_horizon,-0.11063330480871789,-0.3641324360165348,0.09908744025428212,0.1785,-0.04748615757032684,-0.09170527456177892,-0.009046667800910627,0.006,2000,0
second,1446_full,r7_empirical_curve,r6_station_x_horizon,-0.010472513005392935,-0.0344625068950972,0.0074030250499616335,0.1315,0.0046279745061301655,0.001255139572256056,0.00879479008146768,0.9995,2000,0
second,1446_full,r11_risk_surface,r6_station_x_horizon,-0.051778249009669625,-0.24206495683603016,0.11854581719573926,0.291,0.15865693166345102,0.09002479069472757,0.2158895182282923,1.0,2000,0
second,1446_full,r12_meta_stack,r6_station_x_horizon,0.02201843812235643,-0.219971854447678,0.2550651430318933,0.581,0.15784303693028007,0.09589758645601439,0.2127358014620845,1.0,2000,0
