panel,subset,rung,baseline,delta_network_mean,delta_network_lo,delta_network_hi,delta_network_p_gt0,delta_pooled_mean,delta_pooled_lo,delta_pooled_hi,delta_pooled_p_gt0,n_draws,n_skipped
second,874_direct,r1_global_mean,r7_empirical_curve,-0.8823891333556909,-1.1931274949055113,-0.5721686743933065,0.0,,,,0.0,2000,0
second,874_direct,r2_gap_only,r7_empirical_curve,-0.448163916058772,-0.6675471188322224,-0.2236777362705558,0.0,-0.11125366798724722,-0.17442849668427915,-0.06253875035898745,0.0,2000,0
second,874_direct,r3_gap_season,r7_empirical_curve,-0.6974076127329811,-1.010647976153734,-0.3907832740087206,0.0,-0.1523350992237898,-0.22837282187637425,-0.08997003178771346,0.0,2000,0
second,874_direct,r4_network_mean,r7_empirical_curve,-0.0755864448488487,-0.17602125819998787,0.004929835009739241,0.039,-0.6680648599295744,-0.7548741658119641,-0.5771469449836608,0.0,2000,0
second,874_direct,r5_network_x_horizon,r7_empirical_curve,-0.04117352790818198,-0.10907343766922141,-0.0007121142928763179,0.0215,-0.04347947921785527,-0.06062168846699127,-0.02953904049057951,0.0,2000,0
second,874_direct,r6_station_x_horizon,r7_empirical_curve,-0.040877403964804535,-0.1122977135628688,0.000650505903395462,0.028,-0.00286031612739076,-0.006645952423395551,0.00040028108438680364,0.046,2000,0
second,874_direct,r8_simple_routeA,r7_empirical_curve,-0.5500262858425371,-0.8260111321489175,-0.30651480068505843,0.0,-0.09815928133183041,-0.1431154870505794,-0.05784127737355529,0.0,2000,0
second,874_direct,r10_blocked_cv_mean,r7_empirical_curve,-0.6559252900353054,-0.9420841747990775,-0.3799906156099882,0.0,-0.11031251853526072,-0.1749178747635408,-0.06199857317668916,0.0,2000,0
second,874_direct,r11_risk_surface,r7_empirical_curve,-0.12075852922941122,-0.34078086526152873,0.07479615296837014,0.1155,-0.047522300342318635,-0.0997210821907653,-0.004837849012068026,0.0145,2000,0
second,874_direct,r12_meta_stack,r7_empirical_curve,-0.15518435253548638,-0.411892683158603,0.06647607308959208,0.1,-0.050872264466392,-0.09693698252455124,-0.013882671258616705,0.003,2000,0
second,1446_full,r1_global_mean,r7_empirical_curve,,,,0.0,,,,0.0,2000,0
second,1446_full,r2_gap_only,r7_empirical_curve,-0.15797908922391976,-0.3792498864669812,0.06090418164777011,0.0805,0.08208180524743633,-0.0003734457432443988,0.1539300972463136,0.9745,2000,0
second,1446_full,r3_gap_season,r7_empirical_curve,-0.2618703860778556,-0.530514588271413,-0.012769942778250432,0.019,0.06250893181571886,-0.0326441906800472,0.14253670816078934,0.9155,2000,0
second,1446_full,r4_network_mean,r7_empirical_curve,0.0571082758936035,-0.007025484926478064,0.14285690924506858,0.9585,-0.4295684316743607,-0.4874690064600504,-0.3722223202866878,0.0,2000,0
second,1446_full,r5_network_x_horizon,r7_empirical_curve,0.010671115580941755,-0.007655564653121746,0.03542278740397253,0.8655,-0.029947175089872793,-0.04112078776137808,-0.019928471563574725,0.0,2000,0
second,1446_full,r6_station_x_horizon,r7_empirical_curve,0.010251606479689616,-0.007916192185036836,0.03328580535931616,0.8525,-0.004491545362966752,-0.008836996328842392,-0.001192903968284552,0.001,2000,0
second,1446_full,r8_simple_routeA,r7_empirical_curve,-0.10932176926369784,-0.34318182120546104,0.12528615153145078,0.1895,0.09676703269384827,0.027096351202195664,0.16025246624136005,0.997,2000,0
second,1446_full,r10_blocked_cv_mean,r7_empirical_curve,-0.1255392330480583,-0.35593058725760884,0.0984132738962287,0.1245,0.08227872225200202,-0.001310611511229495,0.15260727254714887,0.973,2000,0
second,1446_full,r11_risk_surface,r7_empirical_curve,-0.040689096098581574,-0.23522884793885507,0.13978116446949335,0.335,0.155315695327085,0.09068990127023407,0.2122819114226166,1.0,2000,0
second,1446_full,r12_meta_stack,r7_empirical_curve,0.03487344149776024,-0.2104273908527599,0.2680612806824311,0.6275,0.15426207576277687,0.09392886643876681,0.21270777665324456,1.0,2000,0
first,858_direct,r1_global_mean,r7_empirical_curve,-0.9294499619705785,-1.2788467420378813,-0.5522971092216556,0.0,,,,0.0,1995,5
