panel,subset,rung,baseline,delta_network_mean,delta_network_lo,delta_network_hi,delta_network_p_gt0,delta_pooled_mean,delta_pooled_lo,delta_pooled_hi,delta_pooled_p_gt0,n_draws,n_skipped
first,858_direct,r2_gap_only,r7_empirical_curve,-0.745314458240986,-1.0841088988999803,-0.39603647537738373,0.0,-0.0437675470559193,-0.15758215295371655,0.08327637521528164,0.23,2000,0
first,858_direct,r3_gap_season,r7_empirical_curve,-0.5863378237300912,-0.9221534402502178,-0.2610557781017435,0.0005,-0.05706441783727542,-0.17299165772512964,0.07220688941529314,0.1725,2000,0
first,858_direct,r4_network_mean,r7_empirical_curve,-0.053584410766032806,-0.13339126369302373,0.003088434514941516,0.033,-0.5403316816847017,-0.6855730593759666,-0.40279454172384555,0.0,2000,0
first,858_direct,r5_network_x_horizon,r7_empirical_curve,-0.00249851453901178,-0.02665610185561435,0.025341130604288446,0.377,-0.06463412767167352,-0.09461156349446989,-0.03871164375363691,0.0,2000,0
first,858_direct,r6_station_x_horizon,r7_empirical_curve,-0.0030510153436016296,-0.0271256229625356,0.026000544808067384,0.3685,-0.00019648096034260453,-0.0041001234172652196,0.0039447418447295995,0.4375,2000,0
first,858_direct,r8_simple_routeA,r7_empirical_curve,-0.3202779788527482,-0.6219262270344528,-0.06493926655329825,0.008,-0.03281684451815957,-0.13147629086152954,0.07854277035954141,0.2645,2000,0
first,858_direct,r10_blocked_cv_mean,r7_empirical_curve,-0.6539057336834015,-0.9752884945720263,-0.3496158143116355,0.0,-0.04429399001299059,-0.1608672169559677,0.0789239371404573,0.22761380690345173,1999,1
first,858_direct,r11_risk_surface,r7_empirical_curve,0.07026960418305918,-0.005540804865578005,0.17626903018165788,0.9625,0.08627519848691217,0.015157981591503975,0.17126021016968968,0.995,2000,0
first,858_direct,r12_meta_stack,r7_empirical_curve,-0.12326899124513596,-0.3151576539592412,0.06906410321153572,0.1015,-0.005059932594488639,-0.0938340493486211,0.09496426553297371,0.4545,2000,0
first,780_supported,r1_global_mean,r7_empirical_curve,-1.0971866032508315,-1.3948000031332421,-0.7280169254406559,0.0,,,,0.0,1998,2
first,780_supported,r2_gap_only,r7_empirical_curve,-0.570599100536293,-0.873703991981825,-0.3097734513300692,0.0,-0.16288571793034656,-0.2272876415778391,-0.09926946805706412,0.0,2000,0
first,780_supported,r3_gap_season,r7_empirical_curve,-0.5244969685319224,-0.8362450354623245,-0.25029444094651704,0.0,-0.1856073028427631,-0.2495035633978403,-0.12404181511768825,0.0,2000,0
first,780_supported,r4_network_mean,r7_empirical_curve,-0.04735931749941644,-0.11920217806138826,0.0022744164831991986,0.029,-0.5151760519843311,-0.6403833707880346,-0.39309767008399515,0.0,2000,0
first,780_supported,r5_network_x_horizon,r7_empirical_curve,-0.010980821193860752,-0.03361562961012374,0.008622979131052335,0.1295,-0.05947741946472607,-0.08823014408222929,-0.034411887816288615,0.0,2000,0
first,780_supported,r6_station_x_horizon,r7_empirical_curve,-0.010723203421157809,-0.03186336141336374,0.009905049551911668,0.1305,-0.00022951545446453308,-0.0032876948742329463,0.0030775024459475434,0.4425,2000,0
first,780_supported,r8_simple_routeA,r7_empirical_curve,-0.23722457645079406,-0.4360345873757778,-0.07180328715649964,0.0025,-0.1466585271272088,-0.1949577954364524,-0.10027582533693266,0.0,2000,0
first,780_supported,r10_blocked_cv_mean,r7_empirical_curve,-0.4403573839074737,-0.7233853866139223,-0.21053051587704566,0.0,-0.16281920574740397,-0.22925499327425233,-0.10241411272711327,0.0,2000,0
first,780_supported,r11_risk_surface,r7_empirical_curve,0.00191180171722403,-0.03215629928845028,0.04255690672674421,0.522,-0.011372898560602336,-0.03450014475706088,0.013303025784168986,0.166,2000,0
first,780_supported,r12_meta_stack,r7_empirical_curve,-0.08591728097925873,-0.20080862907106717,0.012845050566264152,0.0395,-0.11701269926346526,-0.16109583513208864,-0.07243343818708382,0.0,2000,0
first,1440_full,r1_global_mean,r7_empirical_curve,-0.5087518432917184,-0.8398695764572826,-0.20080589873578264,0.001,,,,0.0,2000,0
first,1440_full,r2_gap_only,r7_empirical_curve,-0.4849455862411218,-0.8564221949501983,-0.11177097349111574,0.004,0.15006885811139348,0.012786659377755489,0.3060891632590692,0.9825,2000,0
first,1440_full,r3_gap_season,r7_empirical_curve,-0.5371867438918555,-0.9011306769077322,-0.2006471743476962,0.0005,0.14234857148010713,0.005317409233626132,0.294323114439852,0.9775,2000,0
first,1440_full,r4_network_mean,r7_empirical_curve,-0.043254358276835686,-0.10568968900894575,-0.0017812847607427652,0.0185,-0.348955105368227,-0.4408977770686513,-0.25464989280675154,0.0,2000,0
first,1440_full,r5_network_x_horizon,r7_empirical_curve,0.012427359858692468,-0.0076332931763999886,0.04436265389729333,0.8285,-0.039981924123580564,-0.059389890837032944,-0.02248518620711695,0.0,2000,0
first,1440_full,r6_station_x_horizon,r7_empirical_curve,0.012718658339671061,-0.00730359434882632,0.04773172000944804,0.828,-0.00029494006917109235,-0.002727631230747557,0.002328965200684368,0.411,2000,0
first,1440_full,r8_simple_routeA,r7_empirical_curve,-0.2055620569936553,-0.5047489446705292,0.06035568861793279,0.0665,0.17082164350618398,0.05292951346610592,0.31142417814868045,0.998,2000,0
first,1440_full,r10_blocked_cv_mean,r7_empirical_curve,-0.3699672324546686,-0.6844766960425542,-0.06663437619818066,0.0075,0.15070018332598117,0.011031338605442002,0.3098398139996025,0.9815,2000,0
first,1440_full,r11_risk_surface,r7_empirical_curve,0.13558561231763103,0.02646342453519531,0.2814135331931452,0.993,0.27540637868663004,0.178688800629668,0.39031846389343106,1.0,2000,0
first,1440_full,r12_meta_stack,r7_empirical_curve,-0.07690199710589826,-0.3142141151549243,0.14532444233734143,0.24,0.19715584084146423,0.07391676602911282,0.3209921953873279,1.0,2000,0
