panel,subset,rung,baseline,delta_network_mean,delta_network_lo,delta_network_hi,delta_network_p_gt0,delta_pooled_mean,delta_pooled_lo,delta_pooled_hi,delta_pooled_p_gt0,n_draws,n_skipped
second,874_direct,r7_empirical_curve,r4_network_mean,0.07667069403240097,-0.001947564616987582,0.17697473535347338,0.973,0.668973907384074,0.5742386890438331,0.7572493395304656,1.0,2000,0
second,874_direct,r11_risk_surface,r4_network_mean,-0.042641196934196844,-0.2514046755397914,0.16273241910031416,0.3375,0.6208453015021393,0.5032767225002525,0.7309484167750657,1.0,2000,0
second,874_direct,r12_meta_stack,r4_network_mean,-0.07741852195061802,-0.3379749488180839,0.13662615153054905,0.273,0.6179773157297104,0.4948568969690484,0.7315009665477517,1.0,2000,0
second,1446_full,r7_empirical_curve,r4_network_mean,-0.05773688450471181,-0.14763303049967555,0.006622472372985907,0.047,0.4292413768451749,0.373561317893384,0.4864906751955198,1.0,2000,0
second,1446_full,r11_risk_surface,r4_network_mean,-0.09760704134471238,-0.2970125011204763,0.06174095936462608,0.129,0.5848450002987412,0.4780884621579474,0.688871272803188,1.0,2000,0
second,1446_full,r12_meta_stack,r4_network_mean,-0.01882379791561484,-0.2529886752206293,0.1853503975471507,0.461,0.584132927749899,0.47522446580895344,0.6869584828898662,1.0,2000,0
first,858_direct,r7_empirical_curve,r5_network_x_horizon,0.0024047505616224506,-0.023579259687299618,0.02745282838436643,0.61,0.06444046541800644,0.039481616661473,0.09335348910899251,1.0,2000,0
first,858_direct,r11_risk_surface,r5_network_x_horizon,0.07295722591042558,-0.003088200643476255,0.1713736891839247,0.9695,0.15032161853046433,0.08121828020132248,0.23206241739528255,1.0,2000,0
first,858_direct,r12_meta_stack,r5_network_x_horizon,-0.12184047111309013,-0.3207991822328697,0.07474352711284804,0.099,0.05669461339768246,-0.024728991497006452,0.14577129456434726,0.899,2000,0
first,780_supported,r7_empirical_curve,r5_network_x_horizon,0.010700100454794383,-0.007480459336187294,0.03247860505338612,0.8825,0.06000526199530653,0.034216712514717515,0.09005635859492425,1.0,2000,0
first,780_supported,r11_risk_surface,r5_network_x_horizon,0.012353564048726678,-0.030409700242040472,0.05931198936980128,0.7325,0.048052389931953245,0.013623876970872292,0.08164882553488756,0.998,2000,0
first,780_supported,r12_meta_stack,r5_network_x_horizon,-0.07833848889850308,-0.19384453621418082,0.020136264047976294,0.057,-0.057534184710353646,-0.10245338459901382,-0.018380845080662754,0.001,2000,0
first,1440_full,r7_empirical_curve,r5_network_x_horizon,-0.011826705431914305,-0.04302153852267188,0.0084536500761587,0.1755,0.040081485496072614,0.023151896883548354,0.05946266196194781,1.0,2000,0
first,1440_full,r11_risk_surface,r5_network_x_horizon,0.12027337102421909,0.024347377265127475,0.2524001999546773,0.994,0.31594405495304595,0.2182447416290365,0.42617200143197237,1.0,2000,0
first,1440_full,r12_meta_stack,r5_network_x_horizon,-0.08492762591540841,-0.3022310303102862,0.13921756390891946,0.217,0.2369337628460801,0.11438502437388658,0.3637706836545489,1.0,2000,0
