network_id,role,site_id,variable,information_group,target_start,request_start,request_end,n_target_calendar_days,n_expected_provider_days,n_provider_rows,n_provider_eligible_rows,provider_row_coverage,eligible_coverage,pre_power_archive_days,source_status
huc8_05040001,development,03120961,F,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03120961,L,H,2015-06-22,2015-06-22,2025-11-19,3804,3804,2773,2735,0.7289695057833859,0.7189800210304942,0,materialized
huc8_05040001,development,03125338,Ta,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,P,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,W,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,RH,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,Rs,M,2015-06-30,2015-06-30,2025-11-16,3793,3793,3793,3793,1.0,1.0,0,materialized
huc8_05040001,development,03125338,F,H,2015-06-30,2015-06-30,2025-11-16,3793,3793,365,364,0.09622989717901398,0.09596625362509886,0,materialized
huc8_05040001,development,03125338,L,H,2015-06-30,2015-06-30,2025-11-16,3793,3793,2989,2989,0.7880305826522541,0.7880305826522541,0,materialized
huc8_05040001,development,03126395,Ta,M,2015-06-30,2015-06-30,2025-11-07,3784,3784,3784,3784,1.0,1.0,0,materialized
huc8_05040001,development,03126395,P,M,2015-06-30,2015-06-30,2025-11-07,3784,3784,3784,3784,1.0,1.0,0,materialized
huc8_05040001,development,03126395,W,M,2015-06-30,2015-06-30,2025-11-07,3784,3784,3784,3784,1.0,1.0,0,materialized
huc8_05040001,development,03126395,RH,M,2015-06-30,2015-06-30,2025-11-07,3784,3784,3784,3784,1.0,1.0,0,materialized
huc8_05040001,development,03126395,Rs,M,2015-06-30,2015-06-30,2025-11-07,3784,3784,3784,3784,1.0,1.0,0,materialized
huc8_05040001,development,03126395,F,H,2015-06-30,2015-06-30,2025-11-07,3784,3784,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03126395,L,H,2015-06-30,2015-06-30,2025-11-07,3784,3784,2931,2931,0.7745771670190275,0.7745771670190275,0,materialized
huc8_05040001,development,03127980,Ta,M,2015-06-30,2015-06-30,2025-11-17,3794,3794,3794,3794,1.0,1.0,0,materialized
huc8_05040001,development,03127980,P,M,2015-06-30,2015-06-30,2025-11-17,3794,3794,3794,3794,1.0,1.0,0,materialized
huc8_05040001,development,03127980,W,M,2015-06-30,2015-06-30,2025-11-17,3794,3794,3794,3794,1.0,1.0,0,materialized
huc8_05040001,development,03127980,RH,M,2015-06-30,2015-06-30,2025-11-17,3794,3794,3794,3794,1.0,1.0,0,materialized
huc8_05040001,development,03127980,Rs,M,2015-06-30,2015-06-30,2025-11-17,3794,3794,3794,3794,1.0,1.0,0,materialized
huc8_05040001,development,03127980,F,H,2015-06-30,2015-06-30,2025-11-17,3794,3794,0,0,0.0,0.0,0,failed_or_unavailable
huc8_05040001,development,03127980,L,H,2015-06-30,2015-06-30,2025-11-17,3794,3794,2939,2939,0.7746441750131787,0.7746441750131787,0,materialized
huc8_05040001,development,03127986,Ta,M,2015-06-24,2015-06-24,2025-11-17,3800,3800,3800,3800,1.0,1.0,0,materialized
