panel,n_networks,n_stations,n_units,n_direct_units,n_fallback_units,domain_czechia_networks,domain_czechia_stations,domain_czechia_units,domain_norway_networks,domain_norway_stations,domain_norway_units,domain_united_states_networks,domain_united_states_stations,domain_united_states_units,domain_germany_networks,domain_germany_stations,domain_germany_units,domain_netherlands_networks,domain_netherlands_stations,domain_netherlands_units,domain_slovenia_networks,domain_slovenia_stations,domain_slovenia_units,domain_switzerland_networks,domain_switzerland_stations,domain_switzerland_units
second,57,224,1446,874,572,15.0,69.0,478.0,10.0,41.0,265.0,32,114,703,,,,,,,,,,,,
first,42,219,1440,858,582,,,,,,,17,95,583,11.0,65.0,444.0,1.0,3.0,21.0,12.0,47.0,329.0,1.0,9.0,63.0
