subset,pair,spearman,pearson,n
second_direct_874,empirical_vs_r6,0.9958876262609808,0.9917401260505299,874
second_direct_874,empirical_vs_simple,0.8010132463003267,0.7642634231842504,874
second_all_1446,empirical_vs_r6,0.9957538048920114,0.992287327361551,1446
second_all_1446,empirical_vs_simple,0.6053450307315359,0.3927186818178561,1446
first_direct_858,empirical_vs_r6,0.9976077583416448,0.9947512774892454,858
first_direct_858,empirical_vs_simple,0.6210383506881625,0.5895343411892362,858
first_all_1440,empirical_vs_r6,0.9982682209885566,0.9954033551159847,1440
first_all_1440,empirical_vs_simple,0.4225056148372817,0.2661233729751245,1440
