horizon,n_units,n_networks,empirical_network_spearman,r6_network_spearman,simple_network_spearman
7,224,57,0.9320715582058596,0.9384236453201971,0.3744490536686544
30,224,57,0.9156728026963963,0.9154135338345866,0.15296862846772102
90,220,56,0.8647983595352017,0.8434723171565277,0.042925495557074506
180,206,53,0.6594097726173197,0.603451056281245,0.16400580551523947
