date,6470500,6478500
2006-03-11,,7.4
2006-03-12,,5.8
2006-03-13,,3.2
2006-03-14,,2.9
2006-03-15,,2.9
2006-03-16,,2.8
2006-03-17,,2.8
2006-03-18,,3.0
2006-03-19,,3.1
2006-03-20,,2.2
2006-03-21,,2.3
2006-03-22,,3.2
2006-03-23,,3.6
2006-03-24,,4.0
2006-03-25,,4.6
2006-03-26,,4.8
2006-03-27,,5.7
2006-03-28,,6.3
2006-03-29,,7.3
2006-03-30,,9.5
2006-03-31,,8.9
2006-04-01,,8.5
2006-04-02,,8.9
2006-04-03,,8.7
2006-04-04,,9.4
2006-04-05,,11.0
2006-04-06,,13.1
2006-04-07,,12.5
2006-04-08,,10.8
2006-04-09,,11.2
2006-04-10,,12.5
2006-04-11,,14.1
2006-04-12,,14.4
2006-04-13,,15.3
2006-04-14,,16.6
2006-04-15,,16.7
2006-04-16,,16.1
2006-04-17,,15.6
2006-04-18,,14.6
2006-04-19,,12.6
2006-04-20,,11.5
2006-04-21,,11.5
2006-04-22,,12.5
2006-04-23,,13.6
2006-04-24,,13.7
2006-04-25,,12.3
2006-04-26,,12.8
2006-04-27,,13.7
2006-04-28,,14.9
2006-04-29,,15.0
2006-04-30,,14.4
2006-05-01,,13.9
2006-05-02,,14.7
2006-05-03,,15.8
2006-05-04,,15.8
2006-05-05,,15.4
2006-05-06,,15.3
2006-05-07,,15.9
2006-05-08,,16.6
2006-05-09,,16.9
2006-05-10,,16.7
2006-05-11,,15.5
2006-05-12,,15.0
2006-05-13,,14.8
2006-05-14,,14.6
2006-05-15,,14.9
2006-05-16,,15.7
2006-05-17,,16.7
2006-05-18,,17.4
2006-05-19,,19.0
2006-05-20,,20.5
2006-05-21,,20.5
2006-05-22,,19.5
2006-05-23,,20.4
2006-05-24,,21.0
2006-05-25,,20.8
2006-05-26,,21.3
2006-05-27,,22.6
2006-05-28,,24.0
2006-05-29,,24.6
2006-05-30,,24.2
2006-05-31,,23.9
2006-06-01,,24.4
2006-06-02,,24.9
2006-06-03,,25.5
2006-06-04,,25.5
2006-06-05,,25.5
2006-06-06,,25.6
2006-06-07,,25.1
2006-06-08,,24.0
2006-06-09,,23.7
2006-06-10,,21.4
2006-06-11,,18.9
2006-06-12,,19.2
2006-06-13,,21.4
2006-06-14,,23.0
2006-06-15,,23.4
2006-06-16,,23.6
2006-06-17,,22.8
2006-06-18,,22.1
2006-06-19,,22.8
2006-06-20,,23.8
2006-06-21,,24.8
2006-06-22,,25.0
2006-06-23,,25.7
2006-06-24,,25.8
2006-06-25,,25.5
2006-06-26,,25.0
2006-06-27,,25.3
2006-06-28,,25.2
2006-06-29,,25.8
2006-06-30,,27.1
2006-07-01,,27.7
2006-07-02,,28.0
2006-07-03,,28.6
2006-07-04,,27.1
2006-07-05,,26.1
2006-07-06,,26.0
2006-07-07,,25.0
2006-07-08,,26.3
2006-07-09,,28.1
2006-07-10,,27.5
2006-07-11,,27.3
2006-07-12,,28.7
2006-07-13,,28.3
2006-07-14,,28.6
2006-07-15,,29.0
2006-07-16,,29.2
2006-07-17,,28.9
2006-07-18,,27.5
2006-07-19,,27.7
2006-07-20,,28.5
2006-07-21,,27.4
2006-07-22,,26.9
2006-07-23,,27.1
2006-07-24,,27.9
2006-07-25,,26.8
2006-07-26,,26.7
2006-07-27,,28.7
2006-07-28,,29.7
2006-07-29,,30.2
2006-07-30,,30.4
2006-07-31,,29.5
2006-08-01,,28.6
2006-08-02,,27.2
2006-08-03,,27.5
2006-08-04,,27.4
2006-08-05,,26.7
2006-08-06,,27.1
2006-08-07,,26.2
2006-08-08,,25.2
2006-08-09,,26.6
2006-08-10,,27.8
2006-08-11,,27.8
2006-08-12,,27.5
2006-08-13,,27.6
2006-08-14,,26.9
2006-08-15,,26.2
2006-08-16,,25.3
2006-08-17,,26.2
2006-08-18,,26.3
2006-08-19,,25.3
2006-08-20,,25.2
2006-08-21,,25.6
2006-08-22,,26.6
2006-08-23,,26.4
2006-08-24,,26.8
2006-08-25,,25.7
2006-08-26,,24.5
2006-08-27,,24.5
2006-08-28,,23.6
2006-08-29,,23.0
2006-08-30,,23.1
2006-08-31,,22.3
2006-09-01,,21.3
2006-09-02,,19.4
2006-09-03,,19.0
2006-09-04,,19.0
2006-09-06,,21.0
2006-09-07,,22.0
2006-09-08,,22.3
2006-09-09,,21.1
2006-09-10,,19.0
2006-09-11,,18.2
2006-09-12,,18.7
2006-09-13,,19.7
2006-09-14,,20.4
2006-09-15,,20.5
2006-09-17,,19.2
2006-09-18,,15.1
