network_id,n_sites,n_gages_matched,frac_major_dam,regulated,mean_drain_sqkm,aggecoregion,seplains,matchable,achieved_skill,recoverability_r,donor_r2,acf30,heuristic_explained_variance,donor_mae,n_station_gap_rows,spearman_operator_r_vs_achieved_skill,spearman_donor_r2_vs_achieved_skill,mean_bfi,n_bfi_matched
cahaba_river_huc31,5,2,0.5,True,318.75,EastHghlnds,False,True,,,,,,,,,,38.03333333333333,3
clearwater_river_huc17,5,3,0.6666666666666666,True,19666.266666666666,WestMnts,False,True,,,,,,,,,,66.89999999999999,3
delaware_river_huc20,8,2,1.0,True,4421.25,NorthEast,False,True,,,,,,,,,,43.199999999999996,3
madison_river_huc10,6,2,1.0,True,4370.15,WestMnts,False,True,0.8463590826126433,0.9003257743347746,0.5871775535750251,0.1464277176664145,0.6770427509384683,0.8953530152784444,5.0,0.6655391120507399,0.804369274136716,81.25,4
mahoning_river_huc50,7,2,1.0,True,1098.15,NorthEast,False,True,0.9088061160979528,0.9664367113960176,0.7148089725260548,0.2153612402657771,0.845409358996749,0.6101172504975053,6.0,0.6655391120507399,0.804369274136716,35.916666666666664,6
mckenzie_river_huc17,6,1,1.0,True,2402.7,WestMnts,False,True,,,,,,,,,,68.375,4
rio_grande_huc13,6,1,1.0,True,37162.6,WestMnts,False,True,,,,,,,,,,61.699999999999996,3
roanoke_river_huc30,6,0,,False,,,,False,0.9270536670943657,0.9851506844236048,0.7621723692907658,0.3530402342434902,0.913979974631671,0.5019826865976814,5.0,0.6655391120507399,0.804369274136716,,0
santa_fe_river_huc31,5,0,,False,,,,False,0.8033150277707033,0.9059309652342592,0.7601319984753675,0.1156950683099256,0.7928950845702777,0.5747765934391817,4.0,0.6655391120507399,0.804369274136716,44.300000000000004,3
suwannee_river_huc31,5,0,,False,,,,False,,,,,,,,,,40.2,4
willamette_river_huc17,7,3,1.0,True,14344.300000000001,WestMnts,False,True,0.9256513754860152,0.9728021695192464,0.869405629907893,0.3829451777036163,0.9140829265846168,0.3444098075163797,6.0,0.6655391120507399,0.804369274136716,55.125,4
yellowstone_river_huc10,7,0,,False,,,,False,,,,,,,,,,72.93333333333332,3
alafia_river_huc03,4,0,,False,,,,False,,,,,,,,,,42.1,1
allegheny_river_huc05,5,1,1.0,True,5640.1,NorthEast,False,True,0.8086246777025534,0.8889425323010859,0.3852660137310754,0.1498566472557853,0.4900502112085884,1.1092641533970915,4.0,0.6655391120507399,0.804369274136716,39.666666666666664,3
animas_river_huc14,5,0,,False,,,,False,,,,,,,,,,63.75,4
applegate_river_huc17,4,3,1.0,True,1214.2333333333333,WestMnts,False,True,0.8518539747736642,0.8791834564786017,0.6715752142202728,0.4260394078485243,0.8472969293600126,0.5445697771360866,3.0,0.6655391120507399,0.804369274136716,59.56666666666666,3
arkansas_river_huc11,9,6,1.0,True,12604.199999999999,WestMnts,False,True,0.8598509253013735,0.9973023095213234,0.503378618184958,0.2328587491739261,0.6487971471113285,0.848999814213696,8.0,0.6655391120507399,0.804369274136716,61.083333333333336,6
au_sable_river_huc04,9,5,1.0,True,3799.2799999999997,MxWdShld,False,True,0.9615507704464186,0.9739285379992516,0.9344628171347706,0.123690170253017,0.9498941519146952,0.2783028291967307,8.0,0.6655391120507399,0.804369274136716,79.8,5
back_creek_huc02,3,1,1.0,True,348.0,EastHghlnds,False,True,,,,,,,,,,40.099999999999994,2
beaufort_river_huc03,4,0,,False,,,,False,,,,,,,,,,,0
big_hole_river_huc10,6,0,,False,,,,False,,,,,,,,,,74.65,4
big_sunflower_river_huc08,4,0,,False,,,,False,,,,,,,,,,32.849999999999994,2
broad_river_huc03,4,1,1.0,True,7201.2,SEPlains,True,True,0.9041304811672124,0.922878051689898,0.7788379466338724,0.2637922938072276,0.8265501765475415,0.6477394222618525,3.0,0.6655391120507399,0.804369274136716,54.2,1
catawba_r_huc03,4,0,,False,,,,False,0.534802756995354,0.7533752950404256,0.0165503150292571,0.3072558346357776,0.4017141219552869,1.6201508190179208,3.0,0.6655391120507399,0.804369274136716,54.9,1
catawba_river_huc03,6,0,,False,,,,False,0.8505935534265582,0.9455192960460832,0.6796944545925675,0.1288847879377903,0.8012935616834372,0.6065191178476484,5.0,0.6655391120507399,0.804369274136716,,0
cedar_river_huc17,5,4,0.75,True,279.29999999999995,WestMnts,False,True,0.7996191031060667,0.9003522959847297,0.5920506980458613,0.4122149234246827,0.7676765269838722,0.6599538220173256,4.0,0.6655391120507399,0.804369274136716,58.849999999999994,4
clackamas_river_huc17,4,2,1.0,True,2099.65,WestMnts,False,True,0.8937875093043504,0.9271265677043672,0.8412655636331263,0.3548323164025893,0.8844571637680493,0.4245962530815345,3.0,0.6655391120507399,0.804369274136716,68.35,2
clark_fork_huc17,7,0,,False,,,,False,,,,,,,,,,76.86666666666667,3
conemaugh_river_huc05,4,0,,False,,,,False,0.884246662925556,0.9066445498108868,0.6929507794902704,0.1508461376377975,0.7387470296785882,0.8262721441267464,3.0,0.6655391120507399,0.804369274136716,41.400000000000006,2
cooper_r_huc03,5,0,,False,,,,False,0.9692422017652236,0.9906852975809468,0.7098743112401603,0.1805795772403218,0.7467113206198568,0.1833285191954131,4.0,0.6655391120507399,0.804369274136716,,0
des_plaines_river_huc07,4,0,,False,,,,False,,,,,,,,,,35.7,1
elk_creek_huc17,3,1,1.0,True,335.9,WestMnts,False,True,,,,,,,,,,62.4,1
etowah_river_huc03,4,0,,False,,,,False,,,,,,,,,,65.83333333333333,3
flathead_river_huc17,3,0,,False,,,,False,,,,,,,,,,72.7,1
floyds_fork_huc05,4,0,,False,,,,False,0.9434614984285572,0.929943474062657,0.9219842141512776,0.0857959847293653,0.9258311168764172,0.3927010107893123,3.0,0.6655391120507399,0.804369274136716,18.866666666666667,3
fountain_creek_huc11,4,2,1.0,True,2086.45,WestPlains,False,True,,,,,,,,,,49.56666666666666,3
fox_river_huc04,4,0,,False,,,,False,,,,,,,,,,63.45,2
green_river_huc05,5,2,1.0,True,1836.75,SEPlains,True,True,,,,,,,,,,23.0,2
green_river_huc14,4,1,1.0,True,39136.6,WestXeric,False,True,0.6606395091753022,0.7821497547505744,0.3181688176938995,0.2767819008612895,0.5409081935894703,1.5015701611078331,3.0,0.6655391120507399,0.804369274136716,60.349999999999994,2
harpeth_river_huc05,5,0,,False,,,,False,,,,,,,,,,26.35,2
james_river_huc10,3,0,,False,,,,False,,,,,,,,,,26.8,1
jefferson_river_huc10,4,0,,False,,,,False,,,,,,,,,,75.35,2
johnson_creek_huc17,4,3,0.0,False,81.86666666666667,WestMnts,False,True,0.9058229181399156,0.9125168721497378,0.904093644889,0.1072603118552897,0.908986854415298,0.4208096503045744,3.0,0.6655391120507399,0.804369274136716,47.70000000000001,3
kankakee_river_huc07,6,0,,False,,,,False,0.951082424624752,0.9662782160061674,0.8992179966986577,0.0821414661192562,0.907639672978416,0.3698295484938961,5.0,0.6655391120507399,0.804369274136716,59.075,4
klamath_river_huc18,5,1,1.0,True,18081.2,WestMnts,False,True,0.9678458394105188,0.9649588150630136,0.9341171336859714,0.1693331547030687,0.9477550987608164,0.2203903473175973,4.0,0.6655391120507399,0.804369274136716,73.7,1
kootenai_river_huc17,4,0,,False,,,,False,0.9012546641954868,0.935363492300222,0.8054798173433086,0.3364223442910881,0.8817482461586955,0.4234895775181672,3.0,0.6655391120507399,0.804369274136716,,0
link_river_huc18,4,1,1.0,True,9786.5,WestMnts,False,True,0.9792760183822208,0.9882564698538616,0.9836985902772928,0.137036469260072,0.9858913883695544,0.144944556685071,3.0,0.6655391120507399,0.804369274136716,77.2,1
manistee_river_huc04,4,3,0.6666666666666666,True,2793.2333333333336,MxWdShld,False,True,0.8949967704618652,0.9208508002667216,0.7433035860941334,0.1344791663193952,0.8026764885658567,0.6808743359214192,3.0,0.6655391120507399,0.804369274136716,84.96666666666665,3
mill_creek_huc05,4,1,1.0,True,761.9,CntlPlains,False,True,0.7270713274351565,0.8656721214588038,0.3816085502345347,0.1821735522280946,0.5823366464707173,1.844724748038692,3.0,0.6655391120507399,0.804369274136716,24.65,2
missouri_river_huc10,19,2,1.0,True,41029.95,WestMnts,False,True,,,,,,,,,,74.75,2
monongahela_river_huc05,4,1,1.0,True,13824.0,EastHghlnds,False,True,,,,,,,,,,32.4,3
muddy_creek_huc14,4,0,,False,,,,False,,,,,,,,,,59.5,2
muskegon_river_huc04,5,1,1.0,True,6050.8,MxWdShld,False,True,0.9305369786982108,0.9600164722502258,0.7668400097862788,0.197706012288455,0.8700063753781768,0.5029581318411186,4.0,0.6655391120507399,0.804369274136716,75.1,1
nancy_creek_huc03,4,2,1.0,True,82.3,SEPlains,True,True,0.9778568161182848,0.9746198746280338,0.9411680898200872,0.1155971429841824,0.944969692489266,0.1267877464854837,3.0,0.6655391120507399,0.804369274136716,47.599999999999994,2
niobrara_river_huc10,4,0,,False,,,,False,,,,,,,,,,69.8,3
north_santiam_river_huc17,4,1,1.0,True,1171.0,WestMnts,False,True,,,,,,,,,,66.2,2
passaic_river_huc02,4,0,,False,,,,False,,,,,,,,,,43.9,1
peace_river_huc03,4,0,,False,,,,False,0.921117945778424,0.9414432494351396,0.9347372716301776,-0.070590804436357,0.9377861318330472,0.288145347557659,3.0,0.6655391120507399,0.804369274136716,,0
