date,9304200,9304800
2007-05-24,7.5,
2007-05-25,8.9,
2007-05-26,9.7,
2007-05-27,9.9,
2007-05-28,10.7,
2007-05-29,9.8,
2007-05-30,9.5,
2007-05-31,10.3,
2007-06-01,10.5,
2007-06-02,11.1,
2007-06-03,11.4,
2007-06-04,11.3,
2007-06-05,11.6,
2007-06-06,10.1,
2007-06-07,6.9,
2007-06-08,8.6,
2007-06-09,11.0,
2007-06-10,11.9,
2007-06-11,12.1,
2007-06-12,11.8,
2007-06-13,11.8,
2007-06-14,12.9,
2007-06-15,13.7,
2007-06-16,14.4,
2007-06-17,14.7,
2007-06-18,13.7,
2007-06-19,13.2,
2007-06-20,14.4,
2007-06-21,13.9,
2007-06-22,14.7,
2007-06-23,14.9,
2007-06-24,15.3,
2007-06-25,15.4,
2007-06-26,15.5,
2007-06-27,15.9,
2007-06-28,15.8,
2007-06-29,16.2,
2007-06-30,16.4,
2007-07-01,16.2,
2007-07-02,16.6,
2007-07-03,16.6,
2007-07-04,17.0,
2007-07-05,17.4,
2007-07-06,16.4,
2007-07-07,16.7,
2007-07-08,15.7,
2007-07-09,16.3,
2007-07-10,16.9,
2007-07-11,15.5,
2007-07-12,15.0,
2007-07-13,16.3,
2007-07-14,17.7,
2007-07-15,17.6,
2007-07-16,17.8,
2007-07-17,17.6,
2007-07-18,17.2,
2007-07-19,17.3,
2007-07-20,16.9,
2007-07-21,17.4,
2007-07-22,17.9,
2007-07-23,18.5,
2007-07-24,18.8,
2007-07-25,17.9,
2007-07-26,16.6,
2007-07-27,17.2,
2007-07-28,17.3,
2007-07-29,17.6,
2007-07-30,17.7,
2007-07-31,17.8,
2007-08-01,17.2,
2007-08-02,17.3,
2007-08-03,17.1,
2007-08-04,18.0,
2007-08-05,17.4,
2007-08-06,16.8,
2007-08-07,16.1,
2007-08-08,16.3,
2007-08-09,16.6,
2007-08-10,17.3,
2007-08-11,16.9,
2007-08-12,16.9,
2007-08-13,17.1,
2007-08-14,16.8,
2007-08-15,17.9,
2007-08-16,17.9,
2007-08-17,17.0,
2007-08-18,16.6,
2007-08-19,16.4,
2007-08-20,16.5,
2007-08-21,16.2,
2007-08-22,16.3,
2007-08-23,15.5,
2007-08-24,15.9,
2007-08-25,15.5,
2007-08-26,15.3,
2007-08-27,14.5,
2007-08-28,15.9,
2007-08-29,16.2,
2007-08-30,16.2,
2007-08-31,15.3,
2007-09-01,16.4,
