regulated_id,control_id,delta_r,aggecoregion
cahaba_river_huc31,reedy_creek_huc03,,EastHghlnds
clearwater_river_huc17,waccamaw_river_huc03,,WestMnts
allegheny_river_huc05,village_creek_huc03,-0.023057908667270866,NorthEast
applegate_river_huc17,johnson_creek_huc17,-0.03333341567113601,WestMnts
back_creek_huc02,south_river_huc03,,EastHghlnds
