network_id,achieved_skill,recoverability_r,donor_r2,acf30,heuristic_explained_variance,donor_mae,n_station_gap_rows,spearman_operator_r_vs_achieved_skill,spearman_donor_r2_vs_achieved_skill
madison_river_huc10,0.8463590826126433,0.9003257743347746,0.5871775535750251,0.14642771766641455,0.6770427509384683,0.8953530152784444,5,0.6655391120507399,0.804369274136716
mahoning_river_huc50,0.9088061160979528,0.9664367113960176,0.7148089725260548,0.2153612402657771,0.845409358996749,0.6101172504975053,6,0.6655391120507399,0.804369274136716
roanoke_river_huc30,0.9270536670943657,0.9851506844236049,0.7621723692907658,0.35304023424349024,0.913979974631671,0.5019826865976814,5,0.6655391120507399,0.804369274136716
santa_fe_river_huc31,0.8033150277707033,0.9059309652342591,0.7601319984753675,0.11569506830992568,0.7928950845702777,0.5747765934391817,4,0.6655391120507399,0.804369274136716
willamette_river_huc17,0.9256513754860151,0.9728021695192463,0.869405629907893,0.3829451777036163,0.9140829265846168,0.34440980751637973,6,0.6655391120507399,0.804369274136716
allegheny_river_huc05,0.8086246777025534,0.8889425323010859,0.38526601373107544,0.14985664725578537,0.4900502112085884,1.1092641533970915,4,0.6655391120507399,0.804369274136716
applegate_river_huc17,0.8518539747736642,0.8791834564786017,0.6715752142202728,0.4260394078485243,0.8472969293600126,0.5445697771360866,3,0.6655391120507399,0.804369274136716
arkansas_river_huc11,0.8598509253013735,0.9973023095213234,0.503378618184958,0.2328587491739261,0.6487971471113285,0.848999814213696,8,0.6655391120507399,0.804369274136716
au_sable_river_huc04,0.9615507704464186,0.9739285379992515,0.9344628171347706,0.12369017025301704,0.9498941519146951,0.27830282919673077,8,0.6655391120507399,0.804369274136716
broad_river_huc03,0.9041304811672125,0.922878051689898,0.7788379466338724,0.26379229380722763,0.8265501765475415,0.6477394222618525,3,0.6655391120507399,0.804369274136716
catawba_r_huc03,0.534802756995354,0.7533752950404256,0.01655031502925719,0.30725583463577766,0.4017141219552869,1.6201508190179208,3,0.6655391120507399,0.804369274136716
catawba_river_huc03,0.8505935534265582,0.9455192960460831,0.6796944545925675,0.12888478793779037,0.8012935616834372,0.6065191178476484,5,0.6655391120507399,0.804369274136716
cedar_river_huc17,0.7996191031060667,0.9003522959847297,0.5920506980458613,0.4122149234246827,0.7676765269838722,0.6599538220173256,4,0.6655391120507399,0.804369274136716
clackamas_river_huc17,0.8937875093043504,0.9271265677043673,0.8412655636331263,0.35483231640258933,0.8844571637680493,0.42459625308153454,3,0.6655391120507399,0.804369274136716
conemaugh_river_huc05,0.884246662925556,0.9066445498108869,0.6929507794902704,0.15084613763779753,0.7387470296785882,0.8262721441267464,3,0.6655391120507399,0.804369274136716
cooper_r_huc03,0.9692422017652237,0.9906852975809468,0.7098743112401603,0.18057957724032184,0.7467113206198568,0.18332851919541313,4,0.6655391120507399,0.804369274136716
floyds_fork_huc05,0.9434614984285573,0.929943474062657,0.9219842141512776,0.08579598472936532,0.9258311168764172,0.3927010107893123,3,0.6655391120507399,0.804369274136716
green_river_huc14,0.6606395091753022,0.7821497547505744,0.31816881769389954,0.27678190086128956,0.5409081935894703,1.5015701611078331,3,0.6655391120507399,0.804369274136716
