site_id,date,temperature_c,qualifier
05536995,2017-03-29,11.0,A
05536995,2017-03-29,11.0,A
05536995,2017-03-29,10.9,A
05536995,2017-03-29,11.1,A
05536995,2017-03-30,10.4,A
05536995,2017-03-30,10.4,A
05536995,2017-03-30,10.3,A
05536995,2017-03-30,10.5,A
05536995,2017-03-31,8.6,A
05536995,2017-03-31,8.6,A
05536995,2017-03-31,8.5,A
05536995,2017-03-31,8.7,A
05536995,2017-04-01,8.8,A
05536995,2017-04-01,8.8,A
05536995,2017-04-01,8.7,A
05536995,2017-04-01,8.8,A
05536995,2017-04-02,9.6,A
05536995,2017-04-02,9.7,A
05536995,2017-04-02,9.5,A
05536995,2017-04-02,9.7,A
05536995,2017-04-03,10.1,A
05536995,2017-04-03,10.1,A
05536995,2017-04-03,10.0,A
05536995,2017-04-03,10.1,A
05536995,2017-04-04,10.3,A
05536995,2017-04-04,10.3,A
05536995,2017-04-04,10.2,A
05536995,2017-04-04,10.3,A
05536995,2017-04-05,10.5,A
05536995,2017-04-05,10.5,A
05536995,2017-04-05,10.4,A
05536995,2017-04-05,10.5,A
05536995,2017-04-06,9.6,A
05536995,2017-04-06,9.6,A
05536995,2017-04-06,9.4,A
05536995,2017-04-06,9.6,A
05536995,2017-04-07,8.9,A
05536995,2017-04-07,8.9,A
05536995,2017-04-07,8.7,A
05536995,2017-04-07,8.9,A
05536995,2017-04-08,9.6,A
05536995,2017-04-08,9.6,A
05536995,2017-04-08,9.5,A
05536995,2017-04-08,9.7,A
05536995,2017-04-09,10.6,A
05536995,2017-04-09,10.6,A
05536995,2017-04-09,10.5,A
05536995,2017-04-09,10.7,A
05536995,2017-04-10,12.0,A
05536995,2017-04-10,12.0,A
05536995,2017-04-10,11.9,A
05536995,2017-04-10,12.0,A
05536995,2017-04-11,12.6,A
05536995,2017-04-11,12.6,A
05536995,2017-04-11,12.5,A
05536995,2017-04-11,12.7,A
05536995,2017-04-12,12.7,A
05536995,2017-04-12,12.7,A
05536995,2017-04-12,12.6,A
05536995,2017-04-12,12.7,A
05536995,2017-04-13,13.0,A
05536995,2017-04-13,13.0,A
05536995,2017-04-13,12.9,A
05536995,2017-04-13,13.0,A
05536995,2017-04-14,13.2,A
05536995,2017-04-14,13.2,A
05536995,2017-04-14,13.1,A
05536995,2017-04-14,13.2,A
05536995,2017-04-15,14.1,A
05536995,2017-04-15,14.1,A
05536995,2017-04-15,14.0,A
05536995,2017-04-15,14.1,A
05536995,2017-04-16,15.0,A
05536995,2017-04-16,15.0,A
05536995,2017-04-16,14.9,A
05536995,2017-04-16,15.1,A
05536995,2017-04-17,15.4,A
05536995,2017-04-17,15.5,A
05536995,2017-04-17,15.3,A
05536995,2017-04-17,15.5,A
05536995,2017-04-18,15.5,A
05536995,2017-04-18,15.6,A
05536995,2017-04-18,15.4,A
05536995,2017-04-18,15.6,A
05536995,2017-04-19,15.7,A
05536995,2017-04-19,15.8,A
05536995,2017-04-19,15.6,A
05536995,2017-04-19,15.8,A
05536995,2017-04-20,15.6,A
05536995,2017-04-20,15.6,A
05536995,2017-04-20,15.5,A
05536995,2017-04-20,15.7,A
05536995,2017-04-21,15.4,A
05536995,2017-04-21,15.4,A
05536995,2017-04-21,15.3,A
05536995,2017-04-21,15.4,A
05536995,2017-04-22,15.3,A
05536995,2017-04-22,15.3,A
05536995,2017-04-22,15.2,A
05536995,2017-04-22,15.3,A
05536995,2017-04-23,15.4,A
05536995,2017-04-23,15.4,A
05536995,2017-04-23,15.3,A
05536995,2017-04-23,15.4,A
05536995,2017-04-24,15.6,A
05536995,2017-04-24,15.7,A
05536995,2017-04-24,15.5,A
05536995,2017-04-24,15.7,A
05536995,2017-04-25,16.0,A
05536995,2017-04-25,16.1,A
05536995,2017-04-25,15.9,A
05536995,2017-04-25,16.1,A
