network_id,level,stage,n
huc8_01070004,station,locked_network_members,3
huc8_01070004,station,registered_raw_objects,3
huc8_01070004,station,parsed_nonempty,3
huc8_01070004,station,qc_verdict_accepted,3
huc8_01070004,station,qualified_years_ge_6,3
huc8_01070004,station,rejected_sentinel,0
huc8_01080205,station,locked_network_members,3
huc8_01080205,station,registered_raw_objects,3
huc8_01080205,station,parsed_nonempty,3
huc8_01080205,station,qc_verdict_accepted,3
huc8_01080205,station,qualified_years_ge_6,2
huc8_01080205,station,rejected_sentinel,0
huc8_01090001,station,locked_network_members,10
huc8_01090001,station,registered_raw_objects,10
huc8_01090001,station,parsed_nonempty,10
huc8_01090001,station,qc_verdict_accepted,9
huc8_01090001,station,qualified_years_ge_6,9
huc8_01090001,station,rejected_sentinel,1
huc8_01090004,station,locked_network_members,14
huc8_01090004,station,registered_raw_objects,14
huc8_01090004,station,parsed_nonempty,14
huc8_01090004,station,qc_verdict_accepted,10
huc8_01090004,station,qualified_years_ge_6,9
huc8_01090004,station,rejected_sentinel,4
huc8_02020006,station,locked_network_members,3
huc8_02020006,station,registered_raw_objects,3
huc8_02020006,station,parsed_nonempty,3
huc8_02020006,station,qc_verdict_accepted,3
huc8_02020006,station,qualified_years_ge_6,3
huc8_02020006,station,rejected_sentinel,0
huc8_02030103,station,locked_network_members,5
huc8_02030103,station,registered_raw_objects,5
huc8_02030103,station,parsed_nonempty,5
huc8_02030103,station,qc_verdict_accepted,5
huc8_02030103,station,qualified_years_ge_6,2
huc8_02030103,station,rejected_sentinel,0
huc8_02030105,station,locked_network_members,4
huc8_02030105,station,registered_raw_objects,4
huc8_02030105,station,parsed_nonempty,4
huc8_02030105,station,qc_verdict_accepted,3
huc8_02030105,station,qualified_years_ge_6,2
huc8_02030105,station,rejected_sentinel,1
huc8_02040103,station,locked_network_members,3
huc8_02040103,station,registered_raw_objects,3
huc8_02040103,station,parsed_nonempty,3
huc8_02040103,station,qc_verdict_accepted,3
huc8_02040103,station,qualified_years_ge_6,3
huc8_02040103,station,rejected_sentinel,0
huc8_02040106,station,locked_network_members,6
huc8_02040106,station,registered_raw_objects,6
huc8_02040106,station,parsed_nonempty,6
huc8_02040106,station,qc_verdict_accepted,6
huc8_02040106,station,qualified_years_ge_6,5
huc8_02040106,station,rejected_sentinel,0
huc8_02040203,station,locked_network_members,4
huc8_02040203,station,registered_raw_objects,4
huc8_02040203,station,parsed_nonempty,4
huc8_02040203,station,qc_verdict_accepted,4
huc8_02040203,station,qualified_years_ge_6,3
huc8_02040203,station,rejected_sentinel,0
huc8_02040205,station,locked_network_members,8
huc8_02040205,station,registered_raw_objects,8
huc8_02040205,station,parsed_nonempty,8
huc8_02040205,station,qc_verdict_accepted,8
huc8_02040205,station,qualified_years_ge_6,8
huc8_02040205,station,rejected_sentinel,0
huc8_02050104,station,locked_network_members,3
huc8_02050104,station,registered_raw_objects,3
huc8_02050104,station,parsed_nonempty,3
huc8_02050104,station,qc_verdict_accepted,3
huc8_02050104,station,qualified_years_ge_6,3
huc8_02050104,station,rejected_sentinel,0
huc8_02050305,station,locked_network_members,4
huc8_02050305,station,registered_raw_objects,4
huc8_02050305,station,parsed_nonempty,4
huc8_02050305,station,qc_verdict_accepted,4
huc8_02050305,station,qualified_years_ge_6,4
huc8_02050305,station,rejected_sentinel,0
huc8_02060003,station,locked_network_members,4
huc8_02060003,station,registered_raw_objects,4
huc8_02060003,station,parsed_nonempty,4
huc8_02060003,station,qc_verdict_accepted,4
huc8_02060003,station,qualified_years_ge_6,4
huc8_02060003,station,rejected_sentinel,0
huc8_02070002,station,locked_network_members,3
huc8_02070002,station,registered_raw_objects,3
huc8_02070002,station,parsed_nonempty,3
huc8_02070002,station,qc_verdict_accepted,3
huc8_02070002,station,qualified_years_ge_6,3
huc8_02070002,station,rejected_sentinel,0
huc8_02070008,station,locked_network_members,3
huc8_02070008,station,registered_raw_objects,3
huc8_02070008,station,parsed_nonempty,3
huc8_02070008,station,qc_verdict_accepted,3
huc8_02070008,station,qualified_years_ge_6,3
huc8_02070008,station,rejected_sentinel,0
huc8_02070010,station,locked_network_members,4
huc8_02070010,station,registered_raw_objects,4
huc8_02070010,station,parsed_nonempty,4
huc8_02070010,station,qc_verdict_accepted,4
huc8_02070010,station,qualified_years_ge_6,4
huc8_02070010,station,rejected_sentinel,0
huc8_02080201,station,locked_network_members,7
huc8_02080201,station,registered_raw_objects,7
huc8_02080201,station,parsed_nonempty,7
huc8_02080201,station,qc_verdict_accepted,7
huc8_02080201,station,qualified_years_ge_6,7
huc8_02080201,station,rejected_sentinel,0
huc8_03070101,station,locked_network_members,3
huc8_03070101,station,registered_raw_objects,3
huc8_03070101,station,parsed_nonempty,3
huc8_03070101,station,qc_verdict_accepted,3
huc8_03070101,station,qualified_years_ge_6,3
huc8_03070101,station,rejected_sentinel,0
huc8_03150105,station,locked_network_members,3
huc8_03150105,station,registered_raw_objects,3
huc8_03150105,station,parsed_nonempty,3
huc8_03150105,station,qc_verdict_accepted,2
huc8_03150105,station,qualified_years_ge_6,2
huc8_03150105,station,rejected_sentinel,1
huc8_04020105,station,locked_network_members,3
huc8_04020105,station,registered_raw_objects,3
huc8_04020105,station,parsed_nonempty,3
huc8_04020105,station,qc_verdict_accepted,3
huc8_04020105,station,qualified_years_ge_6,3
huc8_04020105,station,rejected_sentinel,0
huc8_04040003,station,locked_network_members,8
huc8_04040003,station,registered_raw_objects,8
huc8_04040003,station,parsed_nonempty,8
huc8_04040003,station,qc_verdict_accepted,7
huc8_04040003,station,qualified_years_ge_6,3
huc8_04040003,station,rejected_sentinel,1
huc8_04060102,station,locked_network_members,5
huc8_04060102,station,registered_raw_objects,5
huc8_04060102,station,parsed_nonempty,5
huc8_04060102,station,qc_verdict_accepted,5
huc8_04060102,station,qualified_years_ge_6,5
huc8_04060102,station,rejected_sentinel,0
huc8_04060103,station,locked_network_members,4
huc8_04060103,station,registered_raw_objects,4
huc8_04060103,station,parsed_nonempty,4
huc8_04060103,station,qc_verdict_accepted,4
huc8_04060103,station,qualified_years_ge_6,4
huc8_04060103,station,rejected_sentinel,0
huc8_04070007,station,locked_network_members,8
huc8_04070007,station,registered_raw_objects,8
huc8_04070007,station,parsed_nonempty,8
huc8_04070007,station,qc_verdict_accepted,8
huc8_04070007,station,qualified_years_ge_6,8
huc8_04070007,station,rejected_sentinel,0
huc8_04090004,station,locked_network_members,6
huc8_04090004,station,registered_raw_objects,6
huc8_04090004,station,parsed_nonempty,6
huc8_04090004,station,qc_verdict_accepted,6
huc8_04090004,station,qualified_years_ge_6,1
huc8_04090004,station,rejected_sentinel,0
huc8_04140101,station,locked_network_members,3
huc8_04140101,station,registered_raw_objects,3
huc8_04140101,station,parsed_nonempty,3
huc8_04140101,station,qc_verdict_accepted,3
huc8_04140101,station,qualified_years_ge_6,3
huc8_04140101,station,rejected_sentinel,0
huc8_05010001,station,locked_network_members,3
huc8_05010001,station,registered_raw_objects,3
huc8_05010001,station,parsed_nonempty,3
huc8_05010001,station,qc_verdict_accepted,2
huc8_05010001,station,qualified_years_ge_6,2
huc8_05010001,station,rejected_sentinel,1
huc8_05010005,station,locked_network_members,4
huc8_05010005,station,registered_raw_objects,4
huc8_05010005,station,parsed_nonempty,4
huc8_05010005,station,qc_verdict_accepted,4
huc8_05010005,station,qualified_years_ge_6,4
