network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05010007,03043810,7,DJF,0,2015-01-01,0.40002263614109584,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,1,2015-02-13,0.34625729492732465,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,2,2015-12-30,0.8367650577000211,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,3,2016-02-11,0.88342148235866,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,4,2017-01-06,1.0972633702414376,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,5,2017-02-18,0.12106615475245874,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,6,2018-01-02,0.2310041734150478,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,7,2018-12-05,0.4726983717509678,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,8,2019-01-17,0.7845256311552866,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,9,2019-12-25,0.495695914540972,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,0,2015-06-01,0.8421079908098495,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,1,2015-07-07,0.4659987313406805,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,2,2015-08-13,1.0692998068673265,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,3,2016-06-22,0.2099299294607983,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,4,2016-07-28,0.6415768759591245,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,5,2017-06-03,0.5480684552873879,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,6,2017-07-10,0.25817691258021774,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,7,2017-08-15,0.3747282300676617,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,8,2019-06-05,0.7679379054478238,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,9,2019-07-25,0.87573961530413,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
