network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05010007,03043810,7,DJF,0,2015-01-01,0.3556561674390521,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,1,2015-02-13,0.1421572744846344,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,2,2015-12-30,0.5773304939270021,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,3,2016-02-11,0.7440093857901438,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,4,2017-01-06,1.0131751128605433,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,5,2017-02-18,0.12681644303458078,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,6,2018-01-02,0.13661803177424844,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,7,2018-12-05,0.38782696042742043,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,8,2019-01-17,0.5829683269773211,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,DJF,9,2019-12-25,0.359420691217695,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,0,2015-06-01,0.7647576468331475,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,1,2015-07-07,0.5758784702845975,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,2,2015-08-13,1.1833546229771201,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,3,2016-06-22,0.13296072823660765,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,4,2016-07-28,0.7258927481515067,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,5,2017-06-03,0.2254755837576725,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,6,2017-07-10,0.7227001735142302,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,7,2017-08-15,0.4103880201067242,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,8,2019-06-05,0.6145715441022601,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
huc8_05010007,03043810,7,JJA,9,2019-07-25,0.4884928022112171,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007,2015|2016|2017|2018|2019
