network_id,empirical_transfer_prediction_unmatched,empirical_transfer_prediction_matched,obs_loss,unmatched_rank,matched_rank,rank_change,observed_rank
arso_bistrica,1.1272372410826887,1.171664528052491,1.18829794596041,14.0,14.0,0.0,14.0
arso_dravinja,1.2809850548031785,1.2753285647429349,1.3095814060528008,16.0,17.0,1.0,17.0
arso_krka,0.9874698297439113,0.9812684787692768,0.9868202629415761,12.0,12.0,0.0,12.0
arso_sava,0.8227158420730323,0.8291913758787253,0.8913923566258616,7.0,7.0,0.0,10.0
arso_savinja,0.4678102439335414,0.509526460251619,0.5095641895227015,1.0,2.0,1.0,2.0
arso_vipava,0.8102202497772755,0.8990908610652126,0.9098287503641276,5.0,11.0,6.0,11.0
foen_aare_aaregebiet,0.8787729846794727,0.8906806557811832,0.8540560391518699,10.0,9.0,1.0,7.0
gkd_bayern_alz,2.040644609906749,1.2358003217760374,1.2370147573323478,19.0,15.0,4.0,16.0
gkd_bayern_donau,0.8189387131408362,0.823600620933295,0.860888726427199,6.0,6.0,0.0,8.0
gkd_bayern_main,0.6366450257053226,0.5579487740120149,0.5408315773150278,3.0,3.0,0.0,3.0
gkd_bayern_vils,2.2365740987013005,1.349333712134333,1.3699411037608331,20.0,18.0,2.0,18.0
huc8_02040101,1.0322249142155335,1.030423956095726,0.9910218113195755,13.0,13.0,0.0,13.0
huc8_02040104,1.8316640468930079,1.4217347431336789,1.396956718065378,17.0,19.0,2.0,19.0
huc8_05030103,1.8370253334236608,1.7605985176186072,1.726043190583222,18.0,20.0,2.0,20.0
huc8_10020007,0.8254352525239033,0.7157414308353943,0.7887960610198221,8.0,5.0,3.0,5.0
huc8_17060306,1.2345817520363715,1.2372643960614422,1.217791729168389,15.0,16.0,1.0,15.0
huc8_17090001,0.9173267508157459,0.8937227959338729,0.8701100129641948,11.0,10.0,1.0,9.0
huc8_17090004,0.513044626283685,0.47482719033902326,0.46073146249847635,2.0,1.0,1.0,1.0
lubw_neckar,0.8405363167018519,0.8343051453996473,0.8137729143829172,9.0,8.0,1.0,6.0
lubw_rhein,0.6889359494319494,0.6346588784156338,0.6491661799162153,4.0,4.0,0.0,4.0
