network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_alz,18403002,7,JJA,3,2011-07-01,1.6432573046003067,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,4,2011-07-11,0.5592421395438057,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,5,2011-07-21,0.722051620483399,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,6,2011-07-31,0.6887139456612726,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,7,2011-08-10,0.32999676295689234,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,8,2011-08-20,1.1882899693080355,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,JJA,9,2011-08-31,0.4397632598876956,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,0,2011-03-01,1.0046872547694614,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,1,2011-03-09,1.04445093699864,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,2,2011-03-17,0.8428221702575683,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,3,2011-03-25,0.9269862719944546,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,4,2011-04-19,1.6086369105747766,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,5,2011-04-28,0.8047866548810687,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
gkd_bayern_alz,18403002,7,MAM,6,2011-05-06,0.49687295641217916,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011,1980|1981|1982|1983|1984|1985|1986|1987,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011
